SmasherID,SmashTag,RWeek1,RWeek2,RWeek3,RWeek4,RWeek5,ChangeInRank
1008,Westballz,3.0,7.0,12.0,7.0,7.0,0.0
1030,LFG | Eddy Mexico,NAN,NAN,31.0,36.0,45.0,-9.0
1077,Revenge | Gahtzu,NAN,NAN,NAN,NAN,20.0,NAN
1092,Connor,65.0,59.0,72.0,96.0,127.0,-31.0
2083,Phil,105.0,166.0,178.0,244.0,280.0,-36.0
2088,ycz6,NAN,12.0,16.0,16.0,11.0,5.0
3561,LG | Ginger,NAN,NAN,NAN,12.0,14.0,-2.0
3602,JLo,82.0,99.0,113.0,96.0,95.0,1.0
3665,Younger,14.0,13.0,15.0,18.0,19.0,-1.0
3949,Project Pat,NAN,NAN,NAN,NAN,198.0,NAN
3977,B0XX | Sicca,NAN,NAN,NAN,NAN,120.0,NAN
4127,Toph,NAN,NAN,NAN,NAN,74.0,NAN
4205,a-on,NAN,NAN,NAN,162.0,188.0,-26.0
4317,donk,65.0,99.0,113.0,61.0,74.0,-13.0
4390,NGG | Jflex,10.0,4.0,4.0,6.0,5.0,1.0
4394,Zhyrri,NAN,50.0,61.0,82.0,102.0,-20.0
4434,Skeeter,96.0,152.0,165.0,224.0,263.0,-39.0
4748,GST | Ryobeat,NAN,NAN,NAN,NAN,26.0,NAN
4876,will1v1_ttv,NAN,116.0,130.0,184.0,220.0,-36.0
4929,Melee Stats | Ambisinister,NAN,NAN,NAN,NAN,164.0,NAN
5618,CRACKSHACK | Quiggles,28.0,20.0,28.0,33.0,36.0,-3.0
5869,Joey Bats,49.0,37.0,47.0,51.0,50.0,1.0
6839,Drephen,NAN,NAN,NAN,NAN,22.0,NAN
7693,Kanye Rest,49.0,77.0,91.0,123.0,152.0,-29.0
10060,PapaNoJohns,NAN,84.0,97.0,129.0,86.0,43.0
10067,icecream,NAN,NAN,NAN,201.0,198.0,3.0
10228,Flow | Stark,NAN,NAN,NAN,114.0,142.0,-28.0
10362,Elk G | Ivayne,19.0,22.0,27.0,31.0,39.0,-8.0
10485,DD,105.0,68.0,82.0,75.0,95.0,-20.0
10520,CREW | G,32.0,34.0,44.0,42.0,53.0,-11.0
10666,SF | Herrán,NAN,NAN,NAN,NAN,30.0,NAN
10968,Enemy,NAN,NAN,NAN,91.0,120.0,-29.0
