Character,SmashTag,Points
Fox,MIOM | Toph,28.0
Fox,ABG | salami,28.0
Fox,Musashi,27.0
Fox,Elysian,22.0
Fox,WW | Lemonjuices,22.0
Fox,darkwizard123,21.0
Fox,SonOfJ,18.0
Fox,YBBT | leroydankins,18.0
Fox,Jorge,17.0
Fox,markrevival,16.0
Fox,Dandy,15.0
Fox,Chubbz,15.0
Fox,Milo,15.0
Fox,Solo.,15.0
Fox,DHB | IggyNieves,14.0
Fox,Gaz333,13.0
Fox,Rome0,12.0
Fox,TurboThot,10.0
Fox,olé,10.0
Fox,adamaggy,9.0
Fox,Troy,6.0
Fox,eh | sickø,6.0
Fox,Stone,6.0
Fox,SRN | Soulrifle211,4.0
Fox,Lust,4.0
Fox,Night,4.0
Fox,lavalamp,4.0
Fox,CID,4.0
Fox,Hellraid,2.0
Fox,Xad,2.0
Fox,flowjam,1.0
Fox,Funktrocious,1.0
Fox,Blu-J,1.0
Fox,ACAB | Mugen,1.0
Fox,Sleeepy,1.0
Peach,SANS | Blues Clues,481.0
Peach,GST | Ryobeat,54.0
Peach,Higgins,49.0
Peach,CardsNG,38.0
Peach,Soltrain,22.0
Peach,Futz,4.0
Peach,punished | gelp,4.0
Peach,8167263631 | Notto,1.0
MidTiers,CowCowCowCowCow,134.0
MidTiers,LFG | Eddy Mexico,102.0
MidTiers,ePG | Chevy,67.0
MidTiers,Maruf,38.0
MidTiers,TNC | n3zModGod,34.0
MidTiers,QoT | Cruelscotty,34.0
MidTiers,STP,29.0
MidTiers,billybopeep,28.0
MidTiers,Travy,28.0
MidTiers,ycz6,21.0
MidTiers,Strazz,20.0
MidTiers,Miranda,16.0
MidTiers,noChill,16.0
MidTiers,Phorox,12.0
MidTiers,Denzill,11.0
MidTiers,Mono,10.0
MidTiers,ManRay,8.0
MidTiers,K.H.D | Reign,8.0
MidTiers,Sporsinick,7.0
MidTiers,BCM | veggies,7.0
MidTiers,snek,5.0
MidTiers,jams,5.0
MidTiers,Special K,4.0
MidTiers,Doctor Dank,3.0
MidTiers,JCobbs,2.0
MidTiers,Ringler,2.0
MidTiers,Afron,1.0
Other,LAG,137.0
Other,RedX,51.0
Other,TPN,49.0
Other,Chewy,21.0
Other,Hunybear,17.0
Other,2Framez,15.0
Other,codeman,12.0
Other,Mounir,11.0
Other,CAPTwheatroll,6.0
Other,Badboi,5.0
Other,Tomz,1.0
