Character,SmashTag,Points
Falco,bobby big ballz,1625.0
Falco,Ginger,916.0
Falco,Fiction,293.0
Falco,Bones,198.0
Falco,YC | Pappi,176.0
Falco,cliché,174.0
Falco,NOOT,163.0
Falco,yingling,148.0
Falco,GLR | JAM,141.0
Falco,TBD,101.0
Falco,Joey Donuts,94.0
Falco,Ghost Rider,88.0
Falco,Neologism,86.0
Falco,Westballz,83.0
Falco,AlyJ,71.0
Falco,Chummi,70.0
Falco,Elk G | Ivayne,51.0
Falco,oh,44.0
Falco,Help,42.0
Falco,NoFuxGiven,38.0
Falco,ericiscool.net,34.0
Falco,jtetter,34.0
Falco,Light,32.0
Falco,Pawn,32.0
Falco,Arctic,28.0
Falco,LFTG | Logos,26.0
Falco,ushi,25.0
Falco,hestoned,24.0
Falco,Kaptinkillem,24.0
Falco,KaiKwonDo,24.0
Falco,YoungHanSolo,23.0
Falco,thesiscat,22.0
Falco,shoelegend88,21.0
Falco,dirtyDev,20.0
Falco,ROFL,19.0
Falco,Jolf,19.0
Falco,JustJoshin,19.0
Falco,John,19.0
Falco,Jakespeare,17.0
Falco,CLEM#112 | Clem,17.0
Falco,SudoJoe,17.0
Falco,BLM | Rats!,15.0
Falco,Sodabro,15.0
Falco,hHerb,13.0
Falco,IceCreamOG,13.0
Falco,bliutwo,13.0
Falco,WOMB#619 | Wombat,12.0
Falco,Zave,12.0
Falco,Shy,12.0
Falco,TheFormuoli,11.0
Falco,CB,11.0
Falco,Spi,10.0
Falco,mixx,10.0
Falco,Melos,9.0
Falco,Penguis,9.0
Falco,Slump,8.0
Falco,bird | unlucky,8.0
Falco,91,8.0
Falco,Luppi,8.0
Falco,TC | BuyMyMixTape,8.0
Falco,Maljo,8.0
Falco,Drewski,6.0
Falco,dabt,6.0
Falco,Rigo Bigo,6.0
Falco,HorseGirl420,6.0
Falco,UARK | VentusWK,6.0
Falco,pinecone22,5.0
Falco,Port!!!,4.0
Falco,melatonin,4.0
Falco,Blanks,4.0
Falco,Nico,4.0
Falco,rickey_kc,4.0
Falco,Frozone,3.0
Falco,ZUTH | Zuthane,3.0
Falco,bensw,2.0
Falco,Fishpaste,2.0
Falco,DCG | Spots,2.0
Falco,ButterRoyaleTV,2.0
Falco,early,2.0
Falco,Blue Jay,2.0
Falco,Snickerdoodle,1.0
Falco,PP | Droze,1.0
Falco,Majora,1.0
Falco,Yuki08,1.0
Falco,ledgefiend,1.0
Falco,LVD | Super,1.0
Falco,Abhi,1.0
Falco,CarltonDanks,1.0
Marth,KoDoRiN,1031.0
Marth,lluZ | PEP | LSD,931.0
Marth,Young,136.0
Marth,Typhoon,111.0
Marth,Dom,99.0
Marth,Phantom Airline,76.0
Marth,Bonn Esports | Question,63.0
Marth,MT,55.0
Marth,soccermom69,47.0
Marth,Maher,44.0
Marth,Yamasaki,30.0
Marth,HWY | ybot,29.0
Marth,Thad <3,29.0
Marth,Alex18+,26.0
Marth,CG | Firebolt,26.0
Marth,BEBO,23.0
Marth,Uncle Pete,19.0
Marth,Den,15.0
Marth,Big Pivot,14.0
Marth,pointykitty,13.0
Marth,CSR | Tezlik,12.0
Marth,N8V,12.0
Marth,OXY | TheCrimsonBlur,10.0
Marth,Tourist,9.0
Marth,kippu,9.0
Marth,2five3 | Templar,8.0
Marth,moscow mich,8.0
Marth,Hamburglar,7.0
