Character,SmashTag,Rank
Falco,bobby big ballz,7.0
Falco,Younger,12.0
Falco,CG | Peppi | Pappi,13.0
Falco,rocky,15.0
Falco,PEPIS | Noire,17.0
Falco,I'm Michael BTW,20.0
Falco,LG | Ginger,22.0
Falco,Fankriss,28.0
Falco,Joey Donuts,36.0
Falco,The_Hat123 | Anjo,45.0
Falco,TBD,46.0
Falco,LFTG | Logos,76.0
Falco,PRIN$E,78.0
Falco,Ghost Rider,92.0
Falco,Light,100.0
Falco,Slowking,103.0
Falco,SKY | Matwood,108.0
Falco,YungWaff,112.0
Falco,Sodabro,121.0
Falco,Mr. Butterfly,127.0
Falco,yingling,138.0
Falco,winismine,138.0
Falco,shoelegend88,144.0
Falco,Chompy,153.0
Falco,Brainless  | FLiiNcHy,155.0
Falco,Elk G | Ivayne,155.0
Falco,Khoron | Oreo,162.0
Falco,GSP,162.0
Falco,Help,162.0
Falco,Coinee,176.0
Falco,Jakespeare,183.0
Falco,YoungHanSolo,188.0
Falco,AlyJ,193.0
Falco,DadsAkimbo,206.0
Falco,EWA | ERGonomics,206.0
Falco,NOOT,216.0
Falco,KaiKwonDo,216.0
Falco,LG | Louis,233.0
Falco,lochist,237.0
Falco,Lamb's Ear,237.0
Falco,jeddo,237.0
Falco,Holy | key,237.0
Falco,Mova,237.0
Falco,Pi2z,256.0
Falco,Pulch,256.0
Falco,diddylonglegs,262.0
Falco,gsm | Pound,262.0
Falco,Chuchaka2112,262.0
Falco,Good1ife,273.0
Falco,WU | nerodero,278.0
Falco,Layer,278.0
Falco,Seraph,278.0
Falco,hHerb,278.0
Falco,John,296.0
Falco,MrDrBoi,332.0
Falco,tpyo,332.0
Falco,SadSack,332.0
Falco,Elk_G | Karm,332.0
Falco,Boalisk,332.0
Falco,ledgefiend,332.0
Falco,Chummi,357.0
Falco,STLTS,357.0
Falco,TourGuide,382.0
Falco,deep_cuts,382.0
Falco,MIT | unlucky,382.0
Falco,doby,382.0
Falco,Navedo,398.0
Falco,SeshLord Ozai,398.0
Falco,91,432.0
Falco,wally,432.0
Falco,BK_Rib,432.0
Falco,#215 | Ogre,432.0
Falco,Kelpo,432.0
Falco,2rk | Turok,461.0
Falco,RitzyCheese,461.0
Falco,Drewski,461.0
Falco,niimo,461.0
Falco,kaiyon,461.0
Falco,Arctic,490.0
Falco,rickey_kc,490.0
Falco,Dolfo,490.0
Falco,Rama,490.0
Falco,MacTheStampede,490.0
Falco,MK | RedSoul,490.0
Falco,jatpuan,490.0
Falco,flthd | flatline,490.0
Falco,Maljo,490.0
Falco,AWaveDash,490.0
Falco,ali_,490.0
Falco,Heatedchaos,490.0
Falco,RetroSHFFL | Lex,490.0
Falco,ruco,490.0
Falco,Spi,546.0
Falco,Supreme.Noobs | Edicus,546.0
Falco,KOA | youngbool,546.0
Falco,PRD | JMi,546.0
Marth,KoDoRiN,2.0
Marth,Typhoon,23.0
Marth,Umarth,27.0
Marth,Epoodle,31.0
Marth,LSD,38.0
Marth,Redcoat,39.0
Marth,Khryke,41.0
Marth,Sicca,41.0
Marth,MT,48.0
Marth,Arcadia,48.0
Marth,Yamasaki,54.0
Marth,a-on,59.0
Marth,Ahmad,70.0
Marth,Cow,73.0
Marth,soccermom69,73.0
Marth,Mud,76.0
Marth,MGFC | bootichief,80.0
Marth,Nintendude,98.0
Marth,Phantom Airline,109.0
Marth,Townes,138.0
Marth,ArcaneFox,138.0
Marth,FendrickLamar,162.0
Marth,Kandayo,179.0
Marth,mikey,183.0
Marth,Zeeker,183.0
Marth,charmell0,183.0
Marth,ZimD00D,199.0
Marth,Alex18+,206.0
Marth,Akir,216.0
Marth,Jun,226.0
Marth,redpandamaster,226.0
Marth,3OutChange,233.0
Marth,Ribboned Ace,262.0
Marth,Dr. Lame,278.0
Marth,Floods,296.0
Marth,Hector,296.0
Marth,Big Pivot,311.0
Marth,SHRD#209 | Shredder,311.0
Marth,N8v,382.0
Marth,DPMZ,382.0
Marth,MIT | ybot,382.0
Marth,Flame,398.0
Marth,Hood,398.0
Marth,ash6,432.0
Marth,JLo,432.0
Marth,Leyo,432.0
Marth,kippu,432.0
Marth,davidparkpark,461.0
Marth,21! | Ronan,461.0
Marth,Hamburglar,461.0
Marth,BEBO,490.0
Marth,Ariz,490.0
Marth,Barry Allen,546.0
Marth,Nips,546.0
Sheik,IMP | Ben,1.0
Sheik,CG | Jflex,4.0
Sheik,ZOOK | Suezo,37.0
Sheik,prof,80.0
Sheik,Far!,87.0
Sheik,Crescent | JSalt,90.0
Sheik,Inky,92.0
Sheik,Ellis,100.0
Sheik,Rei,105.0
Sheik,FreeHops,124.0
Sheik,Okami | aujory,168.0
Sheik,Hell'sLabyrinth,188.0
Sheik,AR0,188.0
Sheik,Beiker,216.0
Sheik,LAGr | Travioli,216.0
Sheik,NJ | Tommy,226.0
Sheik,Hulka,237.0
Sheik,LewdCelebs4Free,237.0
Sheik,Spiral Cafe | Krudo,332.0
Sheik,UCLA | Suvir,332.0
Sheik,Mp drago,357.0
Sheik,NattyIce,357.0
Sheik,LoneCubone,398.0
Sheik,Blitzkrieg,398.0
Sheik,GS | TreyTheTrashman,432.0
Sheik,SlickSiwik,461.0
Sheik,Shlorp,490.0
Sheik,GSG,546.0
Sheik,djweav2k,546.0
Sheik,Anzeray,546.0
ICs,Trail,150.0
ICs,BKB! | stocmoney,273.0
ICs,Karin Dreijer,311.0
ICs,Wōlī,311.0
Falcon,S2J,3.0
Falcon,Revenge | Gahtzu,8.0
Falcon,GG | n0ne,11.0
Falcon,404 YC | Salt,16.0
Falcon,GHQ | Zamu,29.0
Falcon,NathanSandwich,69.0
Falcon,Vish,70.0
Falcon,LFG | PanterA,83.0
Falcon,jacket,84.0
Falcon,RU | Midnight Blue,92.0
Falcon,Neenor,96.0
Falcon,LFG | Fist Mexico,113.0
Falcon,CV Aceflight,126.0
Falcon,SquidTheCat,144.0
Falcon,Nard Dawg,148.0
Falcon,Dirty Lasagna,155.0
Falcon,Goosekhan,226.0
Falcon,Weeg,233.0
Falcon,Mootook,237.0
Falcon,Chadwicc,237.0
Falcon,Boy,296.0
Falcon,Marvelboy,296.0
Falcon,U.S Marine,311.0
Falcon,Bobakanoosh,311.0
Falcon,Axis,332.0
Falcon,Rive,332.0
Falcon,Kr1meM45ter2517A,357.0
Falcon,ight,398.0
Falcon,Silkylaroux,398.0
Falcon,doctahdylan,398.0
Falcon,Jangu,432.0
Falcon,Deeb,432.0
Falcon,Schweppes,490.0
Falcon,Captain G,490.0
Falcon,CrazyColtCory,490.0
Falcon,magnumgunn3r,490.0
Falcon,nmble-mann,546.0
Falcon,Kettering,546.0
Falcon,EagleOne,546.0
Puff,Liquid | Hungrybox,18.0
Puff,Golden,21.0
