Character,SmashTag,Points
Falco,bobby big ballz,520.0
Falco,Younger,338.0
Falco,CG | Peppi | Pappi,332.0
Falco,rocky,313.0
Falco,PEPIS | Noire,254.0
Falco,I'm Michael BTW,205.0
Falco,LG | Ginger,190.0
Falco,Fankriss,169.0
Falco,Joey Donuts,150.0
Falco,The_Hat123 | Anjo,130.0
Falco,TBD,119.0
Falco,LFTG | Logos,77.0
Falco,PRIN$E,76.0
Falco,Ghost Rider,66.0
Falco,Light,55.0
Falco,Slowking,54.0
Falco,SKY | Matwood,52.0
Falco,YungWaff,50.0
Falco,Sodabro,45.0
Falco,Mr. Butterfly,39.0
Falco,winismine,34.0
Falco,yingling,34.0
Falco,shoelegend88,33.0
Falco,Chompy,30.0
Falco,Elk G | Ivayne,29.0
Falco,Brainless  | FLiiNcHy,29.0
Falco,Khoron | Oreo,28.0
Falco,Help,28.0
Falco,GSP,28.0
Falco,Coinee,26.0
Falco,Jakespeare,23.0
Falco,YoungHanSolo,22.0
Falco,AlyJ,21.0
Falco,DadsAkimbo,19.0
Falco,EWA | ERGonomics,19.0
Falco,KaiKwonDo,18.0
Falco,NOOT,18.0
Falco,LG | Louis,16.0
Falco,Mova,15.0
Falco,Lamb's Ear,15.0
Falco,lochist,15.0
Falco,jeddo,15.0
Falco,Holy | key,15.0
Falco,Pulch,14.0
Falco,Pi2z,14.0
Falco,gsm | Pound,13.0
Falco,diddylonglegs,13.0
Falco,Chuchaka2112,13.0
Falco,Good1ife,12.0
Falco,hHerb,11.0
Falco,Layer,11.0
Falco,Seraph,11.0
Falco,WU | nerodero,11.0
Falco,John,10.0
Falco,MrDrBoi,8.0
Falco,ledgefiend,8.0
Falco,SadSack,8.0
Falco,Boalisk,8.0
Falco,Elk_G | Karm,8.0
Falco,tpyo,8.0
Falco,Chummi,7.0
Falco,STLTS,7.0
Falco,TourGuide,6.0
Falco,doby,6.0
Falco,deep_cuts,6.0
Falco,MIT | unlucky,6.0
Falco,Navedo,5.0
Falco,SeshLord Ozai,5.0
Falco,BK_Rib,4.0
Falco,91,4.0
Falco,#215 | Ogre,4.0
Falco,wally,4.0
Falco,Kelpo,4.0
Falco,Drewski,3.0
Falco,2rk | Turok,3.0
Falco,RitzyCheese,3.0
Falco,niimo,3.0
Falco,kaiyon,3.0
Falco,Arctic,2.0
Falco,ali_,2.0
Falco,jatpuan,2.0
Falco,Rama,2.0
Falco,AWaveDash,2.0
Falco,Dolfo,2.0
Falco,MK | RedSoul,2.0
Falco,flthd | flatline,2.0
Falco,Maljo,2.0
Falco,ruco,2.0
Falco,rickey_kc,2.0
Falco,RetroSHFFL | Lex,2.0
Falco,Heatedchaos,2.0
Falco,MacTheStampede,2.0
Falco,KOA | youngbool,1.0
Falco,PRD | JMi,1.0
Falco,Supreme.Noobs | Edicus,1.0
Falco,Spi,1.0
Marth,KoDoRiN,1135.0
Marth,Typhoon,189.0
Marth,Umarth,172.0
Marth,Epoodle,161.0
Marth,LSD,144.0
Marth,Redcoat,142.0
Marth,Khryke,135.0
Marth,Sicca,135.0
Marth,MT,116.0
Marth,Arcadia,116.0
Marth,Yamasaki,111.0
Marth,a-on,100.0
Marth,Ahmad,85.0
Marth,soccermom69,83.0
Marth,Cow,83.0
Marth,Mud,77.0
Marth,MGFC | bootichief,75.0
Marth,Nintendude,63.0
Marth,Phantom Airline,51.0
Marth,Townes,34.0
Marth,ArcaneFox,34.0
Marth,FendrickLamar,28.0
Marth,Kandayo,24.0
Marth,charmell0,23.0
Marth,Zeeker,23.0
Marth,mikey,23.0
Marth,ZimD00D,20.0
Marth,Alex18+,19.0
Marth,Akir,18.0
Marth,Jun,17.0
Marth,redpandamaster,17.0
Marth,3OutChange,16.0
Marth,Ribboned Ace,13.0
Marth,Dr. Lame,11.0
Marth,Hector,10.0
Marth,Floods,10.0
Marth,Big Pivot,9.0
Marth,SHRD#209 | Shredder,9.0
Marth,N8v,6.0
Marth,MIT | ybot,6.0
Marth,DPMZ,6.0
Marth,Flame,5.0
Marth,Hood,5.0
Marth,kippu,4.0
Marth,Leyo,4.0
Marth,JLo,4.0
Marth,ash6,4.0
Marth,21! | Ronan,3.0
Marth,davidparkpark,3.0
Marth,Hamburglar,3.0
Marth,BEBO,2.0
Marth,Ariz,2.0
Marth,Barry Allen,1.0
Marth,Nips,1.0
Sheik,IMP | Ben,1173.0
Sheik,CG | Jflex,922.0
Sheik,ZOOK | Suezo,149.0
Sheik,prof,75.0
Sheik,Far!,72.0
Sheik,Crescent | JSalt,70.0
Sheik,Inky,66.0
Sheik,Ellis,55.0
Sheik,Rei,53.0
Sheik,FreeHops,42.0
Sheik,Okami | aujory,27.0
Sheik,AR0,22.0
Sheik,Hell'sLabyrinth,22.0
Sheik,Beiker,18.0
Sheik,LAGr | Travioli,18.0
Sheik,NJ | Tommy,17.0
Sheik,LewdCelebs4Free,15.0
Sheik,Hulka,15.0
Sheik,UCLA | Suvir,8.0
Sheik,Spiral Cafe | Krudo,8.0
Sheik,NattyIce,7.0
Sheik,Mp drago,7.0
Sheik,Blitzkrieg,5.0
Sheik,LoneCubone,5.0
Sheik,GS | TreyTheTrashman,4.0
Sheik,SlickSiwik,3.0
Sheik,Shlorp,2.0
Sheik,Anzeray,1.0
Sheik,GSG,1.0
Sheik,djweav2k,1.0
ICs,Trail,31.0
ICs,BKB! | stocmoney,12.0
ICs,Wōlī,9.0
ICs,Karin Dreijer,9.0
Falcon,S2J,1076.0
Falcon,Revenge | Gahtzu,511.0
Falcon,GG | n0ne,378.0
Falcon,404 YC | Salt,280.0
Falcon,GHQ | Zamu,163.0
Falcon,NathanSandwich,86.0
Falcon,Vish,85.0
Falcon,LFG | PanterA,74.0
Falcon,jacket,73.0
Falcon,RU | Midnight Blue,66.0
Falcon,Neenor,65.0
Falcon,LFG | Fist Mexico,49.0
Falcon,CV Aceflight,40.0
Falcon,SquidTheCat,33.0
Falcon,Nard Dawg,32.0
Falcon,Dirty Lasagna,29.0
Falcon,Goosekhan,17.0
Falcon,Weeg,16.0
Falcon,Mootook,15.0
Falcon,Chadwicc,15.0
Falcon,Boy,10.0
Falcon,Marvelboy,10.0
Falcon,Bobakanoosh,9.0
Falcon,U.S Marine,9.0
Falcon,Axis,8.0
Falcon,Rive,8.0
Falcon,Kr1meM45ter2517A,7.0
Falcon,doctahdylan,5.0
Falcon,Silkylaroux,5.0
Falcon,ight,5.0
Falcon,Deeb,4.0
Falcon,Jangu,4.0
Falcon,magnumgunn3r,2.0
Falcon,Schweppes,2.0
Falcon,Captain G,2.0
Falcon,CrazyColtCory,2.0
Falcon,nmble-mann,1.0
Falcon,EagleOne,1.0
Falcon,Kettering,1.0
Puff,Liquid | Hungrybox,225.0
Puff,Golden,196.0
Puff,DD,151.0
Puff,Dawson,112.0
Puff,Furniture,28.0
Puff,Theftz,22.0
Puff,Jkiller,20.0
Puff,PurpleZ,19.0
Puff,Not_DuduTsai,19.0
Puff,Kanye Rest,15.0
Puff,CVSmashMods | Ripn,15.0
Puff,Fire,14.0
Puff,ClintStevensTV | HungryboxFan304,12.0
Puff,CS | Faust,11.0
Puff,thicceon,10.0
Puff,PJThePuff,8.0
Puff,MDF | Amor,8.0
Puff,WFL | ABC,7.0
Puff,rocketf20,2.0
Puff,Melee Stats | Pikachu942,2.0
Puff,Lama,2.0
Puff,JustRhett,2.0
Puff,Dorian uwu,1.0
Fox,GUG | Kurv,658.0
Fox,K8A,451.0
Fox,TG | Mot$,155.0
Fox,Paladin,140.0
Fox,Forrest,116.0
Fox,The Leaf,93.0
Fox,Chiefn_,85.0
Fox,Melo,75.0
Fox,Flow | Stark,71.0
Fox,IWI | Marrgasm,71.0
Fox,Wassabi,66.0
Fox,Jpeg | RC,57.0
Fox,Flow | ESPONJA,54.0
Fox,Erik,53.0
Fox,DannyPhantom,51.0
Fox,EP | Justus,49.0
Fox,FM | Cilan,49.0
Fox,Aura,49.0
Fox,Musashi,46.0
Fox,cockbread,45.0
Fox,Solomon,42.0
Fox,Mars,39.0
Fox,MIOM | Toph,38.0
Fox,Vianny,37.0
Fox,RustyTrombone,36.0
Fox,CW | rabit!,32.0
Fox,OtES,31.0
Fox,Maelstrom,30.0
Fox,BuenasRetas | Cobs,29.0
Fox,Oferton,28.0
Fox,Cowbell,27.0
Fox,MessiSTL,27.0
Fox,G,22.0
Fox,Schnurb,21.0
Fox,GUILD | ghettowarmachine420,21.0
Fox,Chem,21.0
Fox,FKA Minerali,20.0
Fox,Tristan's Rule,20.0
Fox,Panda,19.0
Fox,Nebulous | Jib,18.0
Fox,CRACKSHACK | CBD Quiggles,18.0
Fox,YBBT | leroydankins,15.0
Fox,mexico629,15.0
Fox,EWA | Gorgonzola,14.0
Fox,Erica,13.0
Fox,Electroman,13.0
Fox,markrevival,13.0
Fox,PokkaPokka,13.0
Fox,rice,12.0
Fox,Dusky,11.0
Fox,RPG,11.0
Fox,slowtai,11.0
Fox,Top Shelf | Dulbasaur,11.0
Fox,Elders React | Third Strongest,10.0
Fox,Iron,10.0
Fox,JoffDuchar,9.0
Fox,Hexjo,9.0
Fox,Tanooki,9.0
Fox,Vigilance,8.0
Fox,icecream,8.0
Fox,Triple Cake Dance,8.0
Fox,S.O.D.A,7.0
Fox,jerma985,7.0
Fox,CableKnit,7.0
Fox,Funktrocious,7.0
Fox,Megaman,7.0
Fox,Anjel,7.0
Fox,Gingerham,7.0
Fox,BeanBurrito-San,5.0
Fox,Rickeye_rick,5.0
Fox,lol | Hero,4.0
Fox,SIMP | Vagab0nd,4.0
Fox,Cpt.Blade,3.0
Fox,maxi,3.0
Fox,Ratt,3.0
Fox,Keykey,3.0
Fox,Night,3.0
Fox,catsonthemoon,3.0
Fox,Power Kevin,3.0
Fox,Arctic,2.0
Fox,Jet,2.0
Fox,blazerboy,2.0
Fox,Wumbo,2.0
Fox,SFOP,2.0
Fox,Dash,2.0
Fox,MatouFans,2.0
Fox,sfy | Fizz,2.0
Fox,2Pro4Pro | Toastrmann,2.0
Fox,nunoodle,1.0
Fox,Honey Nut Cheerios,1.0
Fox,SU | wild flower,1.0
