Character,SmashTag,Points
Falco,Younger,133.0
Falco,YC | Peppi | | Pappi,116.0
Falco,I'm Michael BTW,86.0
Falco,LFTG | Logos,57.0
Falco,TBD,52.0
Falco,Joey Donuts,30.0
Falco,Brainless  | FLiiNcHy,29.0
Falco,Khoron | Oreo,17.0
Falco,LG | Louis,16.0
Falco,jeddo,15.0
Falco,lochist,15.0
Falco,PRIN$E,12.0
Falco,Help,12.0
Falco,Jakespeare,11.0
Falco,EWA | ERGonomics,11.0
Falco,yingling,10.0
Falco,Chompy,9.0
Falco,Ghost Rider,9.0
Falco,SadSack,8.0
Falco,Pi2z,5.0
Falco,Kelpo,4.0
Falco,KaiKwonDo,4.0
Falco,TourGuide,4.0
Falco,91,4.0
Falco,gsm | Pound,3.0
Falco,YoungHanSolo,3.0
Falco,diddylonglegs,3.0
Falco,2rk | Turok,3.0
Falco,RitzyCheese,3.0
Falco,AWaveDash,2.0
Falco,shoelegend88,2.0
Falco,flthd | flatline,2.0
Falco,ledgefiend,2.0
Falco,Heatedchaos,2.0
Falco,ali_,2.0
Falco,Arctic,1.0
Falco,KOA | youngbool,1.0
Falco,Dolfo,1.0
Marth,KoDoRiN,434.0
Marth,LSD,144.0
Marth,Epoodle,80.0
Marth,Khryke,49.0
Marth,Arcadia,27.0
Marth,ZimD00D,20.0
Marth,MGFC | JorDank,20.0
Marth,Typhoon,19.0
Marth,Cow,17.0
Marth,a-on,17.0
Marth,redpandamaster,17.0
Marth,Yamasaki,17.0
Marth,Jun,17.0
Marth,Mud,16.0
Marth,Ribboned Ace,12.0
Marth,Dr. Lame,11.0
Marth,Redcoat,11.0
Marth,charmell0,9.0
Marth,kippu,4.0
Marth,JLo,4.0
Marth,Phantom Airline,4.0
Marth,Kandayo,4.0
Marth,21! | Ronan,3.0
Marth,ash6,2.0
Sheik,IMP | Ben,354.0
Sheik,CG | Jflex,216.0
Sheik,prof,75.0
Sheik,Crescent | JSalt,70.0
Sheik,Inky,66.0
Sheik,ZOOK | Suezo,43.0
Sheik,Hulka,15.0
Sheik,FreeHops,8.0
Sheik,LewdCelebs4Free,6.0
Sheik,aujory,6.0
Sheik,NattyIce,4.0
Sheik,Blitzkrieg,2.0
Sheik,GSG,1.0
Sheik,Hell'sLabyrinth,1.0
Sheik,Anzeray,1.0
ICs,Trail,15.0
ICs,BKB! | stocmoney,6.0
ICs,AHHHHH | Climbers Alice,2.0
Falcon,Revenge | Gahtzu,296.0
Falcon,jacket,73.0
Falcon,NathanSandwich,42.0
Falcon,Mootook,15.0
Falcon,RU | Midnight Blue,12.0
Falcon,Nard Dawg,10.0
Falcon,Axis,5.0
Falcon,ight,5.0
Falcon,Marvelboy,5.0
Falcon,Bobakanoosh,4.0
Falcon,Deeb,4.0
Falcon,LFG | Fist Mexico,4.0
Falcon,CrazyColtCory,2.0
Falcon,Captain G,2.0
Falcon,Kettering,1.0
Puff,DD,104.0
Puff,Not_DuduTsai,19.0
Puff,CVSmashMods | Ripn,3.0
Puff,Melee Stats | Pikachu942,2.0
Puff,Fire,1.0
Puff,PurpleZ,1.0
Fox,TG | Mot$,155.0
Fox,The Leaf,93.0
Fox,DannyPhantom,51.0
Fox,Flow | ESPONJA,19.0
Fox,Melo,16.0
Fox,K8A,16.0
Fox,Chiefn_,15.0
Fox,Cowbell,14.0
Fox,Erica,13.0
Fox,Chem,10.0
Fox,Electroman,10.0
Fox,Aura,10.0
Fox,Tanooki,9.0
Fox,Nebulous | Jib,9.0
Fox,Triple Cake Dance,8.0
Fox,Forrest,7.0
Fox,GUG | K�rv,7.0
Fox,Maelstrom,6.0
Fox,OtES,5.0
Fox,BeanBurrito-San,5.0
Fox,BuenasRetas | Cobs,4.0
Fox,Flow | Stark,3.0
Fox,Wassabi,3.0
Fox,JoffDuchar,3.0
Fox,Keykey,3.0
Fox,FM | Cilan,3.0
Fox,rice,3.0
Fox,Wumbo,2.0
Fox,Jet,2.0
Fox,TurboThot,2.0
Fox,Dash,2.0
Fox,Ratt,1.0
Fox,nunoodle,1.0
Fox,Power Kevin,1.0
Fox,SU | wild flower,1.0
Fox,markrevival,1.0
Fox,SIMP | Vagab0nd,1.0
Fox,Trash,1.0
Fox,Jeem,1.0
Peach,SANS | Blues Clues,101.0
Peach,Bbatts,83.0
Peach,Anchovy,21.0
Peach,Aura,10.0
Peach,PW | Vincessant,9.0
Peach,Soltrain,8.0
Peach,Analog,4.0
Peach,SUPERUNKNOWN,3.0
Peach,yBaS | MaxJacks,1.0
MidTiers,Dream,95.0
MidTiers,ycz6,71.0
MidTiers,Frap,25.0
MidTiers,Darrell,20.0
MidTiers,Winx Club | Siddward,12.0
MidTiers,Otto_Zone,10.0
MidTiers,GAS,7.0
MidTiers,RULES | Strazz,6.0
MidTiers,CowCowCowCowCow,4.0
MidTiers,HaxMoneyHulkHogan,1.0
MidTiers,Lee,1.0
MidTiers,Special K,1.0
Other,GG | n0ne,163.0
Other,Nintendude,63.0
Other,Rocket,48.0
Other,LAG,44.0
Other,Paladin,32.0
Other,Joey Bats,26.0
Other,El Link,22.0
Other,totally butts,19.0
Other,Tuesday,17.0
Other,#NAME?,10.0
Other,Kerblamu,10.0
Other,Ellis,9.0
Other,mikey,8.0
Other,DiMaria,8.0
Other,STLTS,7.0
Other,EWA | Gorgonzola,6.0
Other,Holy | key,6.0
Other,SeshLord Ozai,5.0
Other,Zhāoshù,5.0
Other,RedX,5.0
Other,Lamb's Ear,4.0
Other,Mova,3.0
Other,kaiyon,3.0
Other,Rama,2.0
Other,Ariz,2.0
Other,WFL | ABC,2.0
Other,BK_Rib,2.0
Other,Mp drago,1.0
Other,nmble-mann,1.0
Other,Penguin,1.0
Other,Arctic,1.0
Other,probably high,1.0
Other,Nips,1.0
Other,EagleOne,1.0
Other,PRD | JMi,1.0
