SmasherID,SmashTag,Wins,Losses,Placement
26750,KoDoRiN,5,0,1
694497,IMP | Ben,5,2,2
4107,GG | n0ne,3,2,3
61897,LSD,4,2,4
1077,Revenge | Gahtzu,2,2,5
4390,CG | Jflex,3,2,5
3665,Younger,3,2,7
39235,Dream,3,2,7
1375808,Epoodle,2,2,9
1023,Nintendude,1,2,9
2088,ycz6,1,2,9
542693,Bbatts,2,2,9
491552,DannyPhantom,1,2,13
14592,ZOOK | Suezo,1,2,13
581039,I'm Michael BTW,1,2,13
173178,LAG,1,2,13
184637,Joey Donuts,0,2,17
49875,Paladin,0,2,17
29840,TBD,1,2,17
4176,NathanSandwich,1,2,17
18652,LFTG | Logos,0,2,17
