SmasherID,SmashTag,Wins,Losses,Placement
1017,S2J,5,1,1
393258,OkayP.,7,2,2
694497,IMP | Ben,3,2,3
65777,bobby big ballz,3,2,4
26750,KoDoRiN,2,2,5
23995,Forrest,4,2,5
12048,K8A,4,2,7
4390,CG | Jflex,2,2,7
9884,HS | Den,2,2,9
15989,DarkHero,2,2,9
64692,SANS | Blues Clues,1,2,9
132537,Far!,1,2,9
135091,SubTails,1,2,13
581039,I'm Michael BTW,2,2,13
22333,Redcoat,1,2,13
60696,FM | Cilan,2,2,13
3772,Arcadia,0,2,17
908879,Yung Silver,0,2,17
1300387,Zamorita,0,2,17
62566,Axis,0,2,17
279107,Khryke,1,2,17
1524828,Ben Snape,0,2,17
