SmasherID,SmashTag,Wins,Losses,Prospect,Rookie,Pro,AllStar,HallOfFame,Placement,Coast
2088,ycz6,10,1,0,0,0,1,0,1,WC
64692,SANS | Blues Clues,10,2,0,0,0,1,0,2,WC
4176,NathanSandwich,8,0,0,0,1,0,0,3,WC
173178,LAG,8,1,0,0,1,0,0,4,WC
18652,LFTG | Logos,9,2,0,0,1,0,0,5,WC
29840,TBD,10,3,0,0,1,0,0,6,WC
221423,Typhoon,9,3,0,0,1,0,0,7,WC
41055,jacket,12,6,0,0,1,0,0,8,WC
1023,Nintendude,7,1,0,0,1,0,0,9,WC
41374,Anchovy,11,6,0,0,1,0,0,10,WC
23422,ZimD00D,10,7,0,0,1,0,0,11,WC
15298,Cowbell,9,7,0,1,0,0,0,12,WC
39235,Dream,7,2,0,0,1,0,0,13,WC
211440,Darrell,7,3,0,0,1,0,0,14,WC
378512,Khoron | Oreo,7,4,0,0,1,0,0,15,WC
12023,El Link,6,2,0,1,0,0,0,16,WC
4205,a-on,7,4,0,1,0,0,0,17,WC
26750,KoDoRiN,8,5,0,1,0,0,0,18,WC
22333,Redcoat,6,5,0,1,0,0,0,19,WC
7068,mikey,3,0,0,1,0,0,0,20,WC
10485,DD,4,2,0,1,0,0,0,21,WC
552087,Kerblamu,5,3,0,1,0,0,0,22,WC
950362,EWA | ERGonomics,6,4,0,1,0,0,0,23,WC
233059,Ribboned Ace,3,2,0,1,0,0,0,23,WC
183677,Yamasaki,8,6,0,1,0,0,0,25,WC
275922,Otto_Zone,5,4,0,1,0,0,0,26,WC
30804,Frap,7,6,0,1,0,0,0,27,WC
171201,Mootook,10,10,0,1,0,0,0,28,WC
466221,Melo,3,3,1,0,0,0,0,28,WC
130672,Soltrain,3,1,0,1,0,0,0,30,WC
129363,Flow | ESPONJA,2,1,0,1,0,0,0,31,WC
13765,Help,7,6,0,1,0,0,0,32,WC
136990,Holy | key,5,6,1,0,0,0,0,33,WC
229216,KaiKwonDo,3,5,1,0,0,0,0,34,WC
1957918,Cow,2,2,1,0,0,0,0,35,WC
530964,Heatedchaos,1,1,1,0,0,0,0,35,WC
1077796,FreeHops,3,3,1,0,0,0,0,35,WC
63772,Fern,9,10,1,0,0,0,0,38,WC
834231,Jun,4,5,1,0,0,0,0,39,WC
128898,Zhāoshù,4,6,1,0,0,0,0,40,WC
6176,Mova,2,3,1,0,0,0,0,40,WC
10228,Flow | Stark,2,3,1,0,0,0,0,40,WC
1974127,aujory,3,5,1,0,0,0,0,43,WC
34399,BuenasRetas | Cobs,3,5,1,0,0,0,0,43,WC
2085246,kippu,3,5,1,0,0,0,0,43,WC
764680,STLTS,6,11,1,0,0,0,0,46,WC
2170469,Triple Cake Dance,2,4,1,0,0,0,0,47,WC
35258,LFG | Fist Mexico,3,6,1,0,0,0,0,47,WC
748365,ledgefiend,1,2,1,0,0,0,0,47,WC
1918774,EWA | Gorgonzola,5,11,1,0,0,0,0,50,WC
1081722,kaiyon,2,8,1,0,0,0,0,51,WC
362459,SeshLord Ozai,4,16,1,0,0,0,0,51,WC
725014,charmell0,5,10,1,0,0,0,0,53,WC
157632,TurboThot,1,3,1,0,0,0,0,54,WC
735376,CVSmashMods | Ripn,2,7,1,0,0,0,0,55,WC
2004464,Rama,1,6,1,0,0,0,0,56,WC
1658777,CrazyColtCory,1,9,1,0,0,0,0,57,WC
1944467,SUPERUNKNOWN,0,2,1,0,0,0,0,58,WC
1619463,Arctic,0,25,1,0,0,0,0,58,WC
226271,SU | wild flower,0,3,1,0,0,0,0,58,WC
276041,Kettering,0,6,1,0,0,0,0,58,WC
654514,probably high,0,1,1,0,0,0,0,58,WC
2206263,nmble-mann,0,3,1,0,0,0,0,58,WC
491552,DannyPhantom,10,1,0,0,0,1,0,1,EC
1375808,Epoodle,12,4,0,0,0,1,0,2,EC
542693,Bbatts,8,0,0,0,1,0,0,3,EC
3665,Younger,8,0,0,0,1,0,0,3,EC
49875,Paladin,12,4,0,0,1,0,0,5,EC
184637,Joey Donuts,10,5,0,0,1,0,0,6,EC
129344,totally butts,9,5,0,0,1,0,0,7,EC
61897,LSD,5,0,0,0,1,0,0,8,EC
7149,Trail,5,1,0,0,1,0,0,9,EC
581039,I'm Michael BTW,7,2,0,0,1,0,0,10,EC
14592,ZOOK | Suezo,7,3,0,0,1,0,0,11,EC
5869,Joey Bats,10,9,0,1,0,0,0,12,EC
237282,Electroman,5,1,0,1,0,0,0,13,EC
149952,Jakespeare,6,2,0,1,0,0,0,14,EC
32201,PRIN$E,7,3,0,1,0,0,0,15,EC
40793,MGFC | JorDank,11,9,0,1,0,0,0,16,EC
47497,Ellis,4,3,0,1,0,0,0,17,EC
45356,OtES,4,6,1,0,0,0,0,18,EC
2215703,DiMaria,3,1,0,1,0,0,0,19,EC
14305,Nard Dawg,5,3,0,1,0,0,0,20,EC
11945,RULES | Strazz,5,6,1,0,0,0,0,21,EC
533918,Maelstrom,5,6,1,0,0,0,0,21,EC
219838,Lamb's Ear,3,5,1,0,0,0,0,23,EC
657464,CowCowCowCowCow,3,5,1,0,0,0,0,23,EC
232193,Chiefn_,3,15,1,0,0,0,0,25,EC
11490,Dash,1,0,1,0,0,0,0,26,EC
48322,AHHHHH | Climbers Alice,1,0,1,0,0,0,0,26,EC
185618,Captain G,1,1,1,0,0,0,0,28,EC
2192126,NattyIce,2,3,1,0,0,0,0,29,EC
157615,ight,4,9,1,0,0,0,0,30,EC
582190,rice,2,6,1,0,0,0,0,31,EC
13639,21! | Ronan,2,2,1,0,0,0,0,32,EC
3602,JLo,3,5,1,0,0,0,0,33,EC
1013413,WFL | ABC,1,2,1,0,0,0,0,34,EC
1918686,Analog,3,6,1,0,0,0,0,34,EC
1053202,diddylonglegs,2,6,1,0,0,0,0,36,EC
1500084,Ariz,1,7,1,0,0,0,0,37,EC
1442352,BK_Rib,1,13,1,0,0,0,0,38,EC
379542,Lee,0,4,1,0,0,0,0,39,EC
776417,GSG,0,4,1,0,0,0,0,39,EC
1562196,EagleOne,0,1,1,0,0,0,0,39,EC
1989729,Nips,0,5,1,0,0,0,0,39,EC
1194651,gsm | Pound,0,2,1,0,0,0,0,39,EC
1946855,PRD | JMi,0,1,1,0,0,0,0,39,EC
1796764,Mp drago,0,10,1,0,0,0,0,39,EC
5630,BKB! | stocmoney,0,2,1,0,0,0,0,39,EC
224897,AWaveDash,0,2,1,0,0,0,0,39,EC
22595,Aura,0,1,1,0,0,0,0,39,EC
