SmasherID,SmashTag,Wins,Losses,Placement
1017,S2J,6,1,1
26750,KoDoRiN,4,2,2
45951,Dacky,5,2,3
4215,rocky,3,2,4
694497,IMP | Ben,2,2,5
37116,Kurv,3,2,5
15989,DarkHero,4,2,7
4390,CG | Jflex,2,2,7
221423,Typhoon,3,2,9
230122,vampa,3,2,9
12048,K8A,3,2,9
65777,bobby big ballz,2,2,9
22333,Redcoat,2,2,13
49875,Paladin,2,2,13
64692,SANS | Blues Clues,2,2,13
15504,Umarth,2,2,13
7199,TGL | Shamunt,0,2,17
14592,ZOOK | Suezo,0,2,17
4127,MIOM | Toph,0,2,17
366683,WickedTheKidBroly,0,2,17
29840,TBD,0,2,17
245152,emy,0,2,17
1524828,Ben Snape,0,2,17
55648,Mars,1,2,17
14734,SUEZO | Zook,0,2,25
