SmasherID,SmashTag,Wins,Losses,Placement
1017,S2J,5,0,1
37116,GUG | Kurv,7,2,2
50259,BLE | SluG,3,2,3
65777,bobby big ballz,3,2,4
26750,KoDoRiN,2,2,5
138710,Golden,3,2,5
70458,PEPIS | Noire,4,2,7
64692,SANS | Blues Clues,4,2,7
2269490,GGS,2,2,9
53365,Ringler,2,2,9
2088,ycz6,1,2,9
133666,404 YC | Salt,1,2,9
16023,soccermom69,1,2,13
1957918,Cow,1,2,13
3665,Younger,1,2,13
22479,Rei,1,2,13
184637,Joey Donuts,0,2,17
25478,Maruf,0,2,17
2029721,Ghost Rider,1,2,17
137480,Jpeg | RC,0,2,17
45236,Lime,0,2,17
4390,CG | Jflex,0,2,17
