SmasherID,SmashTag,Wins,Losses,Placement
1017,S2J,5,0,1
694497,IMP | Ben,6,2,2
15989,DarkHero,4,2,3
23920,GHQ | Zamu,4,2,4
1013,WKDA | Shroomed,2,2,5
65777,bobby big ballz,2,2,5
133666,404 YC | Salt,3,2,7
37116,GUG | Kurv,2,2,7
150123,TPN,3,2,9
12048,K8A,2,2,9
147811,Dawson,3,2,9
68261,Azel,2,2,9
32201,PRIN$E,1,2,13
4614,Notorious,1,2,13
27862,Musashi,1,2,13
4390,CG | Jflex,1,2,13
2029721,Ghost Rider,1,2,17
1601,FendrickLamar,0,2,17
15586,The_Hat123 | Anjo,0,2,17
3665,Younger,1,2,17
69921,Furniture,0,2,17
539984,Ahmad,0,2,17
61570,CG | Peppi | Pappi,0,2,17
