SmasherID,SmashTag,Coast,Wins,Losses,LimitLadderWins,Prospect,Rookie,Pro,AllStar,HallOfFame,Floated,Placement,PlacePoints,Points,Rank
1008,Westballz,WC,12,2,0,0,0,0,1,0,0,3,150.0,177.0,3.0
1092,Connor,WC,4,1,0,0,1,0,0,0,0,-1,0.0,9.0,65.0
2083,Phil,WC,1,0,0,1,0,0,0,0,0,-1,0.0,2.0,105.0
3602,JLo,EC,4,10,0,1,0,0,0,0,0,-1,0.0,5.0,82.0
3665,Younger,EC,15,7,0,0,0,0,1,0,0,13,25.0,55.0,14.0
4317,donk,WC,8,10,0,1,0,0,0,0,0,-1,0.0,9.0,65.0
4390,NGG | Jflex,EC,11,4,0,0,0,1,0,0,0,9,45.0,66.0,10.0
4434,Skeeter,WC,2,3,0,1,0,0,0,0,0,-1,0.0,3.0,96.0
5618,HOLD$DOGE | Crypto Quiggles,EC,11,7,0,0,0,1,0,0,0,-1,0.0,21.0,28.0
5869,Joey Bats,EC,7,6,0,0,1,0,0,0,0,-1,0.0,12.0,49.0
7693,Kanye Rest,EC,7,5,0,0,1,0,0,0,0,-1,0.0,12.0,49.0
10362,Elk G | Ivayne,WC,14,3,0,0,0,0,1,0,0,-1,0.0,29.0,19.0
10485,DD,WC,1,1,0,1,0,0,0,0,0,-1,0.0,2.0,105.0
10520,CREW | G,WC,13,11,0,0,1,0,0,0,0,-1,0.0,18.0,32.0
11606,Elk_G | Karm,WC,2,2,0,1,0,0,0,0,0,-1,0.0,3.0,96.0
11945,CSTR#106 | Strazz,EC,7,5,0,0,1,0,0,0,0,-1,0.0,12.0,49.0
12137,yingling,WC,9,6,0,0,0,1,0,0,0,-1,0.0,19.0,30.0
13505,Sworderailer,WC,5,14,0,1,0,0,0,0,0,-1,0.0,6.0,78.0
13765,Help,WC,1,6,0,1,0,0,0,0,0,-1,0.0,2.0,105.0
13956,Vino,EC,4,3,0,0,1,0,0,0,0,-1,0.0,9.0,65.0
14667,Proobie44,EC,1,7,0,1,0,0,0,0,0,-1,0.0,2.0,105.0
15070,Verdo,EC,2,1,0,1,0,0,0,0,0,-1,0.0,3.0,96.0
15298,Cowbell,WC,8,3,0,0,0,1,0,0,0,-1,0.0,18.0,32.0
18652,LFTG | Logos,WC,12,5,0,0,0,1,0,0,0,13,25.0,47.0,15.0
18722,K.H.D | Reign,WC,1,8,0,1,0,0,0,0,0,-1,0.0,2.0,105.0
19270,Connorasada,WC,7,12,0,1,0,0,0,0,0,-1,0.0,8.0,71.0
22088,Nebulous | Jib,EC,5,3,0,0,1,0,0,0,0,-1,0.0,10.0,61.0
22458,Kandayo,WC,1,3,0,1,0,0,0,0,0,-1,0.0,2.0,105.0
27069,JoeyBonzo,WC,0,3,0,1,0,0,0,0,0,-1,0.0,1.0,124.0
28663,QTT | Marco,WC,7,5,0,0,1,0,0,0,0,-1,0.0,12.0,49.0
29405,Vianny,EC,5,3,0,0,1,0,0,0,0,-1,0.0,10.0,61.0
30054,20PcMcnugget,WC,0,4,0,1,0,0,0,0,0,-1,0.0,1.0,124.0
30865,Spi,EC,1,10,0,1,0,0,0,0,0,-1,0.0,2.0,105.0
31487,Winx Club | Siddward,EC,14,9,0,0,0,1,0,0,0,-1,0.0,24.0,23.0
34266,WOMB#619 | Wombat,WC,3,4,0,1,0,0,0,0,0,-1,0.0,4.0,88.0
34399,BuenasRetas | Cobs,WC,6,8,0,1,0,0,0,0,0,-1,0.0,7.0,75.0
36532,Googlyeyed,EC,9,4,0,0,0,1,0,0,0,13,25.0,44.0,16.0
36782,Oaty,EC,12,8,0,0,0,1,0,0,0,-1,0.0,22.0,26.0
