SmasherID,SmashTag,Coast,Wins,Losses,LimitLadderWins,Prospect,Rookie,Pro,AllStar,HallOfFame,Floated,Placement,PlacePoints,Points,Rank
1019,CLG | SFAT,WC,13,2,0,0,0,0,1,0,0,4,125.0,153.0,4.0
1077,Revenge | Gahtzu,NOTAV,5,0,0,0,0,0,0,0,1,1,200.0,215.0,1.0
1088,Scar,WC,9,8,0,0,1,0,0,0,0,-1,0.0,14.0,34.0
1601,FendrickLamar,EC,10,4,0,0,0,1,0,0,0,13,25.0,45.0,15.0
3665,Younger,EC,8,2,0,0,0,1,0,0,0,-1,0.0,18.0,28.0
3954,YungWaff,WC,6,3,0,0,1,0,0,0,0,-1,0.0,11.0,45.0
4205,a-on,WC,8,8,0,0,1,0,0,0,0,-1,0.0,13.0,37.0
4390,NGG | Jflex,NOTAV,1,2,0,0,0,0,0,0,1,13,25.0,36.0,18.0
5630,BKB! | stocmoney,EC,2,3,0,1,0,0,0,0,0,-1,0.0,3.0,97.0
5869,Joey Bats,EC,6,3,0,0,1,0,0,0,0,-1,0.0,11.0,45.0
7149,Trail,EC,6,1,0,0,0,1,0,0,0,-1,0.0,16.0,31.0
10067,icecream,WC,4,3,0,0,1,0,0,0,0,-1,0.0,9.0,58.0
10228,Flow | Stark,WC,3,3,0,1,0,0,0,0,0,-1,0.0,4.0,85.0
10268,PLEB | Capy,WC,1,7,0,1,0,0,0,0,0,-1,0.0,2.0,109.0
10487,KELLZ,EC,12,6,0,0,0,0,1,0,0,17,10.0,37.0,17.0
10529,The Leaf,WC,13,8,0,0,0,1,0,0,0,-1,0.0,23.0,23.0
11945,RULES | Strazz,EC,1,2,0,1,0,0,0,0,0,-1,0.0,2.0,109.0
12023,El Link,WC,5,4,0,0,1,0,0,0,0,-1,0.0,10.0,51.0
12048,K8A,EC,13,7,0,0,0,0,1,0,0,17,10.0,38.0,16.0
13765,Help,WC,8,9,0,0,1,0,0,0,0,-1,0.0,13.0,37.0
14305,Nard Dawg,EC,6,4,0,0,1,0,0,0,0,-1,0.0,11.0,45.0
14592,ZOOK | Suezo,EC,12,4,0,0,0,0,1,0,0,13,25.0,52.0,14.0
16066,TG NBR | Panayiotis,EC,10,3,0,0,0,1,0,0,0,9,45.0,65.0,12.0
16393,Higgins,EC,4,2,0,0,1,0,0,0,0,-1,0.0,9.0,58.0
18652,LFTG | Logos,WC,10,3,0,0,0,1,0,0,0,7,75.0,95.0,7.0
18722,K.H.D | RE!GN,WC,1,2,0,1,0,0,0,0,0,-1,0.0,2.0,109.0
21305,Galen The Wise,WC,5,3,0,0,1,0,0,0,0,-1,0.0,10.0,51.0
