SmasherID,SmashTag,Coast,Wins,Losses,LimitLadderWins,Prospect,Rookie,Pro,AllStar,HallOfFame,Floated,Placement
3665,Younger,NOTAV,0,2,0,0,0,0,0,0,1,17
4390,NGG | Jflex,NOTAV,6,2,0,0,0,0,0,0,1,3
10529,The Leaf,NOTAV,3,2,0,0,0,0,0,0,1,7
13932,Mango's Friend | Lucky,NOTAV,2,2,0,0,0,0,0,0,1,5
14592,ZOOK | Suezo,NOTAV,0,2,0,0,0,0,0,0,1,17
15504,Umarth,NOTAV,0,2,0,0,0,0,0,0,1,17
16066,TG NBR | Panayiotis,NOTAV,3,2,0,0,0,0,0,0,1,9
22479,Peppi | CrossFitJesus,NOTAV,1,2,0,0,0,0,0,0,1,13
26750,KoDoRiN,NOTAV,6,1,0,0,0,0,0,0,1,1
30197,Ober,NOTAV,2,2,0,0,0,0,0,0,1,13
31487,Winx Club | Siddward,NOTAV,0,2,0,0,0,0,0,0,1,17
37116,GUG | Kürv,NOTAV,3,2,0,0,0,0,0,0,1,9
41374,Anchovy,NOTAV,2,2,0,0,0,0,0,0,1,9
44671,Quaff,NOTAV,0,2,0,0,0,0,0,0,1,25
46349,Aura,NOTAV,1,2,0,0,0,0,0,0,1,13
54824,Traplord,NOTAV,3,2,0,0,0,0,0,0,1,9
64692,SANS | Blues Clues,NOTAV,0,2,0,0,0,0,0,0,1,17
65777,bobby big ballz,NOTAV,2,2,0,0,0,0,0,0,1,5
158213,LG | Louis,NOTAV,2,2,0,0,0,0,0,0,1,13
173178,LAG,NOTAV,1,2,0,0,0,0,0,0,1,17
267849,TG | Mot$,NOTAV,2,2,0,0,0,0,0,0,1,7
395730,PQ2 | CPU0,NOTAV,1,2,0,0,0,0,0,0,1,17
508967,Goosekhan,NOTAV,5,2,0,0,0,0,0,0,1,4
694497,IMP | Ben,NOTAV,4,2,0,0,0,0,0,0,1,2
2029721,Ghost Rider,NOTAV,0,2,0,0,0,0,0,0,1,17
