SmasherID,SmashTag,Coast,Wins,Losses,LimitLadderWins,Prospect,Rookie,Pro,AllStar,HallOfFame,Floated,Placement
1008,Westballz,WC,14,2,0,0,0,0,1,0,0,4
2088,ycz6,WC,11,4,0,0,0,1,0,0,0,13
3561,LG | Ginger,NOTAV,4,2,0,0,0,0,0,0,1,2
3602,JLo,EC,6,9,0,1,0,0,0,0,0,-1
3665,Younger,EC,6,4,0,0,1,0,0,0,0,-1
4205,a-on,WC,3,2,0,0,1,0,0,0,0,-1
4317,donk,WC,8,4,0,0,0,1,0,0,0,-1
4390,NGG | Jflex,NOTAV,3,2,0,0,0,0,0,0,1,9
5869,Joey Bats,EC,7,7,0,0,1,0,0,0,0,-1
10067,icecream,WC,3,7,0,1,0,0,0,0,0,-1
10228,Flow | Stark,WC,8,4,0,0,1,0,0,0,0,-1
10485,DD,WC,3,1,0,0,1,0,0,0,0,-1
10520,CREW | G,WC,6,6,0,0,1,0,0,0,0,-1
10968,Enemy,EC,12,9,0,0,1,0,0,0,0,-1
11945,RULES | Strazz,EC,4,6,0,1,0,0,0,0,0,-1
12023,El Link,WC,1,0,0,1,0,0,0,0,0,-1
12137,yingling,WC,10,10,0,0,1,0,0,0,0,-1
13385,ePG | Chevy,WC,9,5,0,0,1,0,0,0,0,-1
13505,Sworderailer,WC,1,2,0,1,0,0,0,0,0,-1
13932,Mango's Friend | Lucky,NOTAV,4,2,0,0,0,0,0,0,1,3
14489,Crow,WC,6,7,0,0,1,0,0,0,0,-1
15087,Reese,EC,5,2,0,0,1,0,0,0,0,-1
15298,Cowbell,WC,3,4,0,1,0,0,0,0,0,-1
15504,Umarth,WC,9,4,0,0,0,1,0,0,0,-1
16294,Ders,EC,1,6,0,1,0,0,0,0,0,-1
16393,Higgins,EC,3,4,0,1,0,0,0,0,0,-1
18722,Reign,WC,2,6,0,1,0,0,0,0,0,-1
18840,Gooms,WC,12,8,0,0,0,1,0,0,0,-1
21405,Fire,WC,3,6,0,1,0,0,0,0,0,-1
22479,Peppi | CrossFitJesus,WC,13,3,0,0,0,0,1,0,0,9
22551,Eddyvandamn,WC,5,5,0,0,1,0,0,0,0,-1
23214,Potts,EC,3,5,0,1,0,0,0,0,0,-1
23501,Ratt,WC,2,4,0,1,0,0,0,0,0,-1
23615,Noc,WC,12,12,0,0,1,0,0,0,0,-1
26387,Phantom Airline,EC,5,6,0,1,0,0,0,0,0,-1
26750,KoDoRiN,NOTAV,6,1,0,0,0,0,0,0,1,1
29103,Hexjo,EC,2,1,0,0,1,0,0,0,0,-1
29984,Broasty,EC,1,2,0,1,0,0,0,0,0,-1
30865,Spi,EC,1,7,0,1,0,0,0,0,0,-1
31487,Winx Club | Siddward,EC,8,2,0,0,0,1,0,0,0,17
33655,Mo $,WC,4,7,0,1,0,0,0,0,0,-1
34266,WOMB#619 | Wombat,WC,3,4,0,1,0,0,0,0,0,-1
34980,Crispy | Chango,WC,8,1,0,0,0,1,0,0,0,-1
35258,LFG | Fist Mexico,WC,11,14,0,0,1,0,0,0,0,-1
36538,Bayløck,EC,6,10,0,1,0,0,0,0,0,-1
37062,Reaver_King,EC,1,7,0,1,0,0,0,0,0,-1
37116,GUG | Kürv,WC,13,4,0,0,0,0,1,0,0,13
38643,RedX,WC,9,12,0,1,0,0,0,0,0,-1
