SmasherID,SmashTag,RWeek1,RWeek2,RWeek3,RankChange
657464,CowCowCowCowCow,NAN,41.0,35.0,6.0
709843,Chem,14.0,22.0,29.0,-7.0
718293,Nico,NAN,69.0,85.0,-16.0
735376,CVSmashMods | Ripn,NAN,69.0,85.0,-16.0
897815,moscow mich,NAN,NAN,73.0,New
925369,Fishpaste,50.0,81.0,99.0,-18.0
927948,clichÃÂ©,10.0,12.0,19.0,-7.0
1186877,Tomz,NAN,NAN,112.0,New
2064187,Abhi,NAN,90.0,112.0,-22.0
2082068,CarltonDanks,56.0,90.0,112.0,-22.0
2085246,kippu,NAN,69.0,79.0,-10.0
