SmasherID,SmashTag,RWeek1,RWeek2,RWeek3,RWeek4,RWeek5,RWeek6,RWeek7,RWeek8,ChangeInRank
1682252,BABA | shama,NAN,NAN,NAN,90.0,103.0,128.0,148.0,174.0,-26.0
1682516,BABA | Babo,NAN,NAN,NAN,160.0,191.0,217.0,248.0,280.0,-32.0
1729667,SlickSiwik,NAN,NAN,NAN,NAN,NAN,NAN,NAN,272.0,NAN
1794541,Chubbz,NAN,NAN,NAN,78.0,92.0,110.0,126.0,148.0,-22.0
1833788,dust,NAN,NAN,NAN,NAN,NAN,NAN,NAN,280.0,NAN
1839605,DontTestMe,NAN,NAN,NAN,NAN,NAN,NAN,NAN,35.0,NAN
1940641,100 Days Of Solitude,NAN,NAN,NAN,NAN,164.0,189.0,215.0,242.0,-27.0
1966716,LewdCelebs4Free,NAN,NAN,NAN,NAN,NAN,NAN,179.0,132.0,47.0
1966739,ImYourDade,NAN,NAN,NAN,NAN,NAN,NAN,241.0,272.0,-31.0
1969893,Enrique Iglesias,NAN,NAN,NAN,NAN,NAN,NAN,141.0,165.0,-24.0
2011811,sucordie,NAN,NAN,NAN,132.0,164.0,189.0,215.0,242.0,-27.0
2021066,Schweppes,NAN,NAN,NAN,160.0,191.0,217.0,248.0,280.0,-32.0
2026451,ASAPferq,NAN,NAN,NAN,160.0,191.0,217.0,223.0,252.0,-29.0
2029721,Ghost Rider,NAN,NAN,NAN,39.0,49.0,39.0,42.0,48.0,-6.0
2031615,420 | Yolk,NAN,NAN,NAN,112.0,135.0,156.0,179.0,212.0,-33.0
2038523,thesiscat,NAN,NAN,NAN,NAN,NAN,110.0,126.0,148.0,-22.0
2044204,Eastwood,NAN,NAN,NAN,NAN,NAN,189.0,215.0,242.0,-27.0
2064187,Abhi,NAN,90.0,112.0,176.0,207.0,234.0,267.0,300.0,-33.0
2082068,CarltonDanks,56.0,90.0,112.0,176.0,207.0,234.0,267.0,300.0,-33.0
2085246,kippu,NAN,69.0,79.0,106.0,128.0,151.0,174.0,204.0,-30.0
2094677,peenlover,NAN,NAN,NAN,NAN,NAN,NAN,248.0,280.0,-32.0
2111424,flowjam,NAN,NAN,NAN,176.0,207.0,234.0,267.0,300.0,-33.0
2114345,Watermelons,NAN,NAN,NAN,125.0,157.0,179.0,203.0,231.0,-28.0
2114347,adamaggy,NAN,NAN,NAN,106.0,128.0,151.0,174.0,204.0,-30.0
2114773,Raffshot,NAN,NAN,NAN,176.0,207.0,234.0,267.0,300.0,-33.0
2122811,$W@6 | rocketf20,NAN,NAN,NAN,NAN,207.0,234.0,267.0,300.0,-33.0
2123726,Sax,NAN,NAN,NAN,NAN,207.0,234.0,267.0,300.0,-33.0
2131909,gbio,NAN,NAN,NAN,NAN,NAN,196.0,223.0,252.0,-29.0
2142566,lavalamp,NAN,NAN,NAN,NAN,NAN,NAN,223.0,252.0,-29.0
2145485,scrubjr,NAN,NAN,NAN,NAN,NAN,NAN,NAN,185.0,NAN
2146702,Port!!!,NAN,NAN,NAN,NAN,NAN,NAN,NAN,252.0,NAN
2147247,UPTILT | Nishi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,165.0,NAN
2147280,Saatvik,NAN,NAN,NAN,NAN,NAN,NAN,NAN,185.0,NAN
