SmasherID,SmashTag,RWeek1,RWeek2,RWeek3,RWeek4,RWeek5,RWeek6,RWeek7,RWeek8,ChangeInRank
13765,Help,NAN,NAN,NAN,NAN,119.0,103.0,80.0,92.0,-12.0
13906,SSBM-T | LuigiKid,NAN,NAN,NAN,NAN,NAN,NAN,NAN,192.0,NAN
13932,Mango's Friend | Lucky,NAN,NAN,NAN,22.0,26.0,27.0,30.0,14.0,16.0
13960,RB | V$,NAN,NAN,91.0,150.0,185.0,210.0,241.0,272.0,-31.0
14305,Nard Dawg,NAN,NAN,NAN,NAN,NAN,NAN,NAN,204.0,NAN
14617,DiscipleOfBorp,43.0,66.0,82.0,132.0,164.0,189.0,215.0,242.0,-27.0
15060,Just Jason,NAN,NAN,NAN,176.0,207.0,234.0,267.0,300.0,-33.0
15298,Cowbell,NAN,NAN,49.0,49.0,59.0,66.0,57.0,54.0,3.0
15390,Tammerath,NAN,NAN,NAN,NAN,NAN,NAN,163.0,185.0,-22.0
15678,Zeph,NAN,NAN,NAN,90.0,103.0,128.0,148.0,174.0,-26.0
15948,glum oinkin',NAN,75.0,91.0,150.0,185.0,210.0,241.0,272.0,-31.0
16023,soccermom69,NAN,23.0,30.0,42.0,52.0,60.0,67.0,73.0,-6.0
16066,TG NBR | Panos,38.0,56.0,69.0,36.0,46.0,55.0,60.0,65.0,-5.0
16393,Higgins,NAN,NAN,NAN,NAN,NAN,NAN,64.0,70.0,-6.0
18722,K.H.D | Reign,NAN,75.0,91.0,150.0,157.0,179.0,203.0,212.0,-9.0
19346,SonOfJ,NAN,41.0,49.0,71.0,85.0,100.0,116.0,132.0,-16.0
21215,Dom,8.0,11.0,18.0,23.0,28.0,31.0,36.0,41.0,-5.0
21525,Kaptinkillem,NAN,NAN,62.0,96.0,110.0,137.0,101.0,114.0,-13.0
21661,GLR | JAM,NAN,26.0,34.0,31.0,29.0,32.0,37.0,27.0,10.0
22479,GEM | CrossFitJesus,NAN,NAN,NAN,55.0,63.0,72.0,80.0,92.0,-12.0
22688,ROFL,NAN,NAN,NAN,70.0,83.0,98.0,114.0,129.0,-15.0
22848,darkwizard123,NAN,NAN,NAN,67.0,79.0,94.0,110.0,123.0,-13.0
22937,USF | Quadae,NAN,NAN,NAN,NAN,NAN,65.0,72.0,79.0,-7.0
23920,GHQ | Zamu,11.0,16.0,24.0,29.0,38.0,46.0,52.0,59.0,-7.0
24423,Talen,NAN,NAN,NAN,NAN,135.0,123.0,141.0,165.0,-24.0
25478,Maruf,NAN,NAN,NAN,NAN,110.0,137.0,73.0,81.0,-8.0
25789,Tourist,NAN,56.0,69.0,106.0,128.0,151.0,174.0,204.0,-30.0
26153,DarkGenex,24.0,44.0,52.0,47.0,57.0,64.0,71.0,78.0,-7.0
26387,Phantom Airline,NAN,NAN,NAN,NAN,119.0,75.0,88.0,76.0,12.0
26579,Zave,NAN,NAN,NAN,NAN,NAN,128.0,148.0,174.0,-26.0
26701,dirtyDev,NAN,NAN,NAN,120.0,148.0,168.0,190.0,136.0,54.0
26750,KoDoRiN,6.0,6.0,6.0,7.0,5.0,4.0,4.0,4.0,0.0
27257,TBS | Nero,NAN,NAN,NAN,NAN,NAN,NAN,NAN,192.0,NAN
27527,Megaman,NAN,44.0,32.0,45.0,44.0,53.0,58.0,47.0,11.0
27638,Panda,NAN,NAN,NAN,53.0,60.0,68.0,76.0,86.0,-10.0
27754,Chummi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,111.0,NAN
27862,Musashi,31.0,39.0,46.0,62.0,72.0,82.0,96.0,109.0,-13.0
28793,Light,NAN,33.0,39.0,54.0,62.0,71.0,79.0,91.0,-12.0
29840,TBD,NAN,30.0,38.0,37.0,47.0,37.0,40.0,45.0,-5.0
30581,Jolf,NAN,NAN,NAN,NAN,NAN,NAN,158.0,129.0,29.0
30865,Spi,NAN,NAN,NAN,NAN,NAN,NAN,190.0,223.0,-33.0
31090,punished | gelp,NAN,NAN,NAN,140.0,172.0,196.0,223.0,252.0,-29.0
31473,C H U M P I S,NAN,NAN,NAN,NAN,NAN,NAN,NAN,204.0,NAN
31658,early,NAN,NAN,NAN,160.0,191.0,217.0,248.0,280.0,-32.0
33371,Fraud,NAN,NAN,NAN,120.0,148.0,168.0,190.0,223.0,-33.0
33387,pointykitty,NAN,81.0,99.0,132.0,135.0,123.0,141.0,165.0,-24.0
34266,WOMB#619 | Wombat,NAN,NAN,85.0,106.0,119.0,144.0,163.0,192.0,-29.0
34980,Crispy | Chango,NAN,NAN,NAN,56.0,64.0,73.0,82.0,96.0,-14.0
35423,Gaz333,NAN,NAN,NAN,NAN,NAN,NAN,141.0,165.0,-24.0
36990,Trock,NAN,21.0,28.0,40.0,50.0,57.0,63.0,69.0,-6.0
37116,GUG | Kürv,NAN,NAN,NAN,49.0,27.0,29.0,13.0,12.0,1.0
38175,W8ASec,28.0,52.0,60.0,90.0,103.0,128.0,148.0,174.0,-26.0
38201,Blue Jay,NAN,NAN,99.0,160.0,191.0,217.0,248.0,280.0,-32.0
38567,Android 0,NAN,9.0,14.0,19.0,23.0,23.0,28.0,33.0,-5.0
38643,RedX,40.0,59.0,73.0,112.0,76.0,67.0,62.0,68.0,-6.0
39997,Sparky,NAN,NAN,NAN,NAN,NAN,NAN,NAN,158.0,NAN
40403,Pawn,56.0,63.0,65.0,73.0,79.0,82.0,82.0,92.0,-10.0
41211,Denzill,NAN,NAN,NAN,NAN,110.0,137.0,158.0,185.0,-27.0
41492,Divine Senator Kelly,NAN,NAN,NAN,96.0,110.0,137.0,110.0,123.0,-13.0
45356,OtES,40.0,59.0,73.0,112.0,135.0,156.0,103.0,84.0,19.0
47650,shoelegend88,NAN,NAN,NAN,NAN,NAN,NAN,124.0,123.0,1.0
47832,IceCreamOG,NAN,NAN,NAN,NAN,NAN,NAN,NAN,165.0,NAN
47866,Erik,NAN,27.0,36.0,28.0,21.0,12.0,10.0,10.0,0.0
48578,LoneCubone,NAN,NAN,112.0,176.0,207.0,234.0,267.0,300.0,-33.0
48857,hestoned,NAN,NAN,NAN,NAN,NAN,NAN,NAN,114.0,NAN
50047,ScrubUp,NAN,NAN,NAN,83.0,97.0,119.0,75.0,84.0,-9.0
51055,bird | unlucky,NAN,NAN,NAN,NAN,135.0,156.0,179.0,212.0,-33.0
51488,Maher,NAN,NAN,NAN,NAN,54.0,63.0,70.0,76.0,-6.0
51608,Vitro,43.0,66.0,82.0,132.0,164.0,189.0,215.0,242.0,-27.0
53112,8-bit | dansdaman,NAN,NAN,NAN,NAN,NAN,100.0,116.0,132.0,-16.0
53131,DHB | IggyNieves,NAN,NAN,NAN,83.0,97.0,119.0,137.0,158.0,-21.0
53365,Ringler,50.0,81.0,99.0,160.0,191.0,217.0,248.0,280.0,-32.0
54316,Stone,NAN,NAN,NAN,125.0,157.0,179.0,203.0,231.0,-28.0
54390,Bonn Esports | Question,NAN,27.0,36.0,31.0,40.0,48.0,54.0,61.0,-7.0
55354,Travy,NAN,NAN,NAN,90.0,67.0,75.0,88.0,102.0,-14.0
56287,Sporsinick,NAN,NAN,NAN,120.0,148.0,168.0,190.0,223.0,-33.0
58670,RCS | Savestate,NAN,NAN,NAN,NAN,NAN,NAN,NAN,86.0,NAN
60696,FM | Cilan,NAN,32.0,21.0,25.0,33.0,30.0,35.0,40.0,-5.0
61570,YC | Pappi,NAN,NAN,NAN,62.0,72.0,58.0,19.0,20.0,-1.0
61640,CAPTwheatroll,NAN,NAN,NAN,NAN,NAN,NAN,203.0,231.0,-28.0
61873,306 | Polo,19.0,35.0,42.0,58.0,67.0,75.0,88.0,102.0,-14.0
61897,PEP | LSD,5.0,8.0,4.0,2.0,2.0,5.0,5.0,5.0,0.0
63720,TNC | n3zModGod,NAN,NAN,NAN,120.0,148.0,168.0,190.0,86.0,104.0
64260,Hellraid,NAN,NAN,NAN,176.0,207.0,234.0,267.0,280.0,-13.0
64644,STP,NAN,NAN,NAN,NAN,128.0,94.0,82.0,96.0,-14.0
64692,SANS | Blues Clues,13.0,7.0,9.0,9.0,9.0,8.0,9.0,9.0,0.0
65566,Miranda,47.0,75.0,91.0,150.0,148.0,168.0,190.0,143.0,47.0
65598,rickey_kc,NAN,NAN,NAN,140.0,172.0,196.0,223.0,252.0,-29.0
65777,bobby big ballz,9.0,5.0,3.0,3.0,4.0,2.0,2.0,2.0,0.0
127639,Neologism,NAN,NAN,NAN,51.0,30.0,35.0,39.0,44.0,-5.0
130672,Soltrain,NAN,NAN,NAN,101.0,83.0,90.0,103.0,117.0,-14.0
132537,RG | Far!,NAN,NAN,NAN,NAN,20.0,16.0,21.0,23.0,-2.0
133666,404 YC | Salt,NAN,NAN,NAN,NAN,37.0,45.0,50.0,58.0,-8.0
135088,LFG | PanterA,NAN,NAN,NAN,NAN,NAN,NAN,NAN,48.0,NAN
135157,billybopeep,19.0,35.0,42.0,58.0,67.0,75.0,88.0,102.0,-14.0
138710,Golden,12.0,18.0,26.0,31.0,40.0,48.0,21.0,23.0,-2.0
144133,YBBT | leroydankins,NAN,NAN,85.0,140.0,172.0,110.0,116.0,132.0,-16.0
147251,GS | TreyTheTrashman,NAN,69.0,85.0,140.0,172.0,196.0,223.0,252.0,-29.0
147424,Spiral Cafe | Krudo,NAN,NAN,NAN,26.0,34.0,40.0,44.0,51.0,-7.0
147811,Dawson,27.0,50.0,56.0,83.0,97.0,119.0,137.0,158.0,-21.0
148200,Big Pivot,NAN,90.0,99.0,160.0,191.0,144.0,163.0,192.0,-29.0
149952,Jakespeare,NAN,NAN,85.0,140.0,87.0,103.0,119.0,136.0,-17.0
150123,TPN,NAN,NAN,NAN,NAN,NAN,NAN,64.0,70.0,-6.0
150888,Shy,NAN,52.0,60.0,90.0,103.0,128.0,148.0,174.0,-26.0
152430,HWY | ybot,NAN,NAN,NAN,NAN,64.0,73.0,82.0,96.0,-14.0
152940,CLEM#112 | Clem,NAN,NAN,NAN,73.0,87.0,103.0,119.0,136.0,-17.0
153334,Silkylaroux,NAN,NAN,NAN,106.0,128.0,123.0,141.0,165.0,-24.0
155077,radvillainy,50.0,81.0,99.0,160.0,191.0,189.0,215.0,242.0,-27.0
156518,Lust,NAN,NAN,NAN,140.0,172.0,196.0,223.0,252.0,-29.0
157615,ight,NAN,NAN,48.0,51.0,43.0,52.0,43.0,50.0,-7.0
157632,TurboThot,NAN,81.0,65.0,101.0,119.0,144.0,163.0,192.0,-29.0
158003,Mono,NAN,NAN,NAN,NAN,NAN,NAN,163.0,192.0,-29.0
158148,Chewy,47.0,75.0,91.0,150.0,110.0,94.0,110.0,123.0,-13.0
162779,FISA | JoJo,NAN,NAN,NAN,NAN,119.0,144.0,163.0,192.0,-29.0
164047,CG | Firebolt,NAN,NAN,NAN,64.0,74.0,84.0,97.0,111.0,-14.0
170887,Ahung,NAN,NAN,NAN,NAN,207.0,210.0,241.0,272.0,-31.0
