SmasherID,SmashTag,BWeek1,BWeek2,BWeek3,BWeek4
1008,Westballz,NAN,NAN,NAN,83.0
1016,Fiction,104.0,104.0,293.0,293.0
1017,S2J,139.0,246.0,246.0,478.0
1019,CLG. | SFAT,197.0,361.0,361.0,448.0
1077,Revenge | Gahtzu,168.0,384.0,384.0,491.0
1621,bensw,NAN,NAN,2.0,2.0
2088,ycz6,NAN,NAN,NAN,21.0
3561,Ginger,235.0,424.0,424.0,587.0
3734,Hulka,29.0,29.0,29.0,29.0
4127,MIOM | Toph,28.0,28.0,28.0,28.0
4197,Uncle Pete,NAN,8.0,8.0,8.0
4317,Solo.,NAN,NAN,NAN,15.0
4748,GST | Ryobeat,11.0,11.0,11.0,54.0
4864,Theftz,4.0,4.0,8.0,8.0
5050,Troy,NAN,NAN,NAN,6.0
5457,Bones,NAN,NAN,NAN,26.0
5618,ANTIFA CEO | Quiggles,12.0,35.0,103.0,128.0
6700,JCubez,NAN,NAN,93.0,137.0
7149,Trail,NAN,NAN,30.0,56.0
7201,.Ðempt,NAN,73.0,114.0,114.0
7550,OXY | TheCrimsonBlur,NAN,NAN,NAN,10.0
10485,DD,42.0,90.0,136.0,156.0
10529,The Leaf,NAN,63.0,63.0,63.0
11945,Strazz,2.0,7.0,9.0,9.0
12137,yingling,16.0,16.0,72.0,72.0
12353,Twisty,NAN,65.0,120.0,120.0
13622,Blu-J,1.0,1.0,1.0,1.0
13664,codeman,NAN,NAN,NAN,12.0
13748,,NAN,NAN,113.0,149.0
13932,Mango's Friend | Lucky,NAN,NAN,NAN,108.0
13960,RB | V$,NAN,NAN,3.0,3.0
14617,DiscipleOfBorp,5.0,5.0,5.0,5.0
15060,Just Jason,NAN,NAN,NAN,1.0
15298,Cowbell,NAN,NAN,18.0,39.0
15678,Zeph,NAN,NAN,NAN,12.0
15948,glum oinkin',NAN,3.0,3.0,3.0
16023,soccermom69,NAN,47.0,47.0,47.0
16066,TG NBR | Panos,9.0,9.0,9.0,55.0
18722,K.H.D | Reign,NAN,3.0,3.0,3.0
19346,SonOfJ,NAN,18.0,18.0,18.0
21215,Dom,99.0,99.0,99.0,99.0
21525,Kaptinkillem,NAN,NAN,11.0,11.0
21661,GLR | JAM,NAN,42.0,42.0,63.0
22479,GEM | CrossFitJesus,NAN,NAN,NAN,31.0
22688,ROFL,NAN,NAN,NAN,19.0
22848,darkwizard123,NAN,NAN,NAN,21.0
23920,GHQ | Zamu,65.0,65.0,65.0,65.0
25789,Tourist,NAN,9.0,9.0,9.0
26153,DarkGenex,16.0,16.0,16.0,41.0
26701,dirtyDev,NAN,NAN,NAN,7.0
26750,KoDoRiN,113.0,202.0,340.0,394.0
27527,Megaman,NAN,16.0,43.0,43.0
27638,Panda,NAN,NAN,NAN,34.0
27862,Musashi,11.0,27.0,27.0,27.0
28793,Light,NAN,32.0,32.0,32.0
29840,TBD,NAN,34.0,34.0,54.0
31090,punished | gelp,NAN,NAN,NAN,4.0
31658,early,NAN,NAN,NAN,2.0
33371,Fraud,NAN,NAN,NAN,7.0
33387,pointykitty,NAN,2.0,2.0,5.0
34266,WOMB#619 | Wombat,NAN,NAN,4.0,9.0
34980,Crispy | Chango,NAN,NAN,NAN,29.0
36990,Trock,NAN,50.0,50.0,50.0
37116,GUG | Kürv,NAN,NAN,NAN,39.0
38175,W8ASec,12.0,12.0,12.0,12.0
38201,Blue Jay,NAN,NAN,2.0,2.0
38567,Android 0,NAN,116.0,116.0,116.0
38643,RedX,8.0,8.0,8.0,8.0
40403,Pawn,1.0,7.0,10.0,17.0
41492,Divine Senator Kelly,NAN,NAN,NAN,11.0
45356,OtES,8.0,8.0,8.0,8.0
47866,S.C.E. | Erik,NAN,37.0,37.0,66.0
48578,LoneCubone,NAN,NAN,1.0,1.0
50047,ScrubUp,NAN,NAN,NAN,14.0
51608,Vitro,5.0,5.0,5.0,5.0
53131,DHB | IggyNieves,NAN,NAN,NAN,14.0
53365,Ringler,2.0,2.0,2.0,2.0
54316,Stone,NAN,NAN,NAN,6.0
54390,Bonn Esports | Question,NAN,37.0,37.0,63.0
55354,Travy,NAN,NAN,NAN,12.0
56287,Sporsinick,NAN,NAN,NAN,7.0
60696,FM | Cilan,NAN,33.0,78.0,78.0
61570,Pappi,NAN,NAN,NAN,27.0
61873,306 | Polo,28.0,28.0,28.0,28.0
61897,LSD,124.0,124.0,362.0,552.0
63720,TNC | n3zModGod,NAN,NAN,NAN,7.0
64260,Hellraid,NAN,NAN,NAN,1.0
64692,SANS | Blues Clues,55.0,153.0,210.0,210.0
65566,Miranda,3.0,3.0,3.0,3.0
65598,rickey_kc,NAN,NAN,NAN,4.0
65777,bobby big ballz,73.0,219.0,383.0,524.0
127639,Neologism,NAN,NAN,NAN,37.0
130672,Soltrain,NAN,NAN,NAN,10.0
135157,billybopeep,28.0,28.0,28.0,28.0
138710,Golden,63.0,63.0,63.0,63.0
144133,YBBT | leroydankins,NAN,NAN,4.0,4.0
147251,GS | TreyTheTrashman,NAN,4.0,4.0,4.0
147424,Spiral Cafe | Krudo,NAN,NAN,NAN,74.0
147811,Dawson,14.0,14.0,14.0,14.0
148200,Big Pivot,NAN,1.0,2.0,2.0
149952,Jakespeare,NAN,NAN,4.0,4.0
150888,Shy,NAN,12.0,12.0,12.0
152940,CLEM#112 | Clem,NAN,NAN,NAN,17.0
153334,Silkylaroux,NAN,NAN,NAN,9.0
155077,radvillainy,2.0,2.0,2.0,2.0
156518,Lust,NAN,NAN,NAN,4.0
157615,ight,NAN,NAN,19.0,37.0
157632,TurboThot,NAN,2.0,10.0,10.0
158148,Chewy,3.0,3.0,3.0,3.0
164047,CG | Firebolt,NAN,NAN,NAN,26.0
171111,UARK | VentusWK,NAN,NAN,NAN,6.0
173178,LAG,NAN,NAN,NAN,18.0
174790,Mounir,NAN,NAN,NAN,11.0
175490,QoT | Cruelscotty,NAN,NAN,NAN,17.0
176387,Badboi,NAN,NAN,NAN,1.0
183400,Doctor Dank,NAN,3.0,3.0,3.0
183677,Yamasaki,NAN,NAN,NAN,7.0
185618,Captain G,47.0,47.0,47.0,47.0
219919,Frozone,NAN,NAN,NAN,3.0
223503,Rigo Bigo,NAN,6.0,6.0,6.0
229216,KaiKwonDo,NAN,3.0,3.0,3.0
230537,hHerb,NAN,NAN,NAN,5.0
241260,Alex18+,3.0,13.0,13.0,13.0
250581,Fizz,NAN,73.0,73.0,136.0
255496,ericiscool.net,2.0,2.0,14.0,14.0
257025,2Framez,11.0,15.0,15.0,15.0
264211,BLM | Rats!,NAN,NAN,NAN,15.0
265808,NOOT,9.0,9.0,9.0,115.0
268767,markrevival,NAN,NAN,2.0,6.0
279722,EP | Justus,34.0,34.0,132.0,132.0
279871,KLAWHAU5,NAN,NAN,NAN,2.0
