SmasherID,SmashTag,BWeek1,BWeek2,BWeek3,BWeek4
286517,Thad <3,10.0,16.0,16.0,21.0
288395,jams,5.0,5.0,5.0,5.0
294260,ABG | salami,28.0,28.0,28.0,28.0
301566,JustJoshin,NAN,4.0,13.0,13.0
310321,TC | BuyMyMixTape,NAN,NAN,NAN,8.0
325974,SDJ,NAN,NAN,64.0,64.0
327212,Marrgasm,12.0,43.0,43.0,43.0
329160,ZUTH | Zuthane,NAN,NAN,3.0,3.0
329937,LanTurN,NAN,NAN,10.0,22.0
330200,TT | Dair,NAN,NAN,NAN,5.0
353165,Milo,15.0,15.0,15.0,15.0
357233,Afron,1.0,1.0,1.0,1.0
364725,LUNK#783 | dom,NAN,NAN,2.0,2.0
367758,Rose,NAN,NAN,NAN,1.0
391890,TheFormuoli,11.0,11.0,11.0,11.0
407878,Slump,8.0,8.0,8.0,8.0
413573,John,NAN,NAN,10.0,10.0
420458,Jorge,NAN,NAN,NAN,17.0
424095,Frost | JJK,1.0,1.0,1.0,1.0
465131,Hunybear,17.0,17.0,17.0,17.0
478083,saacdaddy,NAN,NAN,NAN,4.0
483428,DCG | Spots,NAN,NAN,2.0,2.0
508569,eh | sickø,NAN,NAN,6.0,6.0
528737,3OutChange,NAN,2.0,2.0,2.0
585236,306 | Amrak,11.0,61.0,188.0,188.0
617254,N8V,2.0,2.0,2.0,2.0
627118,Pipe,11.0,25.0,25.0,47.0
641180,Luppi,NAN,2.0,2.0,2.0
657175,Bobakanoosh,NAN,NAN,NAN,4.0
657464,CowCowCowCowCow,NAN,18.0,40.0,40.0
694759,snek,NAN,NAN,NAN,3.0
709843,Chem,48.0,48.0,48.0,48.0
718293,Nico,NAN,4.0,4.0,4.0
735376,CVSmashMods | Ripn,NAN,4.0,4.0,4.0
789026,Douglas.J.Gov,NAN,NAN,NAN,14.0
858866,SLO | GrizzlyBair,NAN,NAN,NAN,11.0
862074,snacklepackle,NAN,NAN,NAN,10.0
897815,moscow mich,NAN,NAN,8.0,8.0
925369,Fishpaste,2.0,2.0,2.0,2.0
927948,cliché,67.0,95.0,95.0,118.0
1047164,lemon,NAN,NAN,NAN,1.0
1099771,PP | Droze,NAN,NAN,NAN,1.0
1186877,Tomz,NAN,NAN,1.0,1.0
1301072,Melos,NAN,NAN,NAN,5.0
1315595,Sleeepy,NAN,NAN,NAN,1.0
1322460,8167263631 | Notto,NAN,NAN,NAN,1.0
1682252,BABA | shama,NAN,NAN,NAN,12.0
1682516,BABA | Babo,NAN,NAN,NAN,2.0
1794541,Chubbz,NAN,NAN,NAN,15.0
2011811,sucordie,NAN,NAN,NAN,5.0
2021066,Schweppes,NAN,NAN,NAN,2.0
2026451,ASAPferq,NAN,NAN,NAN,2.0
2029721,Ghost Rider,NAN,NAN,NAN,51.0
2031615,420 | Yolk,NAN,NAN,NAN,8.0
2064187,Abhi,NAN,1.0,1.0,1.0
2082068,CarltonDanks,1.0,1.0,1.0,1.0
2085246,kippu,NAN,4.0,7.0,9.0
2111424,flowjam,NAN,NAN,NAN,1.0
2114345,Watermelons,NAN,NAN,NAN,6.0
2114347,adamaggy,NAN,NAN,NAN,9.0
2114773,Raffshot,NAN,NAN,NAN,1.0
