SmasherID,SmashTag,NumTMTEntered,NumInBracket,PWeek1,PWeek2,PWeek3,PWeek4,PWeek5,PWeek6,PWeek7,PWeek8,PWeek9,PWeek10,PWeek11,PWeek12
10430.0,FreeSSBM,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-2,-1
10485.0,DD,9,5,13.0,13.0,13.0,-1,13,-1,17,-2,-2,-2,-1,-1
10520.0,CREW | G,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-1,-2,-2
10529.0,The Leaf,1,1,-2.0,9.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-2,-2
10562.0,SFOP,4,4,-2.0,-2.0,-2.0,-2,-2,-2,-2,5,5,3,17,-2
10653.0,Joshuwasha,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-2,-1
10666.0,SF | Herrán,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-1,-2,-2
10994.0,RedHousePainter,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-1,-2,-2,-2,-2
11490.0,Dash,3,1,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-1,-1,9
11590.0,Rickeye_rick,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-2,-1
11603.0,Arctic,2,0,-2.0,-2.0,-2.0,-2,-1,-1,-2,-2,-2,-2,-2,-2
11606.0,Elk_G | Karm,2,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-1,-1,-2
11781.0,htwa,2,1,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-1,17,-2
11945.0,CSTR#106 | Strazz,8,0,-1.0,-1.0,-1.0,-2,-2,-2,-2,-1,-1,-1,-1,-1
11961.0,Mucho Man Randy Passion,2,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-1,-1,-2
12048.0,K8A,3,2,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,5,-1,17,-2
12137.0,yingling,6,2,-1.0,-2.0,13.0,-2,-2,-1,-2,-2,17,-2,-1,-1
12353.0,Twisty,2,2,-2.0,9.0,9.0,-2,-2,-2,-2,-2,-2,-2,-2,-2
12817.0,WU | nerodero,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-2,-1
13376.0,Dhir,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-1,-2
13385.0,ePG | Chevy,1,1,-2.0,-2.0,-2.0,-2,-2,9,-2,-2,-2,-2,-2,-2
13622.0,Blu-J,1,0,-1.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-2,-2
13639.0,21! | Ronan,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-2,-1
13664.0,codeman,1,0,-2.0,-2.0,-2.0,-1,-2,-2,-2,-2,-2,-2,-2,-2
13748.0,,2,2,-2.0,-2.0,5.0,17,-2,-2,-2,-2,-2,-2,-2,-2
13765.0,Help,5,0,-2.0,-2.0,-2.0,-2,-1,-1,-1,-2,-2,-2,-1,-1
13906.0,SSBM-T | LuigiKid,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-1,-2,-2,-2,-2
13932.0,Mango's Friend | Lucky,3,2,-2.0,-2.0,-2.0,5,-2,-2,-2,4,-1,-2,-2,-2
13956.0,Vino,2,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-1,-1
13960.0,RB | V$,1,0,-2.0,-2.0,-1.0,-2,-2,-2,-2,-2,-2,-2,-2,-2
14025.0,Austintacious,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-1,-2,-2
14062.0,Jzhu,2,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-1,-1
14305.0,Nard Dawg,5,1,-2.0,-2.0,-2.0,-2,-2,-2,-2,-1,13,-1,-1,-1
14489.0,Crow,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-2,-1
14617.0,DiscipleOfBorp,1,0,-1.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-2,-2
15060.0,Just Jason,1,0,-2.0,-2.0,-2.0,-1,-2,-2,-2,-2,-2,-2,-2,-2
15070.0,Verdo,2,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-1,-2,-1
15171.0,oh,1,1,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,13,-2,-2,-2
15298.0,Cowbell,8,1,-2.0,-2.0,-1.0,-1,-2,-2,-1,-1,9,-1,-1,-1
15390.0,Tammerath,2,0,-2.0,-2.0,-2.0,-2,-2,-2,-1,-1,-2,-2,-2,-2
15678.0,Zeph,1,0,-2.0,-2.0,-2.0,-1,-2,-2,-2,-2,-2,-2,-2,-2
15948.0,glum oinkin',1,0,-2.0,-1.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-2,-2
16023.0,soccermom69,1,1,-2.0,13.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-2,-2
16066.0,TG NBR | Panayiotis,3,1,-1.0,-2.0,-2.0,13,-2,-2,-2,-2,-2,-2,-2,-1
16294.0,Ders,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-1,-2,-2
16393.0,Higgins,2,1,-2.0,-2.0,-2.0,-2,-2,-2,13,-2,-2,-2,-1,-2
18652.0,LFTG | Logos,3,1,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-1,-1,-2,5
18722.0,K.H.D | Reign,6,0,-2.0,-1.0,-2.0,-2,-1,-2,-2,-1,-1,-2,-1,-1
19346.0,SonOfJ,1,1,-2.0,25.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-2,-2
19951.0,bliutwo,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-1,-2,-2,-2
21215.0,Dom,1,1,7.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-2,-2
21305.0,Galen The Wise,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-1,-2,-2,-2
21469.0,ramrod,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-1,-2,-2
21525.0,Kaptinkillem,2,0,-2.0,-2.0,-1.0,-2,-2,-2,-1,-2,-2,-2,-2,-2
21661.0,GLR | JAM,4,3,-2.0,17.0,-2.0,-1,17,-2,-2,13,-2,-2,-2,-2
22088.0,Nebulous | Jib,2,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-1,-2,-1
22458.0,Kandayo,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-2,-1
22479.0,GEM | CrossFitJesus,1,1,-2.0,-2.0,-2.0,17,-2,-2,-2,-2,-2,-2,-2,-2
22595.0,Aura,2,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-1,-1,-2
