SmasherID,SmashTag,BWeek1,BWeek2,BWeek3,BWeek4,BWeek5,BWeek6,BWeek7
1633823,ButterRoyaleTV,NAN,NAN,NAN,NAN,NAN,2.0,2.0
1640788,Special K,NAN,NAN,NAN,NAN,3.0,4.0,4.0
1655337,Drewski,NAN,NAN,NAN,NAN,NAN,6.0,6.0
1682252,BABA | shama,NAN,NAN,NAN,12.0,12.0,12.0,12.0
1682516,BABA | Babo,NAN,NAN,NAN,2.0,2.0,2.0,2.0
1794541,Chubbz,NAN,NAN,NAN,15.0,15.0,15.0,15.0
1940641,100 Days Of Solitude,NAN,NAN,NAN,NAN,5.0,5.0,5.0
1966716,LewdCelebs4Free,NAN,NAN,NAN,NAN,NAN,NAN,8.0
1966739,ImYourDade,NAN,NAN,NAN,NAN,NAN,NAN,3.0
1969893,Enrique Iglesias,NAN,NAN,NAN,NAN,NAN,NAN,13.0
2011811,sucordie,NAN,NAN,NAN,5.0,5.0,5.0,5.0
2021066,Schweppes,NAN,NAN,NAN,2.0,2.0,2.0,2.0
2026451,ASAPferq,NAN,NAN,NAN,2.0,2.0,2.0,4.0
2029721,Ghost Rider,NAN,NAN,NAN,51.0,51.0,78.0,78.0
2031615,420 | Yolk,NAN,NAN,NAN,8.0,8.0,8.0,8.0
2038523,thesiscat,NAN,NAN,NAN,NAN,NAN,15.0,15.0
2044204,Eastwood,NAN,NAN,NAN,NAN,NAN,5.0,5.0
2064187,Abhi,NAN,1.0,1.0,1.0,1.0,1.0,1.0
2082068,CarltonDanks,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2085246,kippu,NAN,4.0,7.0,9.0,9.0,9.0,9.0
2094677,peenlover,NAN,NAN,NAN,NAN,NAN,NAN,2.0
2111424,flowjam,NAN,NAN,NAN,1.0,1.0,1.0,1.0
2114345,Watermelons,NAN,NAN,NAN,6.0,6.0,6.0,6.0
2114347,adamaggy,NAN,NAN,NAN,9.0,9.0,9.0,9.0
2114773,Raffshot,NAN,NAN,NAN,1.0,1.0,1.0,1.0
2122811,$W@6 | rocketf20,NAN,NAN,NAN,NAN,1.0,1.0,1.0
2123726,Sax,NAN,NAN,NAN,NAN,1.0,1.0,1.0
2131909,gbio,NAN,NAN,NAN,NAN,NAN,4.0,4.0
2142566,lavalamp,NAN,NAN,NAN,NAN,NAN,NAN,4.0
