SmasherID,SmashTag,RWeek1,RWeek2,RWeek3,RWeek4,RWeek5,RWeek6,RWeek7,RWeek8,RWeek9,ChangeInRank
1008,Westballz,NAN,NAN,NAN,24.0,31.0,37.0,40.0,45.0,48.0,-3.0
1016,Fiction,7.0,10.0,7.0,8.0,8.0,10.0,12.0,13.0,13.0,0.0
1017,S2J,4.0,4.0,8.0,5.0,1.0,1.0,3.0,3.0,4.0,-1.0
1019,CLG. | SFAT,2.0,3.0,5.0,6.0,3.0,3.0,1.0,1.0,1.0,0.0
1030,LFG | Eddy Mexico,NAN,NAN,NAN,NAN,NAN,NAN,34.0,39.0,44.0,-5.0
1077,Revenge | Gahtzu,3.0,2.0,2.0,4.0,7.0,7.0,7.0,8.0,10.0,-2.0
1621,bensw,NAN,NAN,99.0,160.0,191.0,217.0,248.0,280.0,299.0,-19.0
2088,ycz6,NAN,NAN,NAN,67.0,79.0,94.0,110.0,123.0,132.0,-9.0
3299,Vish,NAN,NAN,NAN,NAN,NAN,62.0,69.0,75.0,83.0,-8.0
3499,Boy,NAN,NAN,NAN,NAN,NAN,NAN,103.0,117.0,127.0,-10.0
3561,Ginger,1.0,1.0,1.0,1.0,6.0,6.0,6.0,6.0,5.0,1.0
3734,Hulka,18.0,34.0,41.0,56.0,64.0,41.0,45.0,54.0,58.0,-4.0
4029,mixx,NAN,NAN,NAN,NAN,NAN,NAN,NAN,192.0,206.0,-14.0
4127,MIOM | Toph,19.0,35.0,42.0,58.0,67.0,75.0,88.0,102.0,110.0,-8.0
4197,Uncle Pete,NAN,59.0,73.0,112.0,135.0,156.0,179.0,212.0,224.0,-12.0
4317,Solo.,NAN,NAN,NAN,78.0,92.0,110.0,126.0,148.0,157.0,-9.0
4390,NGG | Jflex,NAN,NAN,NAN,NAN,NAN,NAN,48.0,21.0,20.0,1.0
4438,pinecone22,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,299.0,NAN
4647,Gaz,NAN,NAN,NAN,NAN,NAN,103.0,82.0,96.0,106.0,-10.0
4738,Young,NAN,NAN,NAN,NAN,NAN,27.0,30.0,35.0,31.0,4.0
4748,GST | Ryobeat,31.0,54.0,62.0,37.0,47.0,56.0,61.0,67.0,74.0,-7.0
4864,Theftz,46.0,69.0,73.0,112.0,135.0,156.0,179.0,212.0,224.0,-12.0
5050,Troy,NAN,NAN,NAN,125.0,157.0,179.0,203.0,231.0,243.0,-12.0
5457,Bones,NAN,NAN,NAN,64.0,18.0,21.0,16.0,17.0,18.0,-1.0
5618,ANTIFA CEO | Quiggles,28.0,29.0,17.0,16.0,13.0,15.0,15.0,16.0,15.0,1.0
6700,JCubez,NAN,NAN,20.0,13.0,10.0,9.0,11.0,11.0,12.0,-1.0
7149,Trail,NAN,NAN,40.0,35.0,44.0,53.0,58.0,64.0,70.0,-6.0
7201,.Ðempt,NAN,14.0,15.0,21.0,25.0,25.0,29.0,34.0,39.0,-5.0
7277,GOL | JSalt,NAN,NAN,NAN,NAN,NAN,NAN,NAN,38.0,43.0,-5.0
7550,OXY | TheCrimsonBlur,NAN,NAN,NAN,101.0,119.0,144.0,163.0,192.0,206.0,-14.0
7634,MT,NAN,NAN,NAN,NAN,NAN,NAN,NAN,65.0,71.0,-6.0
10228,Flow | Stark,NAN,NAN,NAN,NAN,NAN,NAN,NAN,158.0,168.0,-10.0
10362,Elk G | Ivayne,NAN,NAN,NAN,NAN,135.0,70.0,78.0,90.0,100.0,-10.0
10485,DD,16.0,13.0,11.0,11.0,11.0,13.0,14.0,15.0,17.0,-2.0
