SmasherID,SmashTag,RWeek1,RWeek2,RWeek3,RWeek4,RWeek5,RWeek6,RWeek7,RWeek8,RWeek9,RWeek10,RWeek11,ChangeInRank
1008,Westballz,NAN,NAN,NAN,24.0,31.0,37.0,40.0,45.0,48.0,56.0,64.0,-8.0
1016,Fiction,7.0,10.0,7.0,8.0,8.0,10.0,12.0,13.0,13.0,15.0,15.0,0.0
1017,S2J,4.0,4.0,8.0,5.0,1.0,1.0,3.0,3.0,4.0,4.0,3.0,1.0
1019,CLG. | SFAT,2.0,3.0,5.0,6.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,0.0
1030,LFG | Eddy Mexico,NAN,NAN,NAN,NAN,NAN,NAN,34.0,39.0,44.0,47.0,53.0,-6.0
1077,Revenge | Gahtzu,3.0,2.0,2.0,4.0,7.0,7.0,7.0,8.0,10.0,11.0,11.0,0.0
1092,Connor,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,62.0,73.0,-11.0
1621,bensw,NAN,NAN,99.0,160.0,191.0,217.0,248.0,280.0,299.0,403.0,464.0,-61.0
2088,ycz6,NAN,NAN,NAN,67.0,79.0,94.0,110.0,123.0,132.0,160.0,178.0,-18.0
3299,Vish,NAN,NAN,NAN,NAN,NAN,62.0,69.0,75.0,83.0,94.0,48.0,46.0
3499,Boy,NAN,NAN,NAN,NAN,NAN,NAN,103.0,117.0,127.0,153.0,171.0,-18.0
3561,Ginger,1.0,1.0,1.0,1.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,-1.0
3602,JLo,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,271.0,306.0,-35.0
3661,Hunt,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,440.0,507.0,-67.0
3734,Hulka,18.0,34.0,41.0,56.0,64.0,41.0,45.0,54.0,58.0,66.0,77.0,-11.0
3772,Arcadia,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,136.0,NAN
3936,GUILD | ghettowarmachine420,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,106.0,100.0,6.0
4029,mixx,NAN,NAN,NAN,NAN,NAN,NAN,NAN,192.0,206.0,257.0,284.0,-27.0
4127,MIOM | Toph,19.0,35.0,42.0,58.0,67.0,75.0,88.0,102.0,110.0,127.0,143.0,-16.0
4197,Uncle Pete,NAN,59.0,73.0,112.0,135.0,156.0,179.0,212.0,224.0,169.0,191.0,-22.0
4215,rocky,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,19.0,19.0,0.0
4293,Jahan,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,257.0,284.0,-27.0
4317,donk,NAN,NAN,NAN,78.0,92.0,110.0,126.0,148.0,157.0,106.0,108.0,-2.0
4390,NGG | Jflex,NAN,NAN,NAN,NAN,NAN,NAN,48.0,21.0,20.0,14.0,13.0,1.0
