SmasherID,SmashTag,NumTMTEntered,NumInBracket,PWeek1,PWeek2,PWeek3,PWeek4,PWeek5,PWeek6,PWeek7,PWeek8
21525.0,Kaptinkillem,2,0,-2.0,-2.0,-1.0,-2,-2,-2,-1,-2
21661.0,GLR | JAM,4,3,-2.0,17.0,-2.0,-1,17,-2,-2,13
22479.0,GEM | CrossFitJesus,1,1,-2.0,-2.0,-2.0,17,-2,-2,-2,-2
22688.0,ROFL,1,0,-2.0,-2.0,-2.0,-1,-2,-2,-2,-2
22848.0,darkwizard123,1,0,-2.0,-2.0,-2.0,-1,-2,-2,-2,-2
22937.0,USF | Quadae,1,1,-2.0,-2.0,-2.0,-2,-2,13,-2,-2
23920.0,GHQ | Zamu,1,1,9.0,-2.0,-2.0,-2,-2,-2,-2,-2
24423.0,Talen,2,0,-2.0,-2.0,-2.0,-2,-1,-1,-2,-2
25478.0,Maruf,2,1,-2.0,-2.0,-2.0,-2,-1,-2,17,-2
25789.0,Tourist,1,0,-2.0,-1.0,-2.0,-2,-2,-2,-2,-2
26153.0,DarkGenex,2,0,-1.0,-2.0,-2.0,-1,-2,-2,-2,-2
26387.0,Phantom Airline,3,0,-2.0,-2.0,-2.0,-2,-1,-1,-2,-1
26579.0,Zave,1,0,-2.0,-2.0,-2.0,-2,-2,-1,-2,-2
26701.0,dirtyDev,2,0,-2.0,-2.0,-2.0,-1,-2,-2,-2,-1
26750.0,KoDoRiN,7,7,5.0,7.0,4.0,9,2,5,9,-2
27257.0,TBS | Nero,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-1
27527.0,Megaman,4,1,-2.0,-1.0,17.0,-2,-1,-2,-2,-1
27638.0,Panda,1,1,-2.0,-2.0,-2.0,17,-2,-2,-2,-2
27754.0,Chummi,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-1
27862.0,Musashi,2,1,-1.0,25.0,-2.0,-2,-2,-2,-2,-2
28793.0,Light,1,1,-2.0,17.0,-2.0,-2,-2,-2,-2,-2
29840.0,TBD,3,2,-2.0,17.0,-2.0,-1,-2,17,-2,-2
30581.0,Jolf,2,0,-2.0,-2.0,-2.0,-2,-2,-2,-1,-1
30865.0,Spi,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-1,-2
31090.0,punished | gelp,1,0,-2.0,-2.0,-2.0,-1,-2,-2,-2,-2
31473.0,C H U M P I S,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-1
31658.0,early,1,0,-2.0,-2.0,-2.0,-1,-2,-2,-2,-2
33371.0,Fraud,1,0,-2.0,-2.0,-2.0,-1,-2,-2,-2,-2
33387.0,pointykitty,4,0,-2.0,-1.0,-2.0,-1,-1,-1,-2,-2
34266.0,WOMB#619 | Wombat,3,0,-2.0,-2.0,-1.0,-1,-1,-2,-2,-2
34980.0,Crispy | Chango,1,1,-2.0,-2.0,-2.0,17,-2,-2,-2,-2
35423.0,Gaz333,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-1,-2
36990.0,Trock,1,1,-2.0,13.0,-2.0,-2,-2,-2,-2,-2
37116.0,GUG | Kürv,4,4,-2.0,-2.0,-2.0,17,9,-2,3,13
38175.0,W8ASec,1,0,-1.0,-2.0,-2.0,-2,-2,-2,-2,-2
38201.0,Blue Jay,1,0,-2.0,-2.0,-1.0,-2,-2,-2,-2,-2
38567.0,Android 0,1,1,-2.0,5.0,-2.0,-2,-2,-2,-2,-2
38643.0,RedX,4,0,-1.0,-2.0,-2.0,-2,-1,-1,-1,-2
39997.0,Sparky,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-1
40403.0,Pawn,8,0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1
41211.0,Denzill,1,0,-2.0,-2.0,-2.0,-2,-1,-2,-2,-2
41492.0,Divine Senator Kelly,2,0,-2.0,-2.0,-2.0,-1,-2,-2,-1,-2
45356.0,OtES,3,0,-1.0,-2.0,-2.0,-2,-2,-2,-1,-1
47650.0,shoelegend88,2,0,-2.0,-2.0,-2.0,-2,-2,-2,-1,-1
47832.0,IceCreamOG,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-1
47866.0,Erik,6,6,-2.0,17.0,-2.0,25,13,5,5,9
48578.0,LoneCubone,1,0,-2.0,-2.0,-1.0,-2,-2,-2,-2,-2
48857.0,hestoned,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-1
50047.0,ScrubUp,2,0,-2.0,-2.0,-2.0,-1,-2,-2,-1,-2
51055.0,bird | unlucky,1,0,-2.0,-2.0,-2.0,-2,-1,-2,-2,-2
51488.0,Maher,1,1,-2.0,-2.0,-2.0,-2,13,-2,-2,-2
51608.0,Vitro,1,0,-1.0,-2.0,-2.0,-2,-2,-2,-2,-2
53112.0,8-bit | dansdaman,1,0,-2.0,-2.0,-2.0,-2,-2,-1,-2,-2
53131.0,DHB | IggyNieves,1,0,-2.0,-2.0,-2.0,-1,-2,-2,-2,-2
53365.0,Ringler,1,0,-1.0,-2.0,-2.0,-2,-2,-2,-2,-2
54316.0,Stone,1,0,-2.0,-2.0,-2.0,-1,-2,-2,-2,-2
54390.0,Bonn Esports | Question,2,1,-2.0,17.0,-2.0,-1,-2,-2,-2,-2
55354.0,Travy,2,0,-2.0,-2.0,-2.0,-1,-1,-2,-2,-2
56287.0,Sporsinick,1,0,-2.0,-2.0,-2.0,-1,-2,-2,-2,-2
58670.0,RCS | Savestate,1,1,-2.0,-2.0,-2.0,-2,-2,-2,-2,17
60696.0,FM | Cilan,3,2,-2.0,17.0,13.0,-2,-2,-1,-2,-2
61570.0,YC | Pappi,3,2,-2.0,-2.0,-2.0,17,-2,-1,5,-2
61640.0,CAPTwheatroll,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-1,-2
61873.0,306 | Polo,1,1,17.0,-2.0,-2.0,-2,-2,-2,-2,-2
61897.0,PEP | LSD,5,5,5.0,-2.0,1.0,2,4,-2,17,-2
63720.0,TNC | n3zModGod,2,1,-2.0,-2.0,-2.0,-1,-2,-2,-2,17
64260.0,Hellraid,2,0,-2.0,-2.0,-2.0,-1,-2,-2,-2,-1
64644.0,STP,3,0,-2.0,-2.0,-2.0,-2,-1,-1,-1,-2
64692.0,SANS | Blues Clues,7,7,13.0,7.0,9.0,-2,9,9,9,9
65566.0,Miranda,3,0,-1.0,-2.0,-2.0,-2,-1,-2,-2,-1
65598.0,rickey_kc,1,0,-2.0,-2.0,-2.0,-1,-2,-2,-2,-2
65777.0,bobby big ballz,8,8,9.0,4.0,3.0,4,7,1,2,2
127639.0,Neologism,2,2,-2.0,-2.0,-2.0,17,13,-2,-2,-2
130672.0,Soltrain,3,0,-2.0,-2.0,-2.0,-1,-1,-1,-2,-2
132537.0,RG | Far!,2,2,-2.0,-2.0,-2.0,-2,5,17,-2,-2
133666.0,404 YC | Salt,1,1,-2.0,-2.0,-2.0,-2,9,-2,-2,-2
135088.0,LFG | PanterA,1,1,-2.0,-2.0,-2.0,-2,-2,-2,-2,9
135157.0,billybopeep,1,1,17.0,-2.0,-2.0,-2,-2,-2,-2,-2
138710.0,Golden,2,2,9.0,-2.0,-2.0,-2,-2,-2,7,-2
144133.0,YBBT | leroydankins,3,0,-2.0,-2.0,-1.0,-2,-2,-1,-1,-2
147251.0,GS | TreyTheTrashman,1,0,-2.0,-1.0,-2.0,-2,-2,-2,-2,-2
147424.0,Spiral Cafe | Krudo,1,1,-2.0,-2.0,-2.0,9,-2,-2,-2,-2
147811.0,Dawson,1,0,-1.0,-2.0,-2.0,-2,-2,-2,-2,-2
148200.0,Big Pivot,3,0,-2.0,-1.0,-1.0,-2,-2,-1,-2,-2
149952.0,Jakespeare,2,0,-2.0,-2.0,-1.0,-2,-1,-2,-2,-2
150123.0,TPN,1,1,-2.0,-2.0,-2.0,-2,-2,-2,13,-2
150888.0,Shy,1,0,-2.0,-1.0,-2.0,-2,-2,-2,-2,-2
152430.0,HWY | ybot,1,1,-2.0,-2.0,-2.0,-2,17,-2,-2,-2
152940.0,CLEM#112 | Clem,1,0,-2.0,-2.0,-2.0,-1,-2,-2,-2,-2
153334.0,Silkylaroux,2,0,-2.0,-2.0,-2.0,-1,-2,-1,-2,-2
155077.0,radvillainy,2,0,-1.0,-2.0,-2.0,-2,-2,-1,-2,-2
156518.0,Lust,1,0,-2.0,-2.0,-2.0,-1,-2,-2,-2,-2
157615.0,ight,4,1,-2.0,-2.0,17.0,-1,-1,-2,-1,-2
157632.0,TurboThot,2,0,-2.0,-1.0,-1.0,-2,-2,-2,-2,-2
158003.0,Mono,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-1,-2
158148.0,Chewy,3,0,-1.0,-2.0,-2.0,-2,-1,-1,-2,-2
162779.0,FISA | JoJo,1,0,-2.0,-2.0,-2.0,-2,-1,-2,-2,-2
