SmasherID,SmashTag,RWeek1,RWeek2,RWeek3,RWeek4,RWeek5,ChangeInRank
61570,Pappi,NAN,NAN,NAN,62.0,72.0,-10.0
61873,306 | Polo,19.0,35.0,42.0,58.0,67.0,-9.0
61897,LSD,5.0,8.0,4.0,2.0,2.0,0.0
63720,TNC | n3zModGod,NAN,NAN,NAN,120.0,148.0,-28.0
64260,Hellraid,NAN,NAN,NAN,176.0,207.0,-31.0
64644,STP,NAN,NAN,NAN,NAN,128.0,NAN
64692,SANS | Blues Clues,13.0,7.0,9.0,9.0,9.0,0.0
65566,Miranda,47.0,75.0,91.0,150.0,148.0,2.0
65598,rickey_kc,NAN,NAN,NAN,140.0,172.0,-32.0
65777,bobby big ballz,9.0,5.0,3.0,3.0,4.0,-1.0
127639,Neologism,NAN,NAN,NAN,51.0,30.0,21.0
130672,Soltrain,NAN,NAN,NAN,101.0,83.0,18.0
132537,RG | Far!,NAN,NAN,NAN,NAN,20.0,NAN
133666,404 YC | Salt,NAN,NAN,NAN,NAN,37.0,NAN
135157,billybopeep,19.0,35.0,42.0,58.0,67.0,-9.0
138710,Golden,12.0,18.0,26.0,31.0,40.0,-9.0
144133,YBBT | leroydankins,NAN,NAN,85.0,140.0,172.0,-32.0
147251,GS | TreyTheTrashman,NAN,69.0,85.0,140.0,172.0,-32.0
147424,Spiral Cafe | Krudo,NAN,NAN,NAN,26.0,34.0,-8.0
147811,Dawson,27.0,50.0,56.0,83.0,97.0,-14.0
148200,Big Pivot,NAN,90.0,99.0,160.0,191.0,-31.0
149952,Jakespeare,NAN,NAN,85.0,140.0,87.0,53.0
150888,Shy,NAN,52.0,60.0,90.0,103.0,-13.0
152430,HWY | ybot,NAN,NAN,NAN,NAN,64.0,NAN
152940,CLEM#112 | Clem,NAN,NAN,NAN,73.0,87.0,-14.0
153334,Silkylaroux,NAN,NAN,NAN,106.0,128.0,-22.0
155077,radvillainy,50.0,81.0,99.0,160.0,191.0,-31.0
156518,Lust,NAN,NAN,NAN,140.0,172.0,-32.0
157615,ight,NAN,NAN,48.0,51.0,43.0,8.0
157632,TurboThot,NAN,81.0,65.0,101.0,119.0,-18.0
158148,Chewy,47.0,75.0,91.0,150.0,110.0,40.0
162779,FISA | JoJo,NAN,NAN,NAN,NAN,119.0,NAN
164047,CG | Firebolt,NAN,NAN,NAN,64.0,74.0,-10.0
170887,Ahung,NAN,NAN,NAN,NAN,207.0,NAN
171034,Den,NAN,NAN,NAN,NAN,103.0,NAN
171111,UARK | VentusWK,NAN,NAN,NAN,125.0,157.0,-32.0
173178,LAG,NAN,NAN,NAN,71.0,56.0,15.0
174790,Mounir,NAN,NAN,NAN,96.0,110.0,-14.0
175490,QoT | Cruelscotty,NAN,NAN,NAN,73.0,60.0,13.0
176387,Badboi,NAN,NAN,NAN,176.0,207.0,-31.0
183280,WW | Lemonjuices,NAN,NAN,NAN,NAN,77.0,NAN
183400,Doctor Dank,NAN,75.0,91.0,150.0,185.0,-35.0
183677,Yamasaki,NAN,NAN,NAN,120.0,148.0,-28.0
185618,Captain G,15.0,23.0,30.0,42.0,52.0,-10.0
219919,Frozone,NAN,NAN,NAN,150.0,185.0,-35.0
