SmasherID,SmashTag,RWeek1,RWeek2,RWeek3,RWeek4,ChangeInRank
53131,DHB | IggyNieves,NAN,NAN,NAN,83.0,NAN
53365,Ringler,50.0,81.0,99.0,160.0,-61.0
54316,Stone,NAN,NAN,NAN,125.0,NAN
54390,Bonn Esports | Question,NAN,27.0,36.0,31.0,5.0
55354,Travy,NAN,NAN,NAN,90.0,NAN
56287,Sporsinick,NAN,NAN,NAN,120.0,NAN
60696,FM | Cilan,NAN,32.0,21.0,25.0,-4.0
61570,Pappi,NAN,NAN,NAN,62.0,NAN
61873,306 | Polo,19.0,35.0,42.0,58.0,-16.0
61897,LSD,5.0,8.0,4.0,2.0,2.0
63720,TNC | n3zModGod,NAN,NAN,NAN,120.0,NAN
64260,Hellraid,NAN,NAN,NAN,176.0,NAN
64692,SANS | Blues Clues,13.0,7.0,9.0,9.0,0.0
65566,Miranda,47.0,75.0,91.0,150.0,-59.0
65598,rickey_kc,NAN,NAN,NAN,140.0,NAN
65777,bobby big ballz,9.0,5.0,3.0,3.0,0.0
127639,Neologism,NAN,NAN,NAN,51.0,NAN
130672,Soltrain,NAN,NAN,NAN,101.0,NAN
135157,billybopeep,19.0,35.0,42.0,58.0,-16.0
138710,Golden,12.0,18.0,26.0,31.0,-5.0
144133,YBBT | leroydankins,NAN,NAN,85.0,140.0,-55.0
147251,GS | TreyTheTrashman,NAN,69.0,85.0,140.0,-55.0
147424,Spiral Cafe | Krudo,NAN,NAN,NAN,26.0,NAN
147811,Dawson,27.0,50.0,56.0,83.0,-27.0
148200,Big Pivot,NAN,90.0,99.0,160.0,-61.0
149952,Jakespeare,NAN,NAN,85.0,140.0,-55.0
150888,Shy,NAN,52.0,60.0,90.0,-30.0
152940,CLEM#112 | Clem,NAN,NAN,NAN,73.0,NAN
153334,Silkylaroux,NAN,NAN,NAN,106.0,NAN
155077,radvillainy,50.0,81.0,99.0,160.0,-61.0
156518,Lust,NAN,NAN,NAN,140.0,NAN
157615,ight,NAN,NAN,48.0,51.0,-3.0
157632,TurboThot,NAN,81.0,65.0,101.0,-36.0
158148,Chewy,47.0,75.0,91.0,150.0,-59.0
164047,CG | Firebolt,NAN,NAN,NAN,64.0,NAN
171111,UARK | VentusWK,NAN,NAN,NAN,125.0,NAN
173178,LAG,NAN,NAN,NAN,71.0,NAN
174790,Mounir,NAN,NAN,NAN,96.0,NAN
175490,QoT | Cruelscotty,NAN,NAN,NAN,73.0,NAN
176387,Badboi,NAN,NAN,NAN,176.0,NAN
183400,Doctor Dank,NAN,75.0,91.0,150.0,-59.0
183677,Yamasaki,NAN,NAN,NAN,120.0,NAN
185618,Captain G,15.0,23.0,30.0,42.0,-12.0
219919,Frozone,NAN,NAN,NAN,150.0,NAN
223503,Rigo Bigo,NAN,65.0,80.0,125.0,-45.0
229216,KaiKwonDo,NAN,75.0,91.0,150.0,-59.0
230537,hHerb,NAN,NAN,NAN,132.0,NAN
241260,Alex18+,47.0,51.0,58.0,88.0,-30.0
250581,Fizz,NAN,14.0,22.0,14.0,8.0
255496,ericiscool.net,50.0,81.0,56.0,83.0,-27.0
257025,2Framez,31.0,48.0,54.0,78.0,-24.0
264211,BLM | Rats!,NAN,NAN,NAN,78.0,NAN
265808,NOOT,38.0,56.0,69.0,20.0,49.0
268767,markrevival,NAN,NAN,99.0,125.0,-26.0
279722,EP | Justus,17.0,30.0,12.0,15.0,-3.0
279871,KLAWHAU5,NAN,NAN,NAN,160.0,NAN
286517,Thad <3,37.0,44.0,52.0,67.0,-15.0
288395,jams,43.0,66.0,82.0,132.0,-50.0
294260,ABG | salami,19.0,35.0,42.0,58.0,-16.0
301566,JustJoshin,NAN,69.0,58.0,88.0,-30.0
310321,TC | BuyMyMixTape,NAN,NAN,NAN,112.0,NAN
325974,SDJ,NAN,NAN,25.0,30.0,-5.0
327212,Marrgasm,28.0,25.0,32.0,45.0,-13.0
329160,ZUTH | Zuthane,NAN,NAN,91.0,150.0,-59.0
329937,LanTurN,NAN,NAN,65.0,66.0,-1.0
330200,TT | Dair,NAN,NAN,NAN,132.0,NAN
353165,Milo,26.0,48.0,54.0,78.0,-24.0
357233,Afron,56.0,90.0,112.0,176.0,-64.0
364725,LUNK#783 | dom,NAN,NAN,99.0,160.0,-61.0
367758,Rose,NAN,NAN,NAN,176.0,NAN
391890,TheFormuoli,31.0,54.0,62.0,96.0,-34.0
407878,Slump,40.0,59.0,73.0,112.0,-39.0
413573,John,NAN,NAN,65.0,101.0,-36.0
420458,Jorge,NAN,NAN,NAN,73.0,NAN
424095,Frost | JJK,56.0,90.0,112.0,176.0,-64.0
465131,Hunybear,23.0,43.0,51.0,73.0,-22.0
478083,saacdaddy,NAN,NAN,NAN,140.0,NAN
483428,DCG | Spots,NAN,NAN,99.0,160.0,-61.0
508569,eh | sickø,NAN,NAN,80.0,125.0,-45.0
528737,3OutChange,NAN,81.0,99.0,160.0,-61.0
585236,306 | Amrak,31.0,20.0,10.0,10.0,0.0
617254,N8V,50.0,81.0,99.0,160.0,-61.0
627118,Pipe,31.0,40.0,47.0,42.0,5.0
641180,Luppi,NAN,81.0,99.0,160.0,-61.0
657175,Bobakanoosh,NAN,NAN,NAN,140.0,NAN
657464,CowCowCowCowCow,NAN,41.0,35.0,48.0,-13.0
694759,snek,NAN,NAN,NAN,150.0,NAN
709843,Chem,14.0,22.0,29.0,41.0,-12.0
718293,Nico,NAN,69.0,85.0,140.0,-55.0
735376,CVSmashMods | Ripn,NAN,69.0,85.0,140.0,-55.0
789026,Douglas.J.Gov,NAN,NAN,NAN,83.0,NAN
858866,SLO | GrizzlyBair,NAN,NAN,NAN,96.0,NAN
862074,snacklepackle,NAN,NAN,NAN,101.0,NAN
897815,moscow mich,NAN,NAN,73.0,112.0,-39.0
925369,Fishpaste,50.0,81.0,99.0,160.0,-61.0
927948,cliché,10.0,12.0,19.0,18.0,1.0
1047164,lemon,NAN,NAN,NAN,176.0,NAN
1099771,PP | Droze,NAN,NAN,NAN,176.0,NAN
1186877,Tomz,NAN,NAN,112.0,176.0,-64.0
1301072,Melos,NAN,NAN,NAN,132.0,NAN
1315595,Sleeepy,NAN,NAN,NAN,176.0,NAN
1322460,8167263631 | Notto,NAN,NAN,NAN,176.0,NAN
1682252,BABA | shama,NAN,NAN,NAN,90.0,NAN
1682516,BABA | Babo,NAN,NAN,NAN,160.0,NAN
1794541,Chubbz,NAN,NAN,NAN,78.0,NAN
2011811,sucordie,NAN,NAN,NAN,132.0,NAN
2021066,Schweppes,NAN,NAN,NAN,160.0,NAN
2026451,ASAPferq,NAN,NAN,NAN,160.0,NAN
2029721,Ghost Rider,NAN,NAN,NAN,39.0,NAN
2031615,420 | Yolk,NAN,NAN,NAN,112.0,NAN
2064187,Abhi,NAN,90.0,112.0,176.0,-64.0
2082068,CarltonDanks,56.0,90.0,112.0,176.0,-64.0
2085246,kippu,NAN,69.0,79.0,106.0,-27.0
2111424,flowjam,NAN,NAN,NAN,176.0,NAN
2114345,Watermelons,NAN,NAN,NAN,125.0,NAN
2114347,adamaggy,NAN,NAN,NAN,106.0,NAN
2114773,Raffshot,NAN,NAN,NAN,176.0,NAN
