SmasherID,SmashTag,NumTMTEntered,NumInBracket,PWeek1,PWeek2,PWeek3,PWeek4,PWeek5,PWeek6,PWeek7
1008.0,Westballz,1,1,-2.0,-2.0,-2.0,9,-2,-2,-2
1016.0,Fiction,2,2,7.0,-2.0,2.0,-2,-2,-2,-2
1017.0,S2J,5,5,4.0,5.0,-2.0,1,1,3,-2
1019.0,CLG. | SFAT,6,6,2.0,3.0,-2.0,7,3,2,1
1030.0,LFG | Eddy Mexico,1,1,-2.0,-2.0,-2.0,-2,-2,-2,7
1077.0,Revenge | Gahtzu,3,3,3.0,1.0,-2.0,5,-2,-2,-2
1621.0,bensw,1,0,-2.0,-2.0,-1.0,-2,-2,-2,-2
2088.0,ycz6,1,0,-2.0,-2.0,-2.0,-1,-2,-2,-2
3299.0,Vish,1,1,-2.0,-2.0,-2.0,-2,-2,13,-2
3499.0,Boy,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-1
3561.0,Ginger,3,3,1.0,2.0,-2.0,3,-2,-2,-2
3734.0,Hulka,2,2,17.0,-2.0,-2.0,-2,-2,13,-2
4127.0,MIOM | Toph,1,1,17.0,-2.0,-2.0,-2,-2,-2,-2
4197.0,Uncle Pete,1,0,-2.0,-1.0,-2.0,-2,-2,-2,-2
4317.0,Solo.,1,0,-2.0,-2.0,-2.0,-1,-2,-2,-2
4390.0,NGG | Jflex,1,1,-2.0,-2.0,-2.0,-2,-2,-2,9
4647.0,Gaz,2,0,-2.0,-2.0,-2.0,-2,-2,-1,-1
4738.0,Young,1,1,-2.0,-2.0,-2.0,-2,-2,7,-2
4748.0,GST | Ryobeat,2,1,-1.0,-2.0,-2.0,13,-2,-2,-2
4864.0,Theftz,2,0,-1.0,-2.0,-1.0,-2,-2,-2,-2
5050.0,Troy,1,0,-2.0,-2.0,-2.0,-1,-2,-2,-2
5457.0,Bones,3,3,-2.0,-2.0,-2.0,17,7,-2,9
5618.0,ANTIFA CEO | Quiggles,7,3,-1.0,25.0,9.0,-1,-1,17,-1
6700.0,JCubez,5,5,-2.0,-2.0,7.0,13,9,7,17
7149.0,Trail,2,2,-2.0,-2.0,17.0,25,-2,-2,-2
