SmasherID,SmashTag,BWeek1,BWeek2,BWeek3,BWeek4,BWeek5,BWeek6,BWeek7,BWeek8,BWeek9,BWeek10
13932,Mango's Friend | Lucky,NAN,NAN,NAN,108.0,108.0,108.0,108.0,258.0,278.0,278.0
13960,RB | V$,NAN,NAN,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
14025,Austintacious,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,8.0
14305,Nard Dawg,NAN,NAN,NAN,NAN,NAN,NAN,NAN,9.0,55.0,64.0
14617,DiscipleOfBorp,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
15060,Just Jason,NAN,NAN,NAN,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15070,Verdo,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,11.0
15171,oh,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,44.0,44.0
15298,Cowbell,NAN,NAN,18.0,39.0,39.0,39.0,57.0,71.0,132.0,147.0
15390,Tammerath,NAN,NAN,NAN,NAN,NAN,NAN,10.0,11.0,11.0,11.0
15678,Zeph,NAN,NAN,NAN,12.0,12.0,12.0,12.0,12.0,12.0,12.0
15948,glum oinkin',NAN,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
16023,soccermom69,NAN,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
16066,TG NBR | Panos,9.0,9.0,9.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
16294,Ders,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,6.0
16393,Higgins,NAN,NAN,NAN,NAN,NAN,NAN,49.0,49.0,49.0,49.0
18652,LFTG | Logos,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,19.0,26.0
18722,K.H.D | Reign,NAN,3.0,3.0,3.0,6.0,6.0,6.0,8.0,9.0,9.0
19346,SonOfJ,NAN,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
19951,bliutwo,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,13.0,13.0
21215,Dom,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
21305,Galen The Wise,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,5.0,5.0
21469,ramrod,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2.0
21525,Kaptinkillem,NAN,NAN,11.0,11.0,11.0,11.0,24.0,24.0,24.0,24.0
21661,GLR | JAM,NAN,42.0,42.0,63.0,94.0,94.0,94.0,141.0,141.0,141.0
22088,Jib,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,9.0
22479,GEM | CrossFitJesus,NAN,NAN,NAN,31.0,31.0,31.0,31.0,31.0,31.0,31.0
22595,Aura,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,9.0
22688,ROFL,NAN,NAN,NAN,19.0,19.0,19.0,19.0,19.0,19.0,19.0
22848,darkwizard123,NAN,NAN,NAN,21.0,21.0,21.0,21.0,21.0,21.0,21.0
22937,USF | Quadae,NAN,NAN,NAN,NAN,NAN,40.0,40.0,40.0,40.0,40.0
23920,GHQ | Zamu,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0
24024,OAK | Spacepigeon,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,52.0,52.0
24423,Talen,NAN,NAN,NAN,NAN,8.0,13.0,13.0,13.0,13.0,13.0
25478,Maruf,NAN,NAN,NAN,NAN,11.0,11.0,38.0,38.0,38.0,38.0
25789,Tourist,NAN,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
26144,Flounder,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,12.0
26153,DarkGenex,16.0,16.0,16.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0
26387,Phantom Airline,NAN,NAN,NAN,NAN,10.0,28.0,28.0,44.0,44.0,63.0
26579,Zave,NAN,NAN,NAN,NAN,NAN,12.0,12.0,12.0,12.0,12.0
26701,dirtyDev,NAN,NAN,NAN,7.0,7.0,7.0,7.0,17.0,17.0,20.0
26750,KoDoRiN,113.0,202.0,340.0,394.0,591.0,705.0,761.0,761.0,976.0,976.0
27257,TBS | Nero,NAN,NAN,NAN,NAN,NAN,NAN,NAN,10.0,10.0,15.0
27479,Canes | ATM,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,7.0
27527,Megaman,NAN,16.0,43.0,43.0,56.0,56.0,56.0,81.0,81.0,89.0
27638,Panda,NAN,NAN,NAN,34.0,34.0,34.0,34.0,34.0,34.0,34.0
27754,Chummi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,26.0,70.0,70.0
27862,Musashi,11.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0
28588,pem$,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.0,1.0
28663,QTT | Marco,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,18.0
28793,Light,NAN,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
29103,Hexjo,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,13.0
29840,TBD,NAN,34.0,34.0,54.0,54.0,83.0,83.0,83.0,83.0,83.0
30581,Jolf,NAN,NAN,NAN,NAN,NAN,NAN,11.0,19.0,19.0,19.0
30865,Spi,NAN,NAN,NAN,NAN,NAN,NAN,7.0,7.0,7.0,8.0
31090,punished | gelp,NAN,NAN,NAN,4.0,4.0,4.0,4.0,4.0,4.0,4.0
31473,C H U M P I S,NAN,NAN,NAN,NAN,NAN,NAN,NAN,9.0,9.0,9.0
31487,Winx Club | Siddward,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,108.0
31658,early,NAN,NAN,NAN,2.0,2.0,2.0,2.0,2.0,2.0,2.0
32190,Crow,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,14.0,34.0
32201,PRIN$E,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,10.0
33371,Fraud,NAN,NAN,NAN,7.0,7.0,7.0,7.0,7.0,7.0,7.0
33387,pointykitty,NAN,2.0,2.0,5.0,8.0,13.0,13.0,13.0,13.0,13.0
34266,WOMB#619 | Wombat,NAN,NAN,4.0,9.0,10.0,10.0,10.0,10.0,10.0,12.0
34863,Gulu,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,10.0
34980,Crispy | Chango,NAN,NAN,NAN,29.0,29.0,29.0,29.0,29.0,57.0,94.0
35423,Gaz333,NAN,NAN,NAN,NAN,NAN,NAN,13.0,13.0,13.0,13.0
36782,Oaty,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,20.0
36990,Trock,NAN,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
37116,GUG | Kürv,NAN,NAN,NAN,39.0,103.0,103.0,274.0,330.0,394.0,548.0
38175,W8ASec,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
38201,Blue Jay,NAN,NAN,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
38567,Android 0,NAN,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0
38643,RedX,8.0,8.0,8.0,8.0,24.0,36.0,51.0,51.0,58.0,71.0
38979,RULE#492 | Tristan's Rule,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,21.0
39235,Dream,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,22.0
39997,Sparky,NAN,NAN,NAN,NAN,NAN,NAN,NAN,14.0,24.0,35.0
40403,Pawn,1.0,7.0,10.0,17.0,21.0,27.0,29.0,31.0,32.0,32.0
40780,Elk G | Digimon,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,4.0
41211,Denzill,NAN,NAN,NAN,NAN,11.0,11.0,11.0,11.0,11.0,17.0
41433,MP3,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,6.0,6.0
41492,Divine Senator Kelly,NAN,NAN,NAN,11.0,11.0,11.0,21.0,21.0,21.0,28.0
44671,Quaff,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,50.0
45197,Daz,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,15.0
45356,OtES,8.0,8.0,8.0,8.0,8.0,8.0,22.0,37.0,46.0,46.0
46349,Aura,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,71.0
46752,doby,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,12.0
47650,shoelegend88,NAN,NAN,NAN,NAN,NAN,NAN,16.0,21.0,21.0,21.0
47832,IceCreamOG,NAN,NAN,NAN,NAN,NAN,NAN,NAN,13.0,13.0,13.0
47866,Erik,NAN,37.0,37.0,66.0,120.0,245.0,371.0,445.0,548.0,656.0
48322,AHHHHH | Alice,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,5.0
48578,LoneCubone,NAN,NAN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
48850,TNS | Asashi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,73.0
48857,hestoned,NAN,NAN,NAN,NAN,NAN,NAN,NAN,24.0,24.0,24.0
48931,in10city,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,9.0
49211,deluxe,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,6.0,21.0
50047,ScrubUp,NAN,NAN,NAN,14.0,14.0,14.0,37.0,37.0,37.0,37.0
51055,bird | unlucky,NAN,NAN,NAN,NAN,8.0,8.0,8.0,8.0,8.0,8.0
51112,Pilgrim,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,9.0
51488,Maher,NAN,NAN,NAN,NAN,44.0,44.0,44.0,44.0,44.0,44.0
51608,Vitro,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
53112,8-bit | dansdaman,NAN,NAN,NAN,NAN,NAN,18.0,18.0,18.0,18.0,18.0
53131,DHB | IggyNieves,NAN,NAN,NAN,14.0,14.0,14.0,14.0,14.0,14.0,14.0
53365,Ringler,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
54316,Stone,NAN,NAN,NAN,6.0,6.0,6.0,6.0,6.0,6.0,6.0
54390,Bonn Esports | Question,NAN,37.0,37.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
55354,Travy,NAN,NAN,NAN,12.0,28.0,28.0,28.0,28.0,28.0,28.0
56287,Sporsinick,NAN,NAN,NAN,7.0,7.0,7.0,7.0,7.0,7.0,7.0
58588,Jeffthecheff,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,9.0
58670,RCS | Savestate,NAN,NAN,NAN,NAN,NAN,NAN,NAN,34.0,34.0,34.0
60417,SoS | Cor,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,11.0
60696,FM | Cilan,NAN,33.0,78.0,78.0,78.0,101.0,101.0,101.0,101.0,101.0
61570,YC | Pappi,NAN,NAN,NAN,27.0,27.0,49.0,167.0,167.0,167.0,167.0
61640,CAPTwheatroll,NAN,NAN,NAN,NAN,NAN,NAN,6.0,6.0,6.0,6.0
61873,306 | Polo,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
61897,PEP | LSD,124.0,124.0,362.0,552.0,690.0,690.0,726.0,726.0,726.0,726.0
62206,mia,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,5.0
63720,TNC | n3zModGod,NAN,NAN,NAN,7.0,7.0,7.0,7.0,34.0,34.0,34.0
64260,Hellraid,NAN,NAN,NAN,1.0,1.0,1.0,1.0,2.0,2.0,6.0
64644,STP,NAN,NAN,NAN,NAN,9.0,21.0,29.0,29.0,35.0,35.0
