SmasherID,SmashTag,BWeek1,BWeek2,BWeek3,BWeek4,BWeek5,BWeek6,BWeek7,BWeek8,BWeek9,BWeek10
269238,91,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,4.0,8.0
275884,Maljo,NAN,NAN,NAN,NAN,NAN,NAN,NAN,4.0,5.0,8.0
275922,Otto_Zone,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,7.0
276041,Kettering,NAN,NAN,NAN,NAN,5.0,6.0,7.0,9.0,9.0,9.0
278295,ItsDad,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,11.0
278800,Cabbage Man,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.0
279722,EP | Justus,34.0,34.0,132.0,132.0,132.0,132.0,132.0,148.0,148.0,148.0
279871,KLAWHAU5,NAN,NAN,NAN,2.0,2.0,2.0,2.0,2.0,2.0,2.0
286517,Thad <3,10.0,16.0,16.0,21.0,21.0,26.0,26.0,29.0,29.0,29.0
286931,Egg$,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,18.0
287743,ASH | Oig,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2.0,2.0
288395,jams,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,16.0
294260,ABG | salami,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
301566,JustJoshin,NAN,4.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
310321,TC | BuyMyMixTape,NAN,NAN,NAN,8.0,8.0,8.0,8.0,8.0,8.0,8.0
312097,Nyte,NAN,NAN,NAN,NAN,NAN,NAN,15.0,15.0,15.0,15.0
312135,AlyJ,NAN,NAN,NAN,NAN,NAN,71.0,71.0,71.0,71.0,71.0
315101,Rozu,NAN,NAN,NAN,NAN,NAN,10.0,10.0,10.0,10.0,10.0
325974,SDJ,NAN,NAN,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0
327212,IWI | Marrgasm,12.0,43.0,43.0,43.0,71.0,71.0,71.0,72.0,72.0,95.0
328838,PeS | Puppy,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.0
329160,ZUTH | Zuthane,NAN,NAN,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
329937,LanTurN,NAN,NAN,10.0,22.0,22.0,22.0,22.0,22.0,35.0,35.0
330200,TT | Dair,NAN,NAN,NAN,5.0,7.0,7.0,7.0,7.0,7.0,7.0
353165,Milo,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
354953,RPG,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,5.0
357233,Afron,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
360229,BEBO,NAN,NAN,NAN,NAN,NAN,2.0,4.0,10.0,13.0,21.0
364725,LUNK#783 | dom,NAN,NAN,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
367758,Rose,NAN,NAN,NAN,1.0,1.0,1.0,1.0,1.0,1.0,1.0
370970,Mahik,NAN,NAN,NAN,NAN,NAN,NAN,29.0,29.0,29.0,29.0
391890,TheFormuoli,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
395730,PQ2 | CPU0,NAN,NAN,NAN,NAN,NAN,NAN,22.0,22.0,22.0,22.0
407228,K.YUNG,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,4.0
407878,Slump,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
413573,John,NAN,NAN,10.0,10.0,10.0,19.0,19.0,19.0,19.0,19.0
413758,Exia,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,7.0
418246,2five3 | Templar,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,8.0,8.0
418257,CardsNG,NAN,NAN,NAN,NAN,NAN,NAN,10.0,38.0,38.0,38.0
418740,ManRay,NAN,NAN,NAN,NAN,NAN,8.0,8.0,8.0,8.0,8.0
420458,Jorge,NAN,NAN,NAN,17.0,17.0,17.0,17.0,17.0,17.0,17.0
424095,Frost | JJK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
425209,Acuna,NAN,NAN,NAN,NAN,NAN,NAN,6.0,6.0,6.0,6.0
448153,Neenor,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2.0
451734,CID,NAN,NAN,NAN,NAN,4.0,4.0,4.0,4.0,4.0,5.0
465131,Hunybear,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
466221,Melo,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,5.0,17.0
472971,yBaS | MaxJacks,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,8.0
478083,saacdaddy,NAN,NAN,NAN,4.0,4.0,4.0,4.0,4.0,4.0,4.0
483428,DCG | Spots,NAN,NAN,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
493224,Fitz,NAN,NAN,NAN,NAN,4.0,4.0,4.0,4.0,4.0,14.0
508569,eh | sickø,NAN,NAN,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
508959,BCM | veggies,NAN,NAN,NAN,NAN,7.0,7.0,7.0,7.0,7.0,7.0
520837,Neck,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,11.0,32.0
525553,Fux McLoud,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,7.0
526019,CSR | Tezlik,NAN,NAN,NAN,NAN,12.0,12.0,12.0,12.0,12.0,12.0
528737,3OutChange,NAN,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
538935,Jangu,NAN,NAN,NAN,NAN,NAN,NAN,NAN,12.0,12.0,12.0
558076,EOKA | Christos,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,8.0
582190,rice,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,3.0
585236,306 | Amrak,11.0,61.0,188.0,188.0,188.0,188.0,188.0,188.0,188.0,188.0
585248,magnumgunn3r,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,4.0
617254,N8V,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12.0
619715,Porkaye,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,26.0,26.0
623333,ParkedInTraffic | Commas,NAN,NAN,NAN,NAN,NAN,NAN,12.0,12.0,12.0,12.0
627118,Pipe,11.0,25.0,25.0,47.0,79.0,86.0,108.0,108.0,125.0,146.0
637179,Sodabro,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,15.0,15.0
637232,Jazzy,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,14.0
641180,Luppi,NAN,2.0,2.0,2.0,2.0,2.0,2.0,8.0,8.0,8.0
654514,probably high,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,6.0
657175,Bobakanoosh,NAN,NAN,NAN,4.0,4.0,9.0,9.0,9.0,9.0,9.0
657464,CowCowCowCowCow,NAN,18.0,40.0,40.0,40.0,91.0,104.0,134.0,167.0,167.0
682345,Rive,NAN,NAN,NAN,NAN,18.0,18.0,28.0,28.0,28.0,28.0
694497,IMP | Ben,NAN,NAN,NAN,NAN,123.0,269.0,407.0,571.0,627.0,627.0
694759,snek,NAN,NAN,NAN,3.0,4.0,4.0,5.0,5.0,5.0,5.0
700566,olé,NAN,NAN,NAN,NAN,10.0,10.0,10.0,10.0,10.0,10.0
703647,LVD | Super,NAN,NAN,NAN,NAN,1.0,1.0,1.0,1.0,1.0,1.0
709843,Chem,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
718293,Nico,NAN,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
735376,CVSmashMods | Ripn,NAN,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
748365,ledgefiend,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.0,1.0,1.0
782984,Blanks,NAN,NAN,NAN,NAN,NAN,NAN,4.0,4.0,4.0,4.0
786226,Noodle,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,3.0
789026,Douglas.J.Gov,NAN,NAN,NAN,14.0,14.0,14.0,14.0,14.0,14.0,27.0
819230,Willy P,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.0
843799,Snoos,NAN,NAN,NAN,NAN,NAN,1.0,1.0,1.0,1.0,1.0
852916,Krizski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,22.0
858866,SLO | GrizzlyBair,NAN,NAN,NAN,11.0,11.0,15.0,15.0,15.0,15.0,15.0
862074,snacklepackle,NAN,NAN,NAN,10.0,43.0,60.0,60.0,60.0,60.0,60.0
865922,SRN | Soulrifle211,NAN,NAN,NAN,NAN,NAN,4.0,4.0,4.0,4.0,4.0
880372,Good1ife,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,24.0
885830,HorseGirl420,NAN,NAN,NAN,NAN,4.0,6.0,6.0,6.0,6.0,6.0
897815,moscow mich,NAN,NAN,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
925369,Fishpaste,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
927948,cliché,67.0,95.0,95.0,118.0,142.0,155.0,174.0,174.0,174.0,174.0
950362,EWA | ERGonomics,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,4.0
956568,Night,NAN,NAN,NAN,NAN,NAN,3.0,4.0,4.0,4.0,4.0
982735,MordecaiPielord,NAN,NAN,NAN,NAN,NAN,NAN,14.0,14.0,14.0,14.0
998814,Stiv,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,18.0
1007304,Phorox,NAN,NAN,NAN,NAN,NAN,12.0,12.0,12.0,12.0,12.0
1016100,CurvedFat,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,3.0
1034300,Oz,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2.0,2.0
1044913,Majora,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.0,1.0,1.0
1047164,lemon,NAN,NAN,NAN,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1065944,Juuuuurien,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,15.0
1075428,sameeyell,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.0
1077081,LilMitts,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2.0
1086597,TCM | MrG,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,11.0
1094290,SudoJoe,NAN,NAN,NAN,NAN,8.0,8.0,8.0,17.0,17.0,17.0
1099771,PP | Droze,NAN,NAN,NAN,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1112770,Penguis,NAN,NAN,NAN,NAN,NAN,7.0,7.0,9.0,9.0,9.0
1186877,Tomz,NAN,NAN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1196449,RB | Cum Fox,NAN,NAN,NAN,NAN,NAN,NAN,NAN,30.0,30.0,73.0
1222010,PajamaBoyPete,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.0
1236538,LSK,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,10.0
1245502,Whoratio,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2.0
1250551,PSai,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,3.0,3.0
1261759,melatonin,NAN,NAN,NAN,NAN,NAN,NAN,2.0,4.0,4.0,4.0
1263692,ushi,NAN,NAN,NAN,NAN,5.0,8.0,17.0,17.0,20.0,23.0
1301072,Melos,NAN,NAN,NAN,5.0,7.0,7.0,7.0,7.0,7.0,9.0
1312079,ACAB | Mugen,NAN,NAN,NAN,NAN,1.0,1.0,1.0,1.0,1.0,1.0
1315595,Sleeepy,NAN,NAN,NAN,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1322460,8167263631 | Notto,NAN,NAN,NAN,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1325809,CB,NAN,NAN,NAN,NAN,11.0,11.0,11.0,11.0,11.0,11.0
1466521,Floods,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,4.0
1477443,Lionbooster,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2.0
1501041,Hamburglar,NAN,NAN,NAN,NAN,NAN,7.0,7.0,7.0,7.0,7.0
1511270,pimmwrecks,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,10.0
1551714,JCobbs,NAN,NAN,NAN,NAN,NAN,2.0,2.0,2.0,2.0,2.0
1554675,NoFuxGiven,NAN,NAN,NAN,NAN,NAN,NAN,38.0,38.0,38.0,38.0
1575919,Snickerdoodle,NAN,NAN,NAN,NAN,1.0,1.0,1.0,1.0,1.0,1.0
1597042,Rome0,NAN,NAN,NAN,NAN,NAN,NAN,7.0,12.0,12.0,12.0
1598204,YoungHanSolo,NAN,NAN,NAN,NAN,8.0,8.0,8.0,8.0,8.0,23.0
1617046,Corkey,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,5.0
1623681,Xad,NAN,NAN,NAN,NAN,NAN,NAN,2.0,2.0,2.0,2.0
1631004,Homeslice,NAN,NAN,NAN,NAN,NAN,NAN,NAN,5.0,5.0,5.0
1633823,ButterRoyaleTV,NAN,NAN,NAN,NAN,NAN,2.0,2.0,2.0,2.0,2.0
1640788,Special K,NAN,NAN,NAN,NAN,3.0,4.0,4.0,4.0,4.0,6.0
1655337,Drewski,NAN,NAN,NAN,NAN,NAN,6.0,6.0,6.0,6.0,6.0
1667291,DarkSamYT,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,4.0
1682252,BABA | shama,NAN,NAN,NAN,12.0,12.0,12.0,12.0,12.0,12.0,12.0
1682516,BABA | Babo,NAN,NAN,NAN,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1694324,Roulette Rider,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2.0
1729667,SlickSiwik,NAN,NAN,NAN,NAN,NAN,NAN,NAN,3.0,4.0,4.0
1760355,ArStar,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,5.0
1794541,Chubbz,NAN,NAN,NAN,15.0,15.0,15.0,15.0,15.0,15.0,15.0
1795087,Justyn,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,4.0
1802123,mello,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2.0,2.0
1816060,Aleksander,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,5.0
1832439,imrainh2o,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,14.0
1833788,dust,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2.0,2.0,2.0
1839605,DontTestMe,NAN,NAN,NAN,NAN,NAN,NAN,NAN,108.0,108.0,108.0
1866109,BubbleFuel,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,9.0
1940641,100 Days Of Solitude,NAN,NAN,NAN,NAN,5.0,5.0,5.0,5.0,5.0,11.0
1942273,Fankriss,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,75.0
1944467,SUPERUNKNOWN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2.0
1966716,LewdCelebs4Free,NAN,NAN,NAN,NAN,NAN,NAN,8.0,18.0,18.0,18.0
1966739,ImYourDade,NAN,NAN,NAN,NAN,NAN,NAN,3.0,3.0,3.0,3.0
1969893,Enrique Iglesias,NAN,NAN,NAN,NAN,NAN,NAN,13.0,13.0,13.0,13.0
1973589,Rooster,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2.0
1974127,aujory,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2.0
1975549,Tap Jump,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,18.0
1998865,buttcakes29,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.0
2011811,sucordie,NAN,NAN,NAN,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2013353,WeedWizard,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,3.0
2021066,Schweppes,NAN,NAN,NAN,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2026451,ASAPferq,NAN,NAN,NAN,2.0,2.0,2.0,4.0,4.0,4.0,4.0
2029721,Ghost Rider,NAN,NAN,NAN,51.0,51.0,78.0,78.0,78.0,78.0,88.0
2031615,420 | Yolk,NAN,NAN,NAN,8.0,8.0,8.0,8.0,8.0,8.0,8.0
2038523,thesiscat,NAN,NAN,NAN,NAN,NAN,15.0,15.0,15.0,15.0,15.0
2039890,SeekerIX,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.0
2044204,Eastwood,NAN,NAN,NAN,NAN,NAN,5.0,5.0,5.0,5.0,5.0
2048453,D3WDify,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,11.0
2064187,Abhi,NAN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2065666,eee,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,3.0
2082068,CarltonDanks,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2085246,kippu,NAN,4.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
2094677,peenlover,NAN,NAN,NAN,NAN,NAN,NAN,2.0,2.0,2.0,2.0
2111424,flowjam,NAN,NAN,NAN,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2114057,squillf,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.0
2114345,Watermelons,NAN,NAN,NAN,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2114347,adamaggy,NAN,NAN,NAN,9.0,9.0,9.0,9.0,9.0,9.0,9.0
2114773,Raffshot,NAN,NAN,NAN,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2122811,$W@6 | rocketf20,NAN,NAN,NAN,NAN,1.0,1.0,1.0,1.0,1.0,1.0
2123726,Sax,NAN,NAN,NAN,NAN,1.0,1.0,1.0,1.0,1.0,1.0
2131909,gbio,NAN,NAN,NAN,NAN,NAN,4.0,4.0,4.0,4.0,4.0
2141037,josh,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2.0
2142566,lavalamp,NAN,NAN,NAN,NAN,NAN,NAN,4.0,4.0,4.0,4.0
2145485,scrubjr,NAN,NAN,NAN,NAN,NAN,NAN,NAN,11.0,11.0,11.0
2146702,Port!!!,NAN,NAN,NAN,NAN,NAN,NAN,NAN,4.0,4.0,4.0
2147247,UPTILT | Nishi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,13.0,13.0,13.0
2147280,Saatvik,NAN,NAN,NAN,NAN,NAN,NAN,NAN,11.0,11.0,11.0
2147839,Aidanafoo,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,7.0
2151326,JB,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,5.0,5.0
2153787,Caveman3732,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,3.0
2156433,Asuka,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,4.0
2156685,Nanami,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,9.0
2156792,CUCK | BreahdToDaBeuhrds,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,4.0
2156847,DRC,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,4.0
2157012,HunterGee,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.0
2157013,keyboard gamer,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,8.0
