SmasherID,SmashTag,Coast,Wins,Losses,LimitLadderWins,Prospect,Rookie,Pro,AllStar,HallOfFame,Floated,Placement,PlacePoints,Points,Rank
1019,CLG. | SFAT,NOTAV,5,0,0,0,0,0,0,0,1,1,200.0,215.0,1.0
1030,LFG | Eddy Mexico,,12,3,0,0,0,0,1,0,0,7,75.0,102.0,7.0
3499,Boy,,12,8,0,0,0,1,0,0,0,-1,0.0,22.0,25.0
4390,NGG | Jflex,,13,4,0,0,0,1,0,0,0,9,45.0,68.0,10.0
4647,Gaz,,7,5,0,0,1,0,0,0,0,-1,0.0,12.0,43.0
5457,Bones,,11,3,0,0,0,0,1,0,0,9,45.0,71.0,9.0
5618,ANTIFA CEO | Quiggles,,11,10,0,0,1,0,0,0,0,-1,0.0,16.0,31.0
6700,JCubez,,13,8,0,0,0,1,0,0,0,17,10.0,33.0,19.0
10485,DD,,10,5,0,0,0,1,0,0,0,17,10.0,30.0,20.0
13765,Help,,9,8,0,0,1,0,0,0,0,-1,0.0,14.0,36.0
15298,Cowbell,,8,3,0,0,0,1,0,0,0,-1,0.0,18.0,29.0
15390,Tammerath,,5,3,0,0,1,0,0,0,0,-1,0.0,10.0,46.0
16393,Higgins,,14,7,0,0,0,1,0,0,0,13,25.0,49.0,13.0
21525,Kaptinkillem,,8,7,0,0,1,0,0,0,0,-1,0.0,13.0,39.0
25478,Maruf,,7,4,0,0,0,1,0,0,0,17,10.0,27.0,23.0
26750,KoDoRiN,NOTAV,1,2,0,0,0,0,0,0,1,9,45.0,56.0,12.0
30581,Jolf,,10,15,0,1,0,0,0,0,0,-1,0.0,11.0,45.0
30865,Spi,,6,12,0,1,0,0,0,0,0,-1,0.0,7.0,55.0
35423,Gaz333,,8,4,0,0,1,0,0,0,0,-1,0.0,13.0,39.0
37116,GUG | Kürv,,11,3,0,0,0,1,0,0,0,3,150.0,171.0,3.0
38643,RedX,,10,8,0,0,1,0,0,0,0,-1,0.0,15.0,33.0
40403,Pawn,,1,9,0,1,0,0,0,0,0,-1,0.0,2.0,67.0
41492,Divine Senator Kelly,,5,4,0,0,1,0,0,0,0,-1,0.0,10.0,46.0
45356,OtES,,9,10,0,0,1,0,0,0,0,-1,0.0,14.0,36.0
47650,shoelegend88,,11,8,0,0,1,0,0,0,0,-1,0.0,16.0,31.0
47866,S.C.E. | Erik,,16,6,0,0,0,0,1,0,0,5,95.0,126.0,5.0
50047,ScrubUp,,13,10,0,0,0,1,0,0,0,-1,0.0,23.0,24.0
61570,YC | Pappi,,13,3,0,0,0,1,0,0,0,5,95.0,118.0,6.0
61640,CAPTwheatroll,,5,20,0,1,0,0,0,0,0,-1,0.0,6.0,57.0
61897,PEP | LSD,,11,4,0,0,0,0,1,0,0,17,10.0,36.0,18.0
64644,STP,,7,13,0,1,0,0,0,0,0,-1,0.0,8.0,52.0
64692,SANS | Blues Clues,,10,6,0,0,0,1,0,0,0,9,45.0,65.0,11.0
65777,bobby big ballz,NOTAV,6,2,0,0,0,0,0,0,1,2,175.0,191.0,2.0
138710,Golden,,9,3,0,0,0,1,0,0,0,7,75.0,94.0,8.0
144133,YBBT | leroydankins,,2,6,0,1,0,0,0,0,0,-1,0.0,3.0,63.0
150123,TPN,,14,10,0,0,0,1,0,0,0,13,25.0,49.0,13.0
157615,ight,,12,8,0,0,1,0,0,0,0,-1,0.0,17.0,30.0
158003,Mono,,5,2,0,0,1,0,0,0,0,-1,0.0,10.0,46.0
171034,Den,,2,5,0,1,0,0,0,0,0,-1,0.0,3.0,63.0
173178,LAG,,8,3,0,0,0,1,0,0,0,17,10.0,28.0,22.0
175324,Dandy,,10,11,0,0,1,0,0,0,0,-1,0.0,15.0,33.0
178194,foxmcchicken,,1,9,0,1,0,0,0,0,0,-1,0.0,2.0,67.0
183677,Yamasaki,,2,5,0,1,0,0,0,0,0,-1,0.0,3.0,63.0
186967,Bug Juice | Snorlaxative,,3,9,0,1,0,0,0,0,0,-1,0.0,4.0,60.0
