Rank,SmashTag,EnteredTMT
1.0,CLG. | SFAT,0.0
2.0,bobby big ballz,0.0
3.0,S2J,0.0
4.0,KoDoRiN,0.0
5.0,PEP | LSD,0.0
6.0,Ginger,0.0
7.0,IMP | Ben,0.0
8.0,Revenge | Gahtzu,0.0
9.0,SANS | Blues Clues,0.0
10.0,Erik,0.0
13.0,Fiction,1.0
212.0,Theftz,1.0
NA,newPlayer,1.0
