SmasherID,SmashTag,Coast,Wins,Losses,LimitLadderWins,Prospect,Rookie,Pro,AllStar,HallOfFame,Floated,Placement,PlacePoints,Points,Rank
1016,Fiction,WC,14,4,0,0,0,0,1,0,0,7,75,104,7
1017,S2J,WC,4,2,0,0,0,0,0,0,1,4,125,139,4
1019,CLG. | SFAT,WC,12,4,0,0,0,1,0,0,0,2,175,197,2
1077,Revenge | Gahtzu,EC,8,2,0,0,0,1,0,0,0,3,150,168,3
3561,Ginger,EC,20,4,0,0,0,0,1,0,0,1,200,235,1
3734,Hulka,WC,9,6,0,0,0,1,0,0,0,17,10,29,18
4127,MIOM | Toph,WC,8,5,0,0,0,1,0,0,0,17,10,28,19
4748,GST | Ryobeat,EC,6,2,0,0,1,0,0,0,0,-1,0,11,31
4864,Theftz,WC,3,6,0,1,0,0,0,0,0,-1,0,4,46
5618,ANTIFA CEO | Quiggles,EC,11,15,0,1,0,0,0,0,0,-1,0,12,28
10485,DD,WC,7,4,0,0,0,1,0,0,0,13,25,42,16
11945,Strazz,EC,1,9,0,1,0,0,0,0,0,-1,0,2,50
12137,Cock Lot | JEEPER,WC,11,15,0,0,1,0,0,0,0,-1,0,16,24
13622,Blu-J,EC,0,2,0,1,0,0,0,0,0,-1,0,1,56
14617,DiscipleOfBorp,WC,4,11,0,1,0,0,0,0,0,-1,0,5,43
16066,TG NBR | Panos,EC,4,4,0,0,1,0,0,0,0,-1,0,9,38
21215,Dom,EC,14,6,0,0,0,1,0,0,0,7,75,99,8
23920,GHQ | Zamu,EC,10,5,0,0,0,1,0,0,0,9,45,65,11
26153,DarkGenex,EC,11,10,0,0,1,0,0,0,0,-1,0,16,24
26750,KoDoRiN,WC,8,3,0,0,0,1,0,0,0,5,95,113,6
27862,Musashi,WC,6,5,0,0,1,0,0,0,0,-1,0,11,31
38175,W8ASec,WC,7,7,0,0,1,0,0,0,0,-1,0,12,28
38643,RedX,WC,7,10,0,1,0,0,0,0,0,-1,0,8,40
40403,Pawn,WC,0,17,0,1,0,0,0,0,0,-1,0,1,56
45356,OtES,EC,7,12,0,1,0,0,0,0,0,-1,0,8,40
51608,Vitro,WC,4,6,0,1,0,0,0,0,0,-1,0,5,43
53365,Ringler,WC,1,11,0,1,0,0,0,0,0,-1,0,2,50
61873,306 | Polo,WC,8,3,0,0,0,1,0,0,0,17,10,28,19
61897,LSD,EC,14,4,0,0,0,0,1,0,0,5,95,124,5
64692,SANS | Blues Clues,WC,15,7,0,0,0,0,1,0,0,13,25,55,13
65566,Miranda,EC,2,4,0,1,0,0,0,0,0,-1,0,3,47
65777,bobby big ballz,WC,13,6,0,0,0,0,1,0,0,9,45,73,9
135157,billybopeep,WC,8,6,0,0,0,1,0,0,0,17,10,28,19
138710,Golden,EC,8,3,0,0,0,1,0,0,0,9,45,63,12
147811,Dawson,EC,9,8,0,0,1,0,0,0,0,-1,0,14,27
155077,radvillainy,EC,1,11,0,1,0,0,0,0,0,-1,0,2,50
158148,Chewy,EC,2,8,0,1,0,0,0,0,0,-1,0,3,47
185618,Captain G,EC,12,10,0,0,0,1,0,0,0,13,25,47,15
241260,Alex18+,EC,2,8,0,1,0,0,0,0,0,-1,0,3,47
255496,ericiscool.net,EC,1,2,0,1,0,0,0,0,0,-1,0,2,50
257025,2Framez,EC,6,3,0,0,1,0,0,0,0,-1,0,11,31
265808,NOOT,WC,4,3,0,0,1,0,0,0,0,-1,0,9,38
279722,EP | Justus,WC,14,9,0,0,0,1,0,0,0,17,10,34,17
286517,Thad <3,WC,5,4,0,0,1,0,0,0,0,-1,0,10,37
288395,jams,WC,4,16,0,1,0,0,0,0,0,-1,0,5,43
294260,ABG | salami,WC,8,5,0,0,0,1,0,0,0,17,10,28,19
327212,:3 | Marrgasm,WC,7,3,0,0,1,0,0,0,0,-1,0,12,28
353165,Milo,EC,10,10,0,0,1,0,0,0,0,-1,0,15,26
357233,Afron,EC,0,4,0,1,0,0,0,0,0,-1,0,1,56
391890,TheFormuoli,WC,10,14,0,1,0,0,0,0,0,-1,0,11,31
407878,Slump,WC,7,12,0,1,0,0,0,0,0,-1,0,8,40
424095,Frost | JJK,EC,0,4,0,1,0,0,0,0,0,-1,0,1,56
465131,Hunybear,EC,12,9,0,0,1,0,0,0,0,-1,0,17,23
585236,306 | Amrak,WC,6,4,0,0,1,0,0,0,0,-1,0,11,31
617254,N8V,WC,1,8,0,1,0,0,0,0,0,-1,0,2,50
627118,Pipe,WC,6,13,0,0,1,0,0,0,0,-1,0,11,31
709843,Chem,EC,13,10,0,0,0,1,0,0,0,13,25,48,14
925369,Fishpaste,EC,1,8,0,1,0,0,0,0,0,-1,0,2,50
927948,cliché,WC,12,7,0,0,0,1,0,0,0,9,45,67,10
2082068,CarltonDanks,WC,0,5,0,1,0,0,0,0,0,-1,0,1,56
