SmasherID,SmashTag,Coast,Wins,Losses,LimitLadderWins,Prospect,Rookie,Pro,AllStar,HallOfFame,Floated,Placement
1016,Fiction,WC,14,4,0,0,0,0,1,0,0,7
1017,S2J,WC,4,2,0,0,0,0,0,0,1,4
1019,CLG. | SFAT,WC,12,4,0,0,0,1,0,0,0,2
1077,Revenge | Gahtzu,EC,8,2,0,0,0,1,0,0,0,3
3561,Ginger,EC,20,4,0,0,0,0,1,0,0,1
3734,Hulka,WC,9,6,0,0,0,1,0,0,0,17
4127,MIOM | Toph,WC,8,5,0,0,0,1,0,0,0,17
4748,GST | Ryobeat,EC,6,2,0,0,1,0,0,0,0,-1
4864,Theftz,WC,3,6,0,1,0,0,0,0,0,-1
5618,ANTIFA CEO | Quiggles,EC,11,15,0,1,0,0,0,0,0,-1
10485,DD,WC,7,4,0,0,0,1,0,0,0,13
11945,Strazz,EC,1,9,0,1,0,0,0,0,0,-1
12137,Cock Lot | JEEPER,WC,11,15,0,0,1,0,0,0,0,-1
13622,Blu-J,EC,0,2,0,1,0,0,0,0,0,-1
14617,DiscipleOfBorp,WC,4,11,0,1,0,0,0,0,0,-1
16066,TG NBR | Panos,EC,4,4,0,0,1,0,0,0,0,-1
21215,Dom,EC,14,6,0,0,0,1,0,0,0,7
23920,GHQ | Zamu,EC,10,5,0,0,0,1,0,0,0,9
26153,DarkGenex,EC,11,10,0,0,1,0,0,0,0,-1
26750,KoDoRiN,WC,8,3,0,0,0,1,0,0,0,5
27862,Musashi,WC,6,5,0,0,1,0,0,0,0,-1
38175,W8ASec,WC,7,7,0,0,1,0,0,0,0,-1
38643,RedX,WC,7,10,0,1,0,0,0,0,0,-1
40403,Pawn,WC,0,17,0,1,0,0,0,0,0,-1
45356,OtES,EC,7,12,0,1,0,0,0,0,0,-1
51608,Vitro,WC,4,6,0,1,0,0,0,0,0,-1
53365,Ringler,WC,1,11,0,1,0,0,0,0,0,-1
61873,306 | Polo,WC,8,3,0,0,0,1,0,0,0,17
61897,LSD,EC,14,4,0,0,0,0,1,0,0,5
64692,SANS | Blues Clues,WC,15,7,0,0,0,0,1,0,0,13
65566,Miranda,EC,2,4,0,1,0,0,0,0,0,-1
65777,bobby big ballz,WC,13,6,0,0,0,0,1,0,0,9
135157,billybopeep,WC,8,6,0,0,0,1,0,0,0,17
138710,Golden,EC,8,3,0,0,0,1,0,0,0,9
147811,Dawson,EC,9,8,0,0,1,0,0,0,0,-1
155077,radvillainy,EC,1,11,0,1,0,0,0,0,0,-1
158148,Chewy,EC,2,8,0,1,0,0,0,0,0,-1
185618,Captain G,EC,12,10,0,0,0,1,0,0,0,13
241260,Alex18+,EC,2,8,0,1,0,0,0,0,0,-1
255496,ericiscool.net,EC,1,2,0,1,0,0,0,0,0,-1
257025,2Framez,EC,6,3,0,0,1,0,0,0,0,-1
265808,NOOT,WC,4,3,0,0,1,0,0,0,0,-1
279722,EP | Justus,WC,14,9,0,0,0,1,0,0,0,17
286517,Thad <3,WC,5,4,0,0,1,0,0,0,0,-1
288395,jams,WC,4,16,0,1,0,0,0,0,0,-1
294260,ABG | salami,WC,8,5,0,0,0,1,0,0,0,17
327212,:3 | Marrgasm,WC,7,3,0,0,1,0,0,0,0,-1
353165,Milo,EC,10,10,0,0,1,0,0,0,0,-1
357233,Afron,EC,0,4,0,1,0,0,0,0,0,-1
391890,TheFormuoli,WC,10,14,0,1,0,0,0,0,0,-1
407878,Slump,WC,7,12,0,1,0,0,0,0,0,-1
424095,Frost | JJK,EC,0,4,0,1,0,0,0,0,0,-1
465131,Hunybear,EC,12,9,0,0,1,0,0,0,0,-1
585236,306 | Amrak,WC,6,4,0,0,1,0,0,0,0,-1
617254,N8V,WC,1,8,0,1,0,0,0,0,0,-1
627118,Pipe,WC,6,13,0,0,1,0,0,0,0,-1
709843,Chem,EC,13,10,0,0,0,1,0,0,0,13
925369,Fishpaste,EC,1,8,0,1,0,0,0,0,0,-1
927948,cliché,WC,12,7,0,0,0,1,0,0,0,9
2082068,CarltonDanks,WC,0,5,0,1,0,0,0,0,0,-1
