SmasherID,SmashTag,Wins,Losses,LimitLadderWins,Prospect,Rookie,Pro,AllStar,HallOfFame,Floated,WinPercentage,PlaceWeek1,PlacePoints,PlacePoints1,Points,Rank
1016,Fiction,14,4,0,0,0,0,1,0,0,0.7777777777777778,7,75.0,75.0,104.0,7.0
64692,SANS | Blues Clues,15,7,0,0,0,0,1,0,0,0.6818181818181818,13,25.0,25.0,55.0,13.0
65777,bobby big ballz,13,6,0,0,0,0,1,0,0,0.6842105263157895,9,45.0,45.0,73.0,9.0
279722,EP | Justus,14,9,0,0,0,1,0,0,0,0.6086956521739131,17,10.0,10.0,34.0,17.0
61873,306 | Polo,8,3,0,0,0,1,0,0,0,0.7272727272727273,17,10.0,10.0,28.0,19.0
1019,CLG. | SFAT,12,4,0,0,0,1,0,0,0,0.75,2,175.0,175.0,197.0,2.0
26750,KoDoRiN,8,3,0,0,0,1,0,0,0,0.7272727272727273,5,95.0,95.0,113.0,6.0
10485,DD,7,4,0,0,0,1,0,0,0,0.6363636363636364,13,25.0,25.0,42.0,16.0
4127,MIOM | Toph,8,5,0,0,0,1,0,0,0,0.6153846153846154,17,10.0,10.0,28.0,19.0
294260,ABG | salami,8,5,0,0,0,1,0,0,0,0.6153846153846154,17,10.0,10.0,28.0,19.0
3734,Hulka,9,6,0,0,0,1,0,0,0,0.6,17,10.0,10.0,29.0,18.0
927948,clich̩,12,7,0,0,0,1,0,0,0,0.631578947368421,9,45.0,45.0,67.0,10.0
135157,billybopeep,8,6,0,0,0,1,0,0,0,0.5714285714285714,17,10.0,10.0,28.0,19.0
585236,306 | Amrak,6,4,0,0,1,0,0,0,0,0.6,-1,0.0,0.0,11.0,31.0
327212,:3 | Marrgasm,7,3,0,0,1,0,0,0,0,0.7,-1,0.0,0.0,12.0,28.0
12137,Cock Lot | JEEPER,11,15,0,0,1,0,0,0,0,0.4230769230769231,-1,0.0,0.0,16.0,24.0
265808,NOOT,4,3,0,0,1,0,0,0,0,0.5714285714285714,-1,0.0,0.0,9.0,38.0
27862,Musashi,6,5,0,0,1,0,0,0,0,0.5454545454545454,-1,0.0,0.0,11.0,31.0
