SmasherID,SmashTag,Wins,Losses,Prospect,Rookie,Pro,AllStar,HallOfFame,Placement,Floated,WinPercentage,PlacePoints,Points,Rank
709843,Chem,13,10,0,0,1,0,0,13,0,0.5652173913043478,25.0,48.0,14.0
185618,Captain G,12,10,0,0,1,0,0,13,0,0.5454545454545454,25.0,47.0,15.0
4748,GST | Ryobeat,6,2,0,1,0,0,0,-1,0,0.75,0.0,11.0,36.0
465131,Hunybear,12,9,0,1,0,0,0,-1,0,0.5714285714285714,0.0,17.0,23.0
147811,Dawson,9,8,0,1,0,0,0,-1,0,0.5294117647058824,0.0,14.0,27.0
257025,2Framez,6,3,0,1,0,0,0,-1,0,0.6666666666666666,0.0,11.0,36.0
26153,DarkGenex,11,11,0,1,0,0,0,-1,0,0.5,0.0,16.0,25.0
353165,Milo,10,10,0,1,0,0,0,-1,0,0.5,0.0,15.0,26.0
5618,ANTIFA CEO | Quiggles,11,14,1,0,0,0,0,-1,0,0.44,0.0,12.0,30.0
16066,TG NBR | Panos,4,4,0,1,0,0,0,-1,0,0.5,0.0,9.0,39.0
45356,OtES,7,12,1,0,0,0,0,-1,0,0.3684210526315789,0.0,8.0,42.0
65566,Miranda,2,4,1,0,0,0,0,-1,0,0.3333333333333333,0.0,3.0,49.0
255496,ericiscool.net,1,2,1,0,0,0,0,-1,0,0.3333333333333333,0.0,2.0,55.0
158148,Chewy,2,8,1,0,0,0,0,-1,0,0.2,0.0,3.0,49.0
241260,Alex18+,2,8,1,0,0,0,0,-1,0,0.2,0.0,3.0,49.0
925369,Fishpaste,1,9,1,0,0,0,0,-1,0,0.1,0.0,2.0,55.0
11945,Strazz,1,9,1,0,0,0,0,-1,0,0.1,0.0,2.0,55.0
155077,radvillainy,1,11,1,0,0,0,0,-1,0,0.08333333333333333,0.0,2.0,55.0
13622,Blu-J,0,2,1,0,0,0,0,-1,0,0.0,0.0,1.0,60.0
424095,Frost | JJK,0,4,1,0,0,0,0,-1,0,0.0,0.0,1.0,60.0
357233,Afron,0,4,1,0,0,0,0,-1,0,0.0,0.0,1.0,60.0
1017,S2J,4,2,0,0,0,0,0,4,1,0.6666666666666666,125.0,144.0,4.0
