SmasherID,SmashTag,Wins,Losses,LimitLadderWins,Prospect,Rookie,Pro,AllStar,HallOfFame,Floated,WinPercentage,PlaceWeek1,PlaceWeek2
718293,Nico,3,8,0,1,0,0,0,0,0,0.2727272727272727,-2,-1
18722,K.H.D | Reign,2,15,0,1,0,0,0,0,0,0.11764705882352941,-2,-1
157632,TurboThot,1,3,0,1,0,0,0,0,0,0.25,-2,-1
229216,KaiKwonDo,2,6,0,1,0,0,0,0,0,0.25,-2,-1
528737,3OutChange,1,11,0,1,0,0,0,0,0,0.08333333333333333,-2,-1
33387,pointykitty,1,19,0,1,0,0,0,0,0,0.05,-2,-1
148200,Big Pivot,0,27,0,1,0,0,0,0,0,0.0,-2,-1
21661,GLR | JAM,17,7,0,0,0,0,1,0,0,0.7083333333333334,-2,17
47866,S.C.E. | Erik,12,7,0,0,0,0,1,0,0,0.631578947368421,-2,17
54390,Question,17,10,0,0,0,1,0,0,0,0.6296296296296297,-2,17
12353,Twisty,10,4,0,0,0,1,0,0,0,0.7142857142857143,-2,9
7201,.Ãempt,18,11,0,0,0,1,0,0,0,0.6206896551724138,-2,9
657464,CowCowCowCowCow,8,8,0,0,0,1,0,0,0,0.5,-2,25
15948,glum oinkin',2,4,0,1,0,0,0,0,0,0.3333333333333333,-2,-1
183400,Doctor Dank,2,13,0,1,0,0,0,0,0,0.13333333333333333,-2,-1
223503,Rigo Bigo,5,11,0,1,0,0,0,0,0,0.3125,-2,-1
641180,Luppi,1,7,0,1,0,0,0,0,0,0.125,-2,-1
2064187,Abhi,0,15,0,1,0,0,0,0,0,0.0,-2,-1
