SmasherID,SmashTag,Wins,Losses,LimitLadderWins,Prospect,Rookie,Pro,AllStar,HallOfFame,Floated,WinPercentage,Placement
64692,SANS | Blues Clues,13,4,0,0,0,1,0,0,0,0.7647058823529411,7
16023,soccermom69,12,5,0,0,0,1,0,0,0,0.7058823529411765,13
585236,306 | Amrak,15,7,0,0,0,1,0,0,0,0.6818181818181818,13
36990,Trock,15,9,0,0,0,1,0,0,0,0.625,13
38567,Android 0,11,2,0,0,0,1,0,0,0,0.8461538461538461,5
28793,Light,12,6,0,0,0,1,0,0,0,0.6666666666666666,17
60696,FM | Cilan,13,8,0,0,0,1,0,0,0,0.6190476190476191,17
10529,The Leaf,8,2,0,0,0,1,0,0,0,0.8,9
65777,bobby big ballz,11,3,0,0,0,1,0,0,0,0.7857142857142857,4
29840,TBD,14,9,0,0,0,1,0,0,0,0.6086956521739131,17
250581,Fizz,18,13,0,0,0,1,0,0,0,0.5806451612903226,9
27862,Musashi,6,4,0,0,0,1,0,0,0,0.6,25
10485,DD,13,8,0,0,0,1,0,0,0,0.6190476190476191,13
327212,Marrgasm,11,9,0,0,0,1,0,0,0,0.55,17
19346,SonOfJ,8,8,0,0,0,1,0,0,0,0.5,25
927948,cliché,13,11,0,0,0,1,0,0,0,0.5416666666666666,17
150888,Shy,7,4,0,0,1,0,0,0,0,0.6363636363636364,-1
627118,Pipe,9,10,0,0,1,0,0,0,0,0.47368421052631576,-1
25789,Tourist,4,3,0,0,1,0,0,0,0,0.5714285714285714,-1
27527,Megaman,11,14,0,0,1,0,0,0,0,0.44,-1
301566,JustJoshin,3,4,0,1,0,0,0,0,0,0.42857142857142855,-1
147251,GS | TreyTheTrashman,3,4,0,1,0,0,0,0,0,0.42857142857142855,-1
4197,Uncle Pete,3,6,0,0,1,0,0,0,0,0.3333333333333333,-1
286517,Thad <3,5,5,0,1,0,0,0,0,0,0.5,-1
735376,CVSmashMods | Ripn,3,3,0,1,0,0,0,0,0,0.5,-1
40403,Pawn,5,8,0,1,0,0,0,0,0,0.38461538461538464,-1
2085246,kippu,3,5,0,1,0,0,0,0,0,0.375,-1
718293,Nico,3,8,0,1,0,0,0,0,0,0.2727272727272727,-1
18722,K.H.D | Reign,2,15,0,1,0,0,0,0,0,0.11764705882352941,-1
157632,TurboThot,1,3,0,1,0,0,0,0,0,0.25,-1
229216,KaiKwonDo,2,6,0,1,0,0,0,0,0,0.25,-1
528737,3OutChange,1,11,0,1,0,0,0,0,0,0.08333333333333333,-1
33387,pointykitty,1,19,0,1,0,0,0,0,0,0.05,-1
148200,Big Pivot,0,27,0,1,0,0,0,0,0,0.0,-1
21661,GLR | JAM,17,7,0,0,0,0,1,0,0,0.7083333333333334,17
47866,S.C.E. | Erik,12,7,0,0,0,0,1,0,0,0.631578947368421,17
54390,Question,17,10,0,0,0,1,0,0,0,0.6296296296296297,17
12353,Twisty,10,4,0,0,0,1,0,0,0,0.7142857142857143,9
7201,.Ðempt,18,11,0,0,0,1,0,0,0,0.6206896551724138,9
657464,CowCowCowCowCow,8,8,0,0,0,1,0,0,0,0.5,25
5618,ANTIFA CEO | Quiggles,13,12,0,0,0,1,0,0,0,0.52,25
241260,Alex18+,9,11,0,1,0,0,0,0,0,0.45,25
257025,2Framez,3,4,0,1,0,0,0,0,0,0.42857142857142855,-1
11945,Strazz,4,5,0,1,0,0,0,0,0,0.4444444444444444,-1
15948,glum oinkin',2,4,0,1,0,0,0,0,0,0.3333333333333333,-1
183400,Doctor Dank,2,13,0,1,0,0,0,0,0,0.13333333333333333,-1
223503,Rigo Bigo,5,11,0,1,0,0,0,0,0,0.3125,-1
641180,Luppi,1,7,0,1,0,0,0,0,0,0.125,-1
2064187,Abhi,0,15,0,1,0,0,0,0,0,0.0,-1
1077,Revenge | Gahtzu,6,0,0,0,0,0,0,0,1,1.0,1
3561,Ginger,4,2,0,0,0,0,0,0,1,0.6666666666666666,2
1019,CLG. | SFAT,4,2,0,0,0,0,0,0,1,0.6666666666666666,3
1017,S2J,2,2,0,0,0,0,0,0,1,0.5,5
26750,KoDoRiN,4,2,0,0,0,0,0,0,1,0.6666666666666666,7
