Character,SmashTag,Points
Falco,bobby big ballz,655.0
Falco,Westballz,331.0
Falco,LG | Ginger,189.0
Falco,HoG | Warmmer,178.0
Falco,Younger,142.0
Falco,Neologism,109.0
Falco,yingling,99.0
Falco,Elk G | Ivayne,69.0
Falco,TBD,58.0
Falco,Khoron | Oreo,55.0
Falco,LFTG | Logos,47.0
Falco,Googlyeyed,44.0
Falco,NOOT,37.0
Falco,Red Dead | Traplord,34.0
Falco,shoelegend88,24.0
Falco,620 | Megacaat,24.0
Falco,Alextrer,20.0
Falco,E-tie,15.0
Falco,Good1ife,15.0
Falco,Sodabro,14.0
Falco,Jakespeare,13.0
Falco,Help,12.0
Falco,91,9.0
Falco,Calvin,9.0
Falco,unlimited boy,9.0
Falco,jtetter,9.0
Falco,WOMB#619 | Wombat,8.0
Falco,Spi,6.0
Falco,pathojin,6.0
Falco,will1v1_ttv,5.0
Falco,ericiscool.net,5.0
Falco,Layer,5.0
Falco,Penguis,5.0
Falco,wally,5.0
Falco,Nudepenguin,4.0
Falco,thesiscat,4.0
Falco,hHerb,4.0
Falco,DCG | Spots,3.0
Falco,Elk_G | Karm,3.0
Falco,ItsDad,3.0
Falco,Bebop,2.0
Falco,TC | BuyMyMixTape,2.0
Falco,Ari,2.0
Falco,deep_cuts,2.0
Falco,ushi,2.0
Falco,trades,1.0
Falco,JehL,1.0
Falco,JackO,1.0
Marth,KoDoRiN,431.0
Marth,Quaff,372.0
Marth,Zeeker,275.0
Marth,Khryke,224.0
Marth,Fro116,75.0
Marth,Typhoon,43.0
Marth,Mud,43.0
Marth,Yamasaki,24.0
Marth,Ribboned Ace,24.0
Marth,SC | Lad,21.0
Marth,Connor,16.0
Marth,JLo,16.0
Marth,Floods,13.0
Marth,Arn255,9.0
Marth,JFIRE,9.0
Marth,akir,9.0
Marth,Sworderailer,8.0
Marth,BEBO,7.0
Marth,Phantom Airline,6.0
Marth,Rodney,5.0
Marth,PP | rocky,5.0
Marth,Logan,4.0
Marth,Kandayo,4.0
Marth,Thad <3,3.0
Marth,Wiza,3.0
Marth,Proobie44,2.0
Marth,BABA | Babo,2.0
Marth,Neee,2.0
Marth,SHRD#209 | Shredder,2.0
Marth,A HUMAN | Agile,1.0
Sheik,NGG | Jflex,350.0
Sheik,IMP | Ben,117.0
Sheik,Peppi | CrossFitJesus,73.0
Sheik,Pipe,31.0
Sheik,Krudo,17.0
