Character,SmashTag,Rank
Falco,bobby big ballz,1.0
Falco,Westballz,7.0
Falco,LG | Ginger,14.0
Falco,HoG | Warmmer,17.0
Falco,Younger,19.0
Falco,yingling,22.0
Falco,Neologism,29.0
Falco,Khoron | Oreo,35.0
Falco,Elk G | Ivayne,39.0
Falco,TBD,41.0
Falco,LFTG | Logos,51.0
Falco,Googlyeyed,54.0
Falco,NOOT,61.0
Falco,Red Dead | Traplord,65.0
Falco,shoelegend88,78.0
Falco,620 | Megacaat,78.0
Falco,Alextrer,102.0
Falco,Help,120.0
Falco,E-tie,133.0
Falco,Good1ife,133.0
Falco,Sodabro,139.0
Falco,Jakespeare,142.0
Falco,jtetter,177.0
Falco,Calvin,177.0
Falco,unlimited boy,177.0
Falco,91,177.0
Falco,YC | Peppi | | Pappi,188.0
Falco,WOMB#619 | Wombat,188.0
Falco,Layer,198.0
Falco,ericiscool.net,198.0
Falco,Spi,211.0
Falco,Nudepenguin,211.0
Falco,pathojin,211.0
Falco,will1v1_ttv,220.0
Falco,Penguis,220.0
Falco,wally,220.0
Falco,thesiscat,240.0
Falco,hHerb,240.0
Falco,Elk_G | Karm,263.0
Falco,24 | Mamba!,263.0
Falco,DCG | Spots,263.0
Falco,ItsDad,263.0
Falco,Drewski,263.0
Falco,Bebop,280.0
Falco,Ari,280.0
Falco,deep_cuts,280.0
Falco,TC | BuyMyMixTape,280.0
Falco,ushi,280.0
Falco,MacTheStampede,280.0
Falco,JehL,315.0
Falco,trades,315.0
Falco,JackO,315.0
Marth,KoDoRiN,2.0
Marth,Quaff,6.0
Marth,Zeeker,8.0
Marth,Khryke,12.0
Marth,MIT | Fro116,27.0
Marth,SF | Herrán,30.0
Marth,Typhoon,40.0
Marth,Mud,43.0
Marth,akir,43.0
Marth,Yamasaki,62.0
Marth,SC | Lad,66.0
Marth,Ribboned Ace,78.0
Marth,JLo,95.0
Marth,Connor,127.0
Marth,Floods,133.0
Marth,JFIRE,177.0
Marth,Arn255,177.0
Marth,Sworderailer,188.0
Marth,Kandayo,188.0
Marth,BEBO,198.0
Marth,Phantom Airline,211.0
Marth,Wiza,220.0
Marth,PP | rocky,220.0
Marth,Rodney,220.0
Marth,Logan,240.0
Marth,Thad <3,263.0
Marth,Proobie44,280.0
Marth,SHRD#209 | Shredder,280.0
Marth,BABA | Babo,280.0
Marth,N8v,280.0
Marth,Neee,280.0
Marth,A HUMAN | Agile,315.0
Sheik,NGG | Jflex,5.0
Sheik,IMP | Ben,13.0
Sheik,Peppi | CrossFitJesus,38.0
Sheik,Pipe,55.0
Sheik,LewdCelebs4Free,109.0
Sheik,Krudo,120.0
Sheik,AR0,152.0
Sheik,Reaver_King,198.0
Sheik,Mo $,220.0
Sheik,100 Days Of Solitude,280.0
Sheik,Brandt,280.0
Sheik,Ders,280.0
Sheik,Churro,280.0
Sheik,PeS | Puppy,315.0
Sheik,Abermega,315.0
Sheik,Team Roz | aujory,315.0
Sheik,ASAPferq,315.0
Sheik,20PcMcnugget,315.0
Sheik,sidewinder572,315.0
Falcon,Revenge | Gahtzu,20.0
Falcon,LFG | PanterA,21.0
Falcon,snacklepackle,60.0
Falcon,FISA | JoJo,70.0
Falcon,ight,82.0
Falcon,Verdo,86.0
Falcon,RU | Midnight Blue,86.0
Falcon,NS | Frog,109.0
Falcon,LFG | Fist Mexico,127.0
Falcon,Silkylaroux,142.0
Falcon,TZ | Iván,142.0
Falcon,Newquake,142.0
Falcon,Captain G,152.0
Falcon,Sacred,158.0
Falcon,Nard Dawg,164.0
Falcon,Connorasada,188.0
Falcon,Axis,198.0
Falcon,Aldito1469,198.0
Falcon,Neenor,211.0
Falcon,Funk,240.0
Falcon,FestivalDeLaCombo,240.0
Falcon,Raffshot,263.0
Puff,PQ2 | CPU0,25.0
Puff,Faust,64.0
Puff,sad | UwUMysticalGirl,73.0
Puff,Lamdin,86.0
Puff,DD,95.0
Puff,PurpleZ,95.0
Puff,Lama,102.0
Puff,Fire,102.0
Puff,Crispy | Chango,114.0
Puff,SLO | GrizzlyBair,114.0
Puff,Golden,120.0
Puff,Furniture,142.0
Puff,Kanye Rest,152.0
Puff,Divine Senator Kelly,280.0
Puff,$W@6 | rocketf20,280.0
Puff,Wobs,315.0
Puff,Sav,315.0
Fox,Mango's Friend | Lucky,3.0
Fox,Medz,4.0
Fox,Soonsay,9.0
