Character,SmashTag,Points
Falco,bobby big ballz,215.0
Falco,Westballz,177.0
Falco,Younger,55.0
Falco,LFTG | Logos,47.0
Falco,Elk G | Ivayne,29.0
Falco,yingling,19.0
Falco,Good1ife,15.0
Falco,shoelegend88,8.0
Falco,WOMB#619 | Wombat,4.0
Falco,thesiscat,4.0
Falco,hHerb,4.0
Falco,DCG | Spots,3.0
Falco,pathojin,3.0
Falco,ItsDad,3.0
Falco,Elk_G | Karm,3.0
Falco,Spi,2.0
Falco,Help,2.0
Falco,ericiscool.net,2.0
Falco,91,2.0
Falco,TC | BuyMyMixTape,2.0
Marth,Quaff,155.0
Marth,Zeeker,64.0
Marth,Khryke,57.0
Marth,Yamasaki,10.0
Marth,akir,9.0
Marth,Connor,9.0
Marth,JLo,5.0
Marth,Wiza,3.0
Marth,Kandayo,2.0
Sheik,NGG | Jflex,66.0
Sheik,Pipe,13.0
Sheik,LewdCelebs4Free,5.0
Sheik,20PcMcnugget,1.0
Falcon,ight,15.0
Falcon,Captain G,12.0
Falcon,RU | Midnight Blue,11.0
Falcon,Silkylaroux,9.0
Falcon,Neenor,6.0
Falcon,snacklepackle,5.0
Falcon,Verdo,3.0
Falcon,Axis,3.0
Falcon,Lechero,1.0
Puff,sad | UwUMysticalGirl,28.0
Puff,Lamdin,22.0
Puff,Kanye Rest,12.0
Puff,DD,2.0
Puff,Divine Senator Kelly,2.0
Fox,Soonsay,191.0
Fox,Lotfy,125.0
Fox,Aura,107.0
Fox,Krizski,98.0
Fox,BHC | Evan,63.0
Fox,EP | Justus,39.0
Fox,TZ | Morrito,23.0
Fox,HOLD$DOGE | Crypto Quiggles,21.0
Fox,Tristan's Rule,20.0
Fox,Cowbell,18.0
Fox,CREW | G,18.0
Fox,MikeDrop,14.0
Fox,Neck,14.0
Fox,ZouL,13.0
Fox,Loki,13.0
Fox,QTT | Marco,12.0
Fox,Nebulous | Jib,10.0
Fox,Vianny,10.0
Fox,Vino,9.0
Fox,donk,9.0
Fox,BuenasRetas | Cobs,7.0
Fox,YBBT | leroydankins,5.0
Fox,BubbleFuel,4.0
Fox,Oz,4.0
Fox,markrevival,2.0
Fox,JoeyBonzo,1.0
Peach,Aura,107.0
Peach,SANS | Blues Clues,29.0
Peach,Oaty,22.0
Peach,Willy P,19.0
Peach,Fitz,4.0
Peach,MaxJacks,2.0
Peach,roadkill,1.0
MidTiers,Winx Club | Siddward,24.0
MidTiers,Dream,16.0
MidTiers,jams,16.0
MidTiers,CSTR#106 | Strazz,12.0
MidTiers,Miranda,11.0
MidTiers,Kombeze Ataie,7.0
MidTiers,CowCowCowCowCow,6.0
MidTiers,Special K,2.0
MidTiers,K.H.D | Reign,2.0
Other,HoG | Warmmer,104.0
Other,Bbatts,72.0
Other,Googlyeyed,44.0
Other,Red Dead | Traplord,34.0
Other,KG/SBC | Oreo,25.0
Other,LAG,23.0
Other,MMG | Seven,18.0
Other,Frankhoe,15.0
Other,Furniture,13.0
Other,SuperCuak,13.0
Other,Mud,13.0
Other,TZ | Iván,13.0
Other,Joey Bats,12.0
Other,doubledown8,12.0
Other,Ribboned Ace,12.0
Other,LAGr | Travioli,11.0
Other,Sacred,11.0
Other,PurpleZ,11.0
Other,Pilgrim,10.0
Other,Arn255,9.0
Other,Godslayer903,8.0
Other,Connorasada,8.0
Other,Oferton,8.0
Other,Maelstrom,7.0
Other,Sworderailer,6.0
Other,KYROS | Chuchaka2112,6.0
Other,Piti,5.0
Other,Pogey,5.0
Other,Ath | Bumble,4.0
Other,Funk,4.0
Other,Skeeter,3.0
Other,maso soup,3.0
Other,Churro,2.0
Other,Brandt,2.0
Other,Quadragesimus,2.0
Other,Neee,2.0
Other,Phil,2.0
Other,Proobie44,2.0
Other,Pingy,2.0
Other,Abermega,1.0
Other,Wobs,1.0
Other,mathandsurf,1.0
Other,sidewinder572,1.0
Other,Kawaii Kid | King Salmon,1.0
Other,pr0j3cts,1.0
Other,JehL,1.0
Other,JackO,1.0
Other,50 Rats in a Trenchcoat,1.0
