Character,SmashTag,Rank
Falco,bobby big ballz,1.0
Falco,Westballz,10.0
Falco,LG | Ginger,16.0
Falco,HoG | Warmmer,18.0
Falco,Younger,21.0
Falco,Neologism,25.0
Falco,yingling,30.0
Falco,TBD,42.0
Falco,Khoron | Oreo,43.0
Falco,Elk G | Ivayne,48.0
Falco,I'm Michael BTW,49.0
Falco,LFTG | Logos,62.0
Falco,Googlyeyed,65.0
Falco,Dova,70.0
Falco,NOOT,72.0
Falco,Red Dead | Traplord,78.0
Falco,shoelegend88,86.0
Falco,Seraph,97.0
Falco,620 | Megacaat,102.0
Falco,Help,118.0
Falco,Alextrer,126.0
Falco,Jr,141.0
Falco,Good1ife,147.0
Falco,E-tie,155.0
Falco,Sodabro,161.0
Falco,Jakespeare,165.0
Falco,jtetter,173.0
Falco,TheFormuoli,195.0
Falco,Layer,195.0
Falco,Rutsky,195.0
Falco,unlimited boy,216.0
Falco,diddylonglegs,216.0
Falco,Calvin,216.0
Falco,Spi,216.0
Falco,91,216.0
Falco,WOMB#619 | Wombat,234.0
Falco,Pulch,234.0
Falco,theassistant,234.0
Falco,Buffalo,234.0
Falco,YC | Peppi | | Pappi,234.0
Falco,Broasty,247.0
Falco,hHerb,247.0
Falco,ericiscool.net,247.0
Falco,WRLD,261.0
Falco,pathojin,261.0
Falco,Nudepenguin,261.0
Falco,#215 | Ogre,261.0
Falco,will1v1_ttv,268.0
Falco,TPYO,268.0
Falco,Thumos,268.0
Falco,Penguis,268.0
Falco,wally,268.0
Falco,Potts,286.0
Falco,thesiscat,286.0
Falco,Minty Hippo,286.0
Falco,hestoned,286.0
Falco,jatpuan,286.0
Falco,WU | nerodero,312.0
Falco,Elk_G | Karm,312.0
Falco,Drewski,312.0
Falco,24 | Mamba!,312.0
Falco,DCG | Spots,312.0
Falco,ItsDad,312.0
Falco,TC | BuyMyMixTape,339.0
Falco,Ari,339.0
Falco,ushi,339.0
Falco,MacTheStampede,339.0
Falco,deep_cuts,339.0
Falco,Bebop,339.0
Falco,niimo,381.0
Falco,JackO,381.0
Falco,DBRDd#641,381.0
Falco,trades,381.0
Falco,JehL,381.0
Marth,KoDoRiN,2.0
Marth,Zeeker,7.0
Marth,Quaff,9.0
Marth,Khryke,13.0
Marth,Typhoon,33.0
Marth,MIT | Fro116,34.0
Marth,SF | Herrán,36.0
Marth,akir,51.0
Marth,Mud,51.0
Marth,Epoodle,59.0
Marth,Yamasaki,62.0
Marth,B0XX | Sicca,74.0
Marth,SC | Lad,80.0
Marth,Phantom Airline,86.0
Marth,Ribboned Ace,102.0
Marth,JLo,118.0
Marth,Umarth,133.0
Marth,Floods,147.0
Marth,Connor,147.0
Marth,N8v,195.0
Marth,Kandayo,195.0
Marth,JFIRE,216.0
Marth,Arn255,216.0
Marth,a-on,234.0
Marth,Sworderailer,234.0
Marth,BEBO,247.0
Marth,PP | rocky,268.0
Marth,Rodney,268.0
Marth,Wiza,268.0
Marth,Logan,286.0
Marth,15SA | Raiken,286.0
Marth,Thad <3,312.0
Marth,pointykitty,312.0
Marth,Proobie44,339.0
Marth,BABA | Babo,339.0
Marth,Neee,339.0
Marth,SHRD#209 | Shredder,339.0
Marth,thehumanblob,381.0
Marth,A HUMAN | Agile,381.0
Sheik,Jflex,4.0
Sheik,IMP | Ben,5.0
Sheik,Drephen,30.0
Sheik,Peppi | CrossFitJesus,38.0
Sheik,Pipe,66.0
Sheik,Spiral Cafe | Krudo,79.0
Sheik,Uncle B,84.0
Sheik,LewdCelebs4Free,92.0
Sheik,AR0,173.0
Sheik,Talen,182.0
Sheik,Mo $,216.0
Sheik,Reaver_King,247.0
Sheik,Echo_SSBM | Commas,286.0
Sheik,Roz's Friend | aujory,312.0
Sheik,Radamen,312.0
Sheik,100 Days Of Solitude,339.0
Sheik,Brandt,339.0
Sheik,Churro,339.0
Sheik,Ders,339.0
Sheik,Abermega,381.0
Sheik,sidewinder572,381.0
Sheik,20PcMcnugget,381.0
Sheik,PeS | Puppy,381.0
Sheik,ASAPferq,381.0
Falcon,Revenge | Gahtzu,24.0
Falcon,LFG | PanterA,26.0
Falcon,snacklepackle,71.0
Falcon,NS | Frog,86.0
Falcon,FISA | JoJo,86.0
Falcon,ight,97.0
Falcon,RU | Midnight Blue,108.0
Falcon,Verdo,108.0
Falcon,Noc,141.0
Falcon,LFG | Fist Mexico,147.0
