Character,SmashTag,Points
Falco,bobby big ballz,818.0
Falco,Westballz,331.0
Falco,LG | Ginger,189.0
Falco,HoG | Warmmer,178.0
Falco,Younger,146.0
Falco,yingling,123.0
Falco,Neologism,109.0
Falco,Khoron | Oreo,84.0
Falco,Elk G | Ivayne,71.0
Falco,TBD,69.0
Falco,LFTG | Logos,47.0
Falco,Googlyeyed,44.0
Falco,NOOT,37.0
Falco,Red Dead | Traplord,34.0
Falco,620 | Megacaat,24.0
Falco,shoelegend88,24.0
Falco,Alextrer,20.0
Falco,Help,17.0
Falco,E-tie,15.0
Falco,Good1ife,15.0
Falco,Sodabro,14.0
Falco,Jakespeare,13.0
Falco,unlimited boy,9.0
Falco,Calvin,9.0
Falco,jtetter,9.0
Falco,91,9.0
Falco,WOMB#619 | Wombat,8.0
Falco,YC | Peppi | | Pappi,8.0
Falco,ericiscool.net,7.0
Falco,Layer,7.0
Falco,Spi,6.0
Falco,pathojin,6.0
Falco,Nudepenguin,6.0
Falco,Penguis,5.0
Falco,wally,5.0
Falco,will1v1_ttv,5.0
Falco,hHerb,4.0
Falco,thesiscat,4.0
Falco,Elk_G | Karm,3.0
Falco,Drewski,3.0
Falco,24 | Mamba!,3.0
Falco,ItsDad,3.0
Falco,DCG | Spots,3.0
Falco,Bebop,2.0
Falco,Ari,2.0
Falco,deep_cuts,2.0
Falco,TC | BuyMyMixTape,2.0
Falco,MacTheStampede,2.0
Falco,ushi,2.0
Falco,trades,1.0
Falco,JehL,1.0
Falco,JackO,1.0
Marth,KoDoRiN,626.0
Marth,Quaff,372.0
Marth,Zeeker,319.0
Marth,Khryke,224.0
Marth,MIT | Fro116,112.0
Marth,SF | Herrán,107.0
Marth,Typhoon,70.0
Marth,akir,61.0
Marth,Mud,61.0
Marth,Yamasaki,36.0
Marth,SC | Lad,31.0
Marth,Ribboned Ace,24.0
Marth,JLo,21.0
Marth,Connor,16.0
Marth,Floods,15.0
Marth,Arn255,9.0
Marth,JFIRE,9.0
Marth,Kandayo,8.0
Marth,Sworderailer,8.0
Marth,BEBO,7.0
Marth,Phantom Airline,6.0
Marth,Wiza,5.0
Marth,Rodney,5.0
Marth,PP | rocky,5.0
Marth,Logan,4.0
Marth,Thad <3,3.0
Marth,BABA | Babo,2.0
Marth,Proobie44,2.0
Marth,SHRD#209 | Shredder,2.0
Marth,N8v,2.0
Marth,Neee,2.0
Marth,A HUMAN | Agile,1.0
Sheik,NGG | Jflex,408.0
Sheik,IMP | Ben,212.0
Sheik,Peppi | CrossFitJesus,73.0
Sheik,Pipe,43.0
Sheik,LewdCelebs4Free,19.0
Sheik,Krudo,17.0
Sheik,AR0,12.0
Sheik,Reaver_King,7.0
Sheik,Mo $,5.0
Sheik,Brandt,2.0
Sheik,100 Days Of Solitude,2.0
Sheik,Ders,2.0
Sheik,Churro,2.0
Sheik,PeS | Puppy,1.0
Sheik,Abermega,1.0
Sheik,20PcMcnugget,1.0
Sheik,Team Roz | aujory,1.0
Sheik,ASAPferq,1.0
Sheik,sidewinder572,1.0
Falcon,Revenge | Gahtzu,140.0
Falcon,LFG | PanterA,133.0
Falcon,snacklepackle,38.0
Falcon,FISA | JoJo,29.0
Falcon,ight,23.0
Falcon,RU | Midnight Blue,22.0
Falcon,Verdo,22.0
Falcon,NS | Frog,19.0
Falcon,LFG | Fist Mexico,16.0
Falcon,Silkylaroux,13.0
Falcon,TZ | Iván,13.0
Falcon,Newquake,13.0
Falcon,Captain G,12.0
Falcon,Sacred,11.0
Falcon,Nard Dawg,10.0
Falcon,Connorasada,8.0
Falcon,Axis,7.0
Falcon,Aldito1469,7.0
Falcon,Neenor,6.0
Falcon,Funk,4.0
Falcon,FestivalDeLaCombo,4.0
