Character,SmashTag,Points
Falco,bobby big ballz,1226.0
Falco,Westballz,331.0
Falco,Younger,269.0
Falco,LG | Ginger,189.0
Falco,YC | Peppi | | Pappi,189.0
Falco,yingling,180.0
Falco,HoG | Warmmer,178.0
Falco,Neologism,138.0
Falco,Slowking,125.0
Falco,TBD,112.0
Falco,Traplord,92.0
Falco,Khoron | Oreo,89.0
Falco,Ghost Rider,85.0
Falco,I'm Michael BTW,77.0
Falco,Elk G | Ivayne,71.0
Falco,LFTG | Logos,47.0
Falco,Googlyeyed,44.0
Falco,Dova,39.0
Falco,NOOT,37.0
Falco,shoelegend88,34.0
Falco,Chance,31.0
Falco,Seraph,27.0
Falco,Help,27.0
Falco,Chompy,27.0
Falco,620 | Megacaat,24.0
Falco,ATX | Noops,24.0
Falco,Mr. Butterfly,23.0
Falco,CarbonDog,22.0
Falco,Pulch,22.0
Falco,Alextrer,20.0
Falco,TourGuide,19.0
Falco,Sneakywill,17.0
Falco,Jr,17.0
Falco,Good1ife,16.0
Falco,gsm | Pound,16.0
Falco,E-tie,15.0
Falco,YeehawDaniels,15.0
Falco,Sodabro,14.0
Falco,Jakespeare,13.0
Falco,jtetter,12.0
Falco,Layer,10.0
Falco,Rutsky,10.0
Falco,TheFormuoli,10.0
Falco,EASTJ | Mike,10.0
Falco,91,9.0
Falco,unlimited boy,9.0
Falco,Spi,9.0
Falco,diddylonglegs,9.0
Falco,Moist | kennypenny,9.0
Falco,Fasthands,9.0
Falco,092 | LXIX,9.0
Falco,Calvin,9.0
Falco,WOMB#619 | Wombat,8.0
Falco,theassistant,8.0
Falco,PLEB | Capy,8.0
Falco,Chuchaka2112,8.0
Falco,Buffalo,8.0
Falco,Broasty,7.0
Falco,KaiKwonDo,7.0
Falco,ericiscool.net,7.0
Falco,Kitsune,7.0
Falco,Nudepenguin,7.0
Falco,hHerb,7.0
Falco,pathojin,6.0
Falco,#215 | Ogre,6.0
Falco,WRLD,6.0
Falco,Thumos,5.0
Falco,TPYO,5.0
Falco,Penguis,5.0
Falco,UCILadder,5.0
Falco,wally,5.0
Falco,will1v1_ttv,5.0
Falco,jatpuan,4.0
Falco,Kawaii Kid | King Salmon,4.0
Falco,Minty Hippo,4.0
Falco,Potts,4.0
Falco,thesiscat,4.0
Falco,hestoned,4.0
Falco,Zuber,4.0
Falco,Fiyah,3.0
Falco,DCG | Spots,3.0
Falco,IDK,3.0
Falco,Drewski,3.0
Falco,ArtlexPlays,3.0
Falco,imanastyhoe,3.0
Falco,ItsDad,3.0
Falco,Tequila,3.0
Falco,24 | Mamba!,3.0
Falco,Elk_G | Karm,3.0
Falco,WU | nerodero,3.0
Falco,MrDrBoi,2.0
Falco,Bebop,2.0
Falco,Ari,2.0
Falco,ushi,2.0
Falco,TC | BuyMyMixTape,2.0
