SmasherID,SmashTag,Wins,Losses,Placement
61897,LSD,5,0,1
1016,Fiction,4,2,2
65777,bobby big ballz,4,2,3
26750,KoDoRiN,3,2,4
585236,306 | Amrak,5,2,5
13748,null,3,2,5
279722,EP | Justus,2,2,7
6700,JCubez,2,2,7
5618,ANTIFA CEO | Quiggles,2,2,9
325974,SDJ,2,2,9
64692,SANS | Blues Clues,2,2,9
12353,Twisty,1,2,9
12137,yingling,1,2,13
60696,FM | Cilan,2,2,13
7201,.Ðempt,1,2,13
10485,DD,1,2,13
27527,Megaman,0,2,17
657464,CowCowCowCowCow,0,2,17
255496,ericiscool.net,0,2,17
7149,Trail,0,2,17
157615,ight,0,2,17
