SmasherID,SmashTag,Wins,Losses,Placement
65777,bobby big ballz,5,0,1
4215,rocky,4,2,2
10562,SFOP,4,2,3
37116,GUG | Kürv,3,2,4
47866,Erik,3,2,5
4390,NGG | Jflex,3,2,5
31487,Winx Club | Siddward,3,2,7
64692,SANS | Blues Clues,2,2,7
46349,Aura,1,2,9
1092,Connor,1,2,9
1942273,Fankriss,2,2,9
48850,TNS | Asashi,2,2,9
1196449,RB | Cum Fox,0,2,13
127997,CW | Skittles,1,2,13
44671,Quaff,1,2,13
133666,404 YC | Salt,1,2,13
184637,Joey Donuts,0,2,17
34980,Crispy | Chango,0,2,17
3936,GUILD | ghettowarmachine420,0,2,17
