SmasherID,SmashTag,Wins,Losses,Placement
1017,S2J,5,0,1
61897,LSD,5,2,2
3561,Ginger,3,2,3
65777,bobby big ballz,6,2,4
1077,Revenge | Gahtzu,2,2,5
13932,Mango's Friend | Lucky,3,2,5
265808,NOOT,4,2,7
1019,CLG. | SFAT,2,2,7
250581,Fizz,2,2,9
1008,Westballz,3,2,9
147424,Spiral Cafe | Krudo,2,2,9
26750,KoDoRiN,2,2,9
16066,TG NBR | Panos,1,2,13
6700,JCubez,1,2,13
2029721,Ghost Rider,2,2,13
4748,GST | Ryobeat,2,2,13
61570,Pappi,0,2,17
22479,GEM | CrossFitJesus,1,2,17
13748,null,1,2,17
27638,Panda,0,2,17
34980,Crispy | Chango,1,2,17
5457,Bones,1,2,17
37116,GUG | Kürv,0,2,17
127639,Neologism,1,2,17
47866,S.C.E. | Erik,0,2,25
7149,Trail,0,2,25
