SmasherID,SmashTag,Wins,Losses,Placement
1019,CLG. | SFAT,5,0,1
65777,bobby big ballz,4,2,2
694497,IMP | Ben,4,2,3
13932,Mango's Friend | Lucky,3,2,4
10562,SFOP,3,2,5
1839605,DontTestMe,3,2,5
7277,GOL | JSalt,4,2,7
4390,NGG | Jflex,4,2,7
135088,LFG | PanterA,3,2,9
64692,SANS | Blues Clues,2,2,9
257406,Lotfy,1,2,9
47866,Erik,1,2,9
7634,MT,2,2,13
225081,:3 | fenceturtle,2,2,13
37116,GUG | Kürv,2,2,13
21661,GLR | JAM,1,2,13
221423,Typhoon,0,2,17
5618,ANTIFA CEO | Quiggles,0,2,17
63720,TNC | n3zModGod,0,2,17
1196449,RB | Cum Fox,0,2,17
418257,CardsNG,0,2,17
58670,RCS | Savestate,0,2,17
657464,CowCowCowCowCow,0,2,17
