SmasherID,SmashTag,Wins,Losses,Prospect,Rookie,Pro,AllStar,HallOfFame,Placement,Coast
585236,306 | Amrak,12,3,0,0,0,1,0,2,WC
12137,yingling,15,7,0,0,0,1,0,3,WC
279722,EP | Justus,11,5,0,0,1,0,0,4,WC
325974,SDJ,7,1,0,0,1,0,0,5,WC
10485,DD,10,4,0,0,1,0,0,6,WC
13748,null,5,0,0,0,1,0,0,7,WC
27527,Megaman,7,3,0,0,1,0,0,8,WC
60696,FM | Cilan,8,4,0,0,1,0,0,9,WC
413573,John,5,1,0,1,0,0,0,10,WC
15298,Cowbell,13,10,0,1,0,0,0,11,WC
301566,JustJoshin,8,9,1,0,0,0,0,12,WC
21525,Kaptinkillem,6,4,0,1,0,0,0,13,WC
157632,TurboThot,7,8,1,0,0,0,0,14,WC
508569,eh | sickø,5,6,1,0,0,0,0,15,WC
329937,LanTurN,9,14,1,0,0,0,0,16,WC
897815,moscow mich,7,10,1,0,0,0,0,17,WC
38201,Blue Jay,1,2,1,0,0,0,0,18,WC
2085246,kippu,2,4,1,0,0,0,0,18,WC
34266,WOMB#619 | Wombat,3,7,1,0,0,0,0,20,WC
1621,bensw,1,5,1,0,0,0,0,21,WC
144133,YBBT | leroydankins,3,5,1,0,0,0,0,22,WC
4864,Theftz,3,7,1,0,0,0,0,23,WC
13960,RB | V$,2,5,1,0,0,0,0,24,WC
40403,Pawn,2,11,1,0,0,0,0,25,WC
268767,markrevival,1,7,1,0,0,0,0,26,WC
483428,DCG | Spots,1,8,1,0,0,0,0,27,WC
148200,Big Pivot,0,13,1,0,0,0,0,28,WC
61897,LSD,18,0,0,0,0,1,0,1,EC
6700,JCubez,6,0,0,0,1,0,0,2,EC
7149,Trail,10,5,0,0,1,0,0,3,EC
5618,ANTIFA CEO | Quiggles,11,8,0,0,1,0,0,4,EC
7201,.Ðempt,10,9,0,1,0,0,0,5,EC
657464,CowCowCowCowCow,7,4,0,1,0,0,0,6,EC
12353,Twisty,4,2,0,1,0,0,0,7,EC
329160,ZUTH | Zuthane,2,2,1,0,0,0,0,8,EC
364725,LUNK#783 | dom,1,1,1,0,0,0,0,8,EC
157615,ight,8,11,1,0,0,0,0,10,EC
255496,ericiscool.net,1,4,1,0,0,0,0,11,EC
149952,Jakespeare,3,17,1,0,0,0,0,12,EC
11945,Strazz,1,6,1,0,0,0,0,13,EC
48578,LoneCubone,0,3,1,0,0,0,0,14,EC
1186877,Tomz,0,1,1,0,0,0,0,14,EC
