SmasherID,SmashTag,Wins,Losses,Placement
1017,S2J,5,0,1
26750,KoDoRiN,5,2,2
1019,CLG. | SFAT,3,2,3
61897,LSD,3,2,4
132537,RG | Far!,3,2,5
694497,Ben,3,2,5
65777,bobby big ballz,2,2,7
5457,Bones,2,2,7
133666,404 YC | Salt,2,2,9
64692,SANS | Blues Clues,2,2,9
6700,JCubez,2,2,9
37116,GUG | Kürv,2,2,9
51488,Maher,1,2,13
127639,Neologism,2,2,13
47866,S.C.E. | Erik,2,2,13
10485,DD,1,2,13
327212,Marrgasm,0,2,17
862074,snacklepackle,0,2,17
152430,HWY | ybot,0,2,17
627118,Pipe,0,2,17
21661,GLR | JAM,0,2,17
