SmasherID,SmashTag,Wins,Losses,Placement
1077,Revenge | Gahtzu,6,0,1
3561,Ginger,4,2,2
1019,CLG. | SFAT,4,2,3
65777,bobby big ballz,5,2,4
1017,S2J,2,2,5
38567,Android 0,4,2,5
64692,SANS | Blues Clues,4,2,7
26750,KoDoRiN,4,2,7
12353,Twisty,3,2,9
250581,Fizz,2,2,9
7201,.Ðempt,3,2,9
10529,The Leaf,2,2,9
10485,DD,2,2,13
16023,soccermom69,2,2,13
36990,Trock,2,2,13
585236,306 | Amrak,2,2,13
60696,FM | Cilan,0,2,17
21661,GLR | JAM,1,2,17
327212,Marrgasm,0,2,17
47866,S.C.E. | Erik,0,2,17
927948,cliché,1,2,17
28793,Light,1,2,17
54390,Question,1,2,17
29840,TBD,1,2,17
19346,SonOfJ,0,2,25
657464,CowCowCowCowCow,0,2,25
241260,Alex18+,0,2,25
5618,ANTIFA CEO | Quiggles,0,2,25
27862,Musashi,0,2,25
