SmasherID,SmashTag,Wins,Losses,Placement
1017,S2J,5,0,1
61897,lluZ | PEP | LSD,5,2,2
65777,bobby big ballz,4,2,3
3561,Ginger,3,2,4
40476,Medz,4,2,5
324561,Soonsay,4,2,5
1077,Revenge | Gahtzu,2,2,7
286931,Egg$,4,2,7
3299,Vish,2,2,9
44671,Quaff,3,2,9
26750,KoDoRiN,1,2,9
694497,IMP | Ben,3,2,9
50143,R3 | $limChang,2,2,13
37116,GUG | Kürv,2,2,13
127997,CW | Skittles,2,2,13
184637,Joey Donuts,2,2,13
11781,htwa,1,2,17
144798,akir,0,2,17
4390,NGG | Jflex,0,2,17
12048,K8A,0,2,17
64692,SANS | Blues Clues,0,2,17
3772,Arcadia,1,2,17
4394,Zhyrri,1,2,17
10562,SFOP,1,2,17
29840,TBD,0,2,25
31487,Winx Club | Siddward,0,2,25
2106594,GG | DontRestMe,0,2,25
