SmashTag,bobby big ballz Number,Path
bobby big ballz,0,
Mango's Friend | Lucky,1,bobby big ballz
KoDoRiN,1,bobby big ballz
Quaff,1,bobby big ballz
IMP | Ben,1,bobby big ballz
NGG | Jflex,1,bobby big ballz
YC | Peppi | | Pappi,1,bobby big ballz
Westballz,1,bobby big ballz
Smashdaddy,1,bobby big ballz
Goosekhan,2,bobby big ballz < Mango's Friend | Lucky
Winx Club | Siddward,2,bobby big ballz < NGG | Jflex
Melee Stats | Ambisinister,2,bobby big ballz < IMP | Ben
Lotfy,2,bobby big ballz < NGG | Jflex
Elk G | Ivayne,2,bobby big ballz < Quaff
Neologism,2,bobby big ballz < NGG | Jflex
Drephen,2,bobby big ballz < IMP | Ben
Soonsay,2,bobby big ballz < Quaff
Revenge | Gahtzu,2,bobby big ballz < IMP | Ben
HoG | Warmmer,2,bobby big ballz < IMP | Ben
LG | Ginger,2,bobby big ballz < Mango's Friend | Lucky
Medz,2,bobby big ballz < NGG | Jflex
Zeeker,2,bobby big ballz < NGG | Jflex
LAGr | Travioli,3,bobby big ballz < NGG | Jflex < Winx Club | Siddward
Epoodle,3,bobby big ballz < NGG | Jflex < Winx Club | Siddward
TG | Mot$,3,bobby big ballz < NGG | Jflex < Lotfy
Slowking,3,bobby big ballz < NGG | Jflex < Neologism
Younger,3,bobby big ballz < NGG | Jflex < Winx Club | Siddward
Tommy,3,bobby big ballz < NGG | Jflex < Winx Club | Siddward
cockbread,3,bobby big ballz < NGG | Jflex < Lotfy
SANS | Blues Clues,3,bobby big ballz < NGG | Jflex < Medz
TG NBR | Panayiotis,3,bobby big ballz < NGG | Jflex < Winx Club | Siddward
Typhoon,3,bobby big ballz < NGG | Jflex < Neologism
GUG | Kürv,3,bobby big ballz < NGG | Jflex < Medz
ZOOK | Suezo,3,bobby big ballz < NGG | Jflex < Winx Club | Siddward
Aura,3,bobby big ballz < IMP | Ben < HoG | Warmmer
K8A,3,bobby big ballz < Mango's Friend | Lucky < Goosekhan
Anchovy,3,bobby big ballz < NGG | Jflex < Neologism
Peppi | CrossFitJesus,3,bobby big ballz < NGG | Jflex < Winx Club | Siddward
PQ2 | CPU0,3,bobby big ballz < IMP | Ben < Revenge | Gahtzu
FISA | JoJo,3,bobby big ballz < NGG | Jflex < Winx Club | Siddward
Bbatts,3,bobby big ballz < NGG | Jflex < Winx Club | Siddward
CRACKSHACK | Quiggles,3,bobby big ballz < NGG | Jflex < Lotfy
Ober,3,bobby big ballz < Mango's Friend | Lucky < Goosekhan
DannyPhantom,3,bobby big ballz < NGG | Jflex < Zeeker
Willy P,3,bobby big ballz < NGG | Jflex < Winx Club | Siddward
ycz6,3,bobby big ballz < NGG | Jflex < Winx Club | Siddward
LFTG | Logos,3,bobby big ballz < Quaff < Elk G | Ivayne
Sodabro,3,bobby big ballz < NGG | Jflex < Zeeker
Chance,3,bobby big ballz < Quaff < Elk G | Ivayne
E-tie,3,bobby big ballz < NGG | Jflex < Winx Club | Siddward
