SmashTag,bobby big ballz Number,Path
bobby big ballz,0,
YC | Peppi | | Pappi,1,bobby big ballz
IMP | Ben,1,bobby big ballz
KoDoRiN,1,bobby big ballz
Westballz,1,bobby big ballz
Smashdaddy,1,bobby big ballz
Mango's Friend | Lucky,1,bobby big ballz
Quaff,1,bobby big ballz
Revenge | Gahtzu,2,bobby big ballz < YC | Peppi | | Pappi
Elk G | Ivayne,2,bobby big ballz < Quaff
Drephen,2,bobby big ballz < IMP | Ben
Melee Stats | Ambisinister,2,bobby big ballz < IMP | Ben
Soonsay,2,bobby big ballz < IMP | Ben
HoG | Warmmer,2,bobby big ballz < IMP | Ben
LG | Ginger,2,bobby big ballz < KoDoRiN
Winx Club | Siddward,3,bobby big ballz < IMP | Ben < HoG | Warmmer
LFTG | Logos,3,bobby big ballz < Quaff < Elk G | Ivayne
Jflex,3,bobby big ballz < IMP | Ben < HoG | Warmmer
Chance,3,bobby big ballz < Quaff < Elk G | Ivayne
PQ2 | CPU0,3,bobby big ballz < YC | Peppi | | Pappi < Revenge | Gahtzu
GST | Ryobeat,3,bobby big ballz < IMP | Ben < Drephen
Krizski,3,bobby big ballz < Quaff < Elk G | Ivayne
EP | Justus,3,bobby big ballz < Quaff < Elk G | Ivayne
Aura,3,bobby big ballz < IMP | Ben < HoG | Warmmer
Medz,3,bobby big ballz < Quaff < Elk G | Ivayne
Jet,3,bobby big ballz < Quaff < Elk G | Ivayne
Bbatts,3,bobby big ballz < IMP | Ben < Soonsay
ycz6,4,bobby big ballz < IMP | Ben < HoG | Warmmer < Winx Club | Siddward
thicceon,4,bobby big ballz < IMP | Ben < HoG | Warmmer < Winx Club | Siddward
Scar,4,bobby big ballz < Quaff < Elk G | Ivayne < Chance
Epoodle,4,bobby big ballz < IMP | Ben < HoG | Warmmer < Winx Club | Siddward
NathanSandwich,4,bobby big ballz < Quaff < Elk G | Ivayne < Jet
Younger,4,bobby big ballz < IMP | Ben < HoG | Warmmer < Winx Club | Siddward
Tommy,4,bobby big ballz < IMP | Ben < HoG | Warmmer < Winx Club | Siddward
TBD,4,bobby big ballz < Quaff < Elk G | Ivayne < Jet
SANS | Blues Clues,4,bobby big ballz < Quaff < Elk G | Ivayne < LFTG | Logos
Chem,4,bobby big ballz < IMP | Ben < HoG | Warmmer < Winx Club | Siddward
MIT | Fro116,4,bobby big ballz < IMP | Ben < HoG | Warmmer < Winx Club | Siddward
Kürv,4,bobby big ballz < Quaff < Elk G | Ivayne < Chance
ZOOK | Suezo,4,bobby big ballz < IMP | Ben < HoG | Warmmer < Winx Club | Siddward
Dream,4,bobby big ballz < Quaff < Elk G | Ivayne < Jet
yingling,4,bobby big ballz < Quaff < Elk G | Ivayne < Jet
Yamasaki,4,bobby big ballz < Quaff < Elk G | Ivayne < Chance
Anchovy,4,bobby big ballz < Quaff < Elk G | Ivayne < Chance
Spiral Cafe | Krudo,4,bobby big ballz < IMP | Ben < HoG | Warmmer < Winx Club | Siddward
INDY,4,bobby big ballz < Quaff < Elk G | Ivayne < Chance
Willy P,4,bobby big ballz < IMP | Ben < HoG | Warmmer < Winx Club | Siddward
E-tie,4,bobby big ballz < IMP | Ben < HoG | Warmmer < Winx Club | Siddward
Gooms,4,bobby big ballz < YC | Peppi | | Pappi < Revenge | Gahtzu < PQ2 | CPU0
SF | Herrán,4,bobby big ballz < YC | Peppi | | Pappi < Revenge | Gahtzu < PQ2 | CPU0
LAGr | Travioli,4,bobby big ballz < IMP | Ben < HoG | Warmmer < Winx Club | Siddward
sad | UwUMysticalGirl,4,bobby big ballz < IMP | Ben < HoG | Warmmer < Winx Club | Siddward
Khryke,4,bobby big ballz < IMP | Ben < HoG | Warmmer < Winx Club | Siddward
Neologism,4,bobby big ballz < IMP | Ben < HoG | Warmmer < Winx Club | Siddward
FISA | JoJo,4,bobby big ballz < IMP | Ben < Drephen < GST | Ryobeat
LAG,4,bobby big ballz < Quaff < Elk G | Ivayne < LFTG | Logos
BHC | Evan,4,bobby big ballz < Quaff < Elk G | Ivayne < Krizski
SuperCuak,4,bobby big ballz < Quaff < Elk G | Ivayne < Chance
Mootook,4,bobby big ballz < Quaff < Elk G | Ivayne < Jet
SC | Lad,4,bobby big ballz < IMP | Ben < HoG | Warmmer < Winx Club | Siddward
Jr,4,bobby big ballz < Quaff < Elk G | Ivayne < Jet
Melo,4,bobby big ballz < Quaff < Elk G | Ivayne < Chance
Savestate,4,bobby big ballz < IMP | Ben < HoG | Warmmer < Winx Club | Siddward
Lotfy,4,bobby big ballz < IMP | Ben < HoG | Warmmer < Jflex
akir,4,bobby big ballz < IMP | Ben < HoG | Warmmer < Winx Club | Siddward
Crow,4,bobby big ballz < IMP | Ben < HoG | Warmmer < Winx Club | Siddward
Red Dead | Traplord,4,bobby big ballz < Quaff < Elk G | Ivayne < LFTG | Logos
IWI | Marrgasm,4,bobby big ballz < Quaff < Elk G | Ivayne < Chance
Simon,4,bobby big ballz < IMP | Ben < HoG | Warmmer < Winx Club | Siddward
NOOT,4,bobby big ballz < YC | Peppi | | Pappi < Revenge | Gahtzu < PQ2 | CPU0
sfy | Fizz,4,bobby big ballz < IMP | Ben < HoG | Warmmer < Winx Club | Siddward
Khoron | Oreo,4,bobby big ballz < Quaff < Elk G | Ivayne < Chance
Googlyeyed,4,bobby big ballz < IMP | Ben < HoG | Warmmer < Winx Club | Siddward
Seraph,4,bobby big ballz < Quaff < Elk G | Ivayne < Jet
Kitsune,4,bobby big ballz < Quaff < Elk G | Ivayne < Chance
Redcoat,4,bobby big ballz < YC | Peppi | | Pappi < Revenge | Gahtzu < PQ2 | CPU0
PapaNoJohns,4,bobby big ballz < Quaff < Elk G | Ivayne < Jet
LFG | PanterA,4,bobby big ballz < IMP | Ben < Soonsay < Bbatts
Peppi | CrossFitJesus,4,bobby big ballz < Quaff < Elk G | Ivayne < Jet
Zeeker,4,bobby big ballz < Quaff < Elk G | Ivayne < LFTG | Logos
Gingerham,5,bobby big ballz < IMP | Ben < HoG | Warmmer < Winx Club | Siddward < thicceon
Mud,5,bobby big ballz < IMP | Ben < HoG | Warmmer < Winx Club | Siddward < Younger
Tanooki,5,bobby big ballz < Quaff < Elk G | Ivayne < Jet < TBD
Wassabi,5,bobby big ballz < Quaff < Elk G | Ivayne < Chance < INDY
BuenasRetas | Cobs,5,bobby big ballz < Quaff < Elk G | Ivayne < Jet < PapaNoJohns
Ribboned Ace,5,bobby big ballz < Quaff < Elk G | Ivayne < Jet < yingling
a-on,5,bobby big ballz < Quaff < Elk G | Ivayne < Jet < TBD
ijw,5,bobby big ballz < Quaff < Elk G | Ivayne < Jet < TBD
RULES | Strazz,5,bobby big ballz < IMP | Ben < HoG | Warmmer < Winx Club | Siddward < Tommy
RustyTrombone,5,bobby big ballz < Quaff < Elk G | Ivayne < Jet < TBD
TG NBR | Panayiotis,5,bobby big ballz < IMP | Ben < HoG | Warmmer < Winx Club | Siddward < Epoodle
Verdo,5,bobby big ballz < IMP | Ben < HoG | Warmmer < Winx Club | Siddward < Younger
